Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Локнянская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
1	"Число избирателей, внесенных в списки"	10125	833	733	108	1041	212	296	304	141	236	546	84	699	82	226	324	318	1012	1066	950	914					
2	"Число бюллетеней, полученных участковыми комиссиями"	10383	863	745	110	1062	215	300	305	143	250	556	118	722	89	224	331	325	1035	1091	968	931					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4715	234	398	37	404	101	138	82	56	103	179	37	350	46	113	158	102	595	531	483	568					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1526	245	42	36	111	50	54	143	50	66	185	47	94	31	55	71	127	34	36	23	26					
6	Число погашенных бюллетеней	4142	384	305	37	547	64	108	80	37	81	192	34	278	12	56	102	96	406	524	462	337					
7	Число бюллетеней в переносных ящиках для голосования	1526	245	42	36	111	50	54	143	50	66	185	47	94	31	55	71	127	34	36	23	26					
8	Число бюллетеней в стационарных ящиках для голосования	4707	234	390	37	404	101	138	82	56	103	179	37	350	46	113	158	102	595	531	483	568					
9	Число недействительных бюллетеней	84	11	4	7	6	2	4	0	0	1	2	1	15	1	1	3	3	4	6	9	4					
10	Число действительных бюллетеней	6149	468	428	66	509	149	188	225	106	168	362	83	429	76	167	226	226	625	561	497	590					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	174	14	12	2	18	4	5	5	2	4	9	2	12	2	3	5	5	19	18	16	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	7	0	1	3	0	0	0	1	0	1	0	2	0	0	0	0	7	4	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	1	2	0	8	2	3	1	0	1	3	3	0	0	6	0	1	3	1	3	5					
14	Число погашенных открепительных удостоверений	141	7	12	1	15	4	5	5	1	4	8	2	10	2	3	5	5	12	14	15	11					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	124	8	6	2	11	6	6	6	3	2	4	3	6	2	8	3	4	11	13	13	7					
		1.98%	1.67%	1.38%	2.73%	2.13%	3.97%	3.12%	2.66%	2.83%	1.18%	1.09%	3.57%	1.35%	2.59%	4.76%	1.31%	1.74%	1.74%	2.29%	2.56%	1.17%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	120	10	6	0	4	1	0	5	0	3	6	1	8	0	2	3	5	25	14	9	18					
		1.92%	2.08%	1.38%	0.0%	0.77%	0.66%	0.0%	2.22%	0.0%	1.77%	1.64%	1.19%	1.80%	0.0%	1.19%	1.31%	2.18%	3.97%	2.46%	1.77%	3.03%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	174	14	0	4	16	7	5	4	1	6	13	0	18	0	3	11	4	15	20	12	21					
		2.79%	2.92%	0.0%	5.47%	3.10%	4.63%	2.60%	1.77%	0.94%	3.55%	3.57%	0.0%	4.05%	0.0%	1.78%	4.80%	1.74%	2.38%	3.52%	2.37%	3.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	75	5	10	3	6	2	0	0	0	1	7	1	2	1	2	0	1	10	6	9	9					
		1.20%	1.04%	2.31%	4.10%	1.16%	1.32%	0.0%	0.0%	0.0%	0.59%	1.92%	1.19%	0.45%	1.29%	1.19%	0.0%	0.43%	1.58%	1.05%	1.77%	1.51%					
22	"5. ""За Русь Святую"""	27	1	0	0	5	1	3	3	2	4	0	0	2	0	0	0	1	1	3	1	0					
		0.43%	0.20%	0.0%	0.0%	0.97%	0.66%	1.56%	1.33%	1.88%	2.36%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.43%	0.15%	0.52%	0.19%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	3	2	0	5	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1					
		0.22%	0.62%	0.46%	0.0%	0.97%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.15%	0.17%	0.0%	0.16%					
24	"7. ""Новый курс - Автомобильная Россия"""	26	0	7	0	1	0	0	0	1	0	4	0	3	0	1	0	0	5	1	0	3					
		0.41%	0.0%	1.62%	0.0%	0.19%	0.0%	0.0%	0.0%	0.94%	0.0%	1.09%	0.0%	0.67%	0.0%	0.59%	0.0%	0.0%	0.79%	0.17%	0.0%	0.50%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.66%	1.04%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2					
		0.12%	0.0%	0.46%	0.0%	0.19%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.19%	0.33%					
27	"10. ""Аграрная партия России"""	269	27	26	6	15	5	19	12	1	12	14	3	11	3	7	16	12	23	14	20	23					
