Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Невельская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701					
1	"Число избирателей, внесенных в списки"	25653	1503	1444	1476	1611	1488	1638	1596	1649	1497	1502	742	453	366	778	431	330	575	542	272	390	727	533	435	267	229	279	690	281	1210	316	403					
2	"Число бюллетеней, полученных участковыми комиссиями"	25355	1485	1429	1455	1585	1467	1606	1563	1543	1472	1490	737	469	365	728	443	334	584	537	273	391	743	548	446	266	233	284	688	284	1187	319	401					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10739	696	594	719	619	746	757	758	610	613	816	244	93	111	390	195	117	203	147	144	85	357	142	150	88	105	109	307	71	548	61	144					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3098	29	34	26	48	18	32	21	150	23	17	160	165	105	86	92	76	175	206	89	136	86	200	75	81	51	97	238	131	178	155	118					
6	Число погашенных бюллетеней	11518	760	801	710	918	703	817	784	783	836	657	333	211	149	252	156	141	206	184	40	170	300	206	221	97	77	78	143	82	461	103	139					
7	Число бюллетеней в переносных ящиках для голосования	3098	29	34	26	48	18	32	21	150	23	17	160	165	105	86	92	76	175	206	89	136	86	200	75	81	51	97	238	131	178	155	118					
8	Число бюллетеней в стационарных ящиках для голосования	10737	696	594	719	618	746	757	758	609	613	816	244	93	111	390	195	117	203	147	144	85	357	142	150	88	105	109	307	71	548	61	144					
9	Число недействительных бюллетеней	154	8	4	4	9	13	9	7	4	6	15	5	2	1	6	4	3	8	0	3	4	12	1	8	0	2	0	0	0	16	0	0					
10	Число действительных бюллетеней	13681	717	624	741	657	751	780	772	755	630	818	399	256	215	470	283	190	370	353	230	217	431	341	217	169	154	206	545	202	710	216	262					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	215	10	10	10	15	10	10	10	10	10	10	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	75	4	1	3	10	7	3	6	3	5	3	0	2	0	3	3	2	0	0	0	0	5	4	1	1	2	1	0	2	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	0	4	1	3	1	4	6	7	6	5	1	0	5	50	0	3	1	3	1	3	0	1	1	4	4	1	3	1	4	2	2					
14	Число погашенных открепительных удостоверений	140	6	9	7	5	3	7	4	7	5	7	5	3	5	2	2	3	5	5	5	5	5	1	4	4	3	4	5	3	2	4	5					
15	Число открепительных удостоверений выданных ТИК	6	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	187	9	10	8	16	10	10	6	14	4	6	5	3	5	10	4	9	1	2	3	1	5	3	4	1	2	5	9	3	11	4	4					
		1.35%	1.24%	1.59%	1.07%	2.40%	1.30%	1.26%	0.77%	1.84%	0.62%	0.72%	1.23%	1.16%	2.31%	2.10%	1.39%	4.66%	0.26%	0.56%	1.28%	0.45%	1.12%	0.87%	1.77%	0.59%	1.28%	2.42%	1.65%	1.48%	1.51%	1.85%	1.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	240	16	13	20	10	25	17	20	9	19	14	9	3	0	8	5	0	6	3	5	1	9	6	0	3	0	1	7	1	9	1	0					
