Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Шебалинская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241					
1	"Число избирателей, внесенных в список избирателей"	10316	304	201	486	407	609	557	145	101	282	1441	423	273	63	1877	1819	231	404	53	147	112	202	179					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10494	301	196	506	407	598	559	143	102	283	1543	427	266	61	1928	1791	227	436	61	141	122	212	184					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5488	194	161	336	271	299	256	101	61	114	704	212	184	45	775	877	138	250	38	87	79	173	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	505	16	9	15	16	31	35	4	3	58	69	16	13	0	87	92	19	11	1	0	2	2	6					
6	Число погашенных избирательных бюллетеней	4501	91	26	155	120	268	268	38	38	111	770	199	69	16	1066	822	70	175	22	54	41	37	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	505	16	9	15	16	31	35	4	3	58	69	16	13	0	87	92	19	11	1	0	2	2	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5488	194	161	336	271	299	256	101	61	114	704	212	184	45	775	877	138	250	38	87	79	173	133					
9	Число недействительных избирательных бюллетеней	57	1	2	0	1	4	4	1	1	3	7	0	0	0	9	16	0	5	0	0	1	1	1					
10	Число действительных избирательных бюллетеней	5936	209	168	351	286	326	287	104	63	169	766	228	197	45	853	953	157	256	39	87	80	174	138					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	232	8	5	17	18	10	10	5	5	5	15	5	10	5	40	30	5	10	6	5	5	8	5					
