Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Балтачевская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186					
1	"Число избирателей, внесенных в список избирателей"	16505	330	281	199	236	287	493	175	439	187	180	185	371	330	152	137	127	224	414	257	229	125	307	133	132	1002	1033	1038	1010	396	394	85	128	239	162	323	95	703	111	118	443	311	300	170	284	326	238	137	86	125	509	347	221	241					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17898	366	316	211	252	284	658	194	451	191	189	200	388	347	165	140	131	224	440	255	263	126	348	140	138	1021	1159	1072	1078	398	409	90	128	255	182	328	113	841	117	134	480	326	306	195	336	355	261	154	103	133	637	357	237	276					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15559	309	266	187	216	273	446	145	400	182	175	178	347	311	141	132	110	209	400	245	226	120	286	131	109	950	992	976	966	382	378	80	121	223	153	305	95	674	107	116	400	296	293	119	272	318	228	124	79	123	474	316	220	235					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	612	10	10	6	12	11	36	27	31	3	3	6	10	13	8	3	15	9	10	5	2	5	16	0	22	41	14	40	18	7	14	5	7	13	6	15	0	23	3	0	30	9	0	17	10	5	8	10	7	0	26	11	0	0					
6	Число погашенных избирательных бюллетеней	1727	47	40	18	24	0	176	22	20	6	11	16	31	23	16	5	6	6	30	5	35	1	46	9	7	30	153	56	94	9	17	5	0	19	23	8	18	144	7	18	50	21	13	59	54	32	25	20	17	10	137	30	17	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	612	10	10	6	12	11	36	27	31	3	3	6	10	13	8	3	15	9	10	5	2	5	16	0	22	41	14	40	18	7	14	5	7	13	6	15	0	23	3	0	30	9	0	17	10	5	8	10	7	0	26	11	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15559	309	266	187	216	273	446	145	400	182	175	178	347	311	141	132	110	209	400	245	226	120	286	131	109	950	992	976	966	382	378	80	121	223	153	305	95	674	107	116	400	296	293	119	272	318	228	124	79	123	474	316	220	235					
9	Число недействительных избирательных бюллетеней	74	0	2	0	0	0	3	12	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	7	3	5	0	0	0	0	0	0	2	0	9	0	0	0	0	0	3	0	9	0	4	0	0	7	2	0	0					
10	Число действительных избирательных бюллетеней	16097	319	274	193	228	284	479	160	431	185	178	184	357	324	149	135	124	215	410	250	228	125	300	131	131	991	999	1013	979	389	392	85	128	236	159	318	95	688	110	116	430	305	293	133	282	314	236	130	86	123	493	325	220	235					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	758	19	15	9	6	5	50	17	7	5	3	8	13	3	3	5	0	1	15	5	27	5	23	5	6	35	40	65	80	13	1	0	3	20	17	7	15	26	5	6	13	0	7	15	37	12	6	10	8	0	30	7	5	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	750	19	15	9	6	5	50	17	7	5	3	8	13	3	2	4	0	1	13	5	27	5	23	5	6	35	40	65	80	13	1	0	3	20	17	7	15	26	5	6	13	0	7	11	37	12	6	10	8	0	30	7	5	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	194	3	2	5	0	4	5	1	1	4	0	1	1	1	0	0	1	1	2	3	5	7	1	4	3	17	20	20	18	7	2	0	0	1	1	6	2	0	3	2	1	1	3	4	7	3	2	0	1	0	5	9	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	194	4	3	2	2	2	8	0	3	0	0	1	2	1	0	0	0	0	1	1	1	1	1	1	1	0	65	8	2	2	1	0	2	1	1	1	0	41	1	1	2	1	6	1	0	4	2	2	0	1	12	2	0	0					
		1.20%	1.25%	1.09%	1.04%	0.88%	0.70%	1.66%	0.00%	0.70%	0.00%	0.00%	0.54%	0.56%	0.31%	0.00%	0.00%	0.00%	0.00%	0.24%	0.40%	0.44%	0.80%	0.33%	0.76%	0.76%	0.00%	6.46%	0.79%	0.20%	0.51%	0.26%	0.00%	1.56%	0.42%	0.63%	0.31%	0.00%	5.88%	0.91%	0.86%	0.47%	0.33%	2.05%	0.74%	0.00%	1.24%	0.85%	1.49%	0.00%	0.81%	2.40%	0.61%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	241	3	4	3	3	2	6	3	4	1	4	2	4	5	2	0	2	7	2	3	5	3	2	3	0	0	55	10	6	3	4	1	0	2	2	2	2	38	1	1	7	3	1	4	1	0	5	1	0	5	6	5	1	2					
		1.49%	0.94%	1.45%	1.55%	1.32%	0.70%	1.24%	1.74%	0.93%	0.54%	2.25%	1.09%	1.12%	1.54%	1.34%	0.00%	1.60%	3.21%	0.49%	1.20%	2.19%	2.40%	0.66%	2.29%	0.00%	0.00%	5.47%	0.98%	0.61%	0.77%	1.02%	1.18%	0.00%	0.85%	1.26%	0.63%	2.11%	5.45%	0.91%	0.86%	1.63%	0.98%	0.34%	2.94%	0.35%	0.00%	2.12%	0.75%	0.00%	4.07%	1.20%	1.53%	0.45%	0.85%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	0	1	2	1	3	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	7	5	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0					
		0.22%	0.00%	0.36%	1.04%	0.44%	1.06%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.70%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.31%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.42%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	486	3	2	2	4	4	42	5	3	1	1	1	3	3	2	6	3	3	4	2	3	2	7	1	3	4	118	7	10	5	3	1	4	2	2	1	4	97	1	1	9	4	6	6	8	8	4	1	1	0	61	6	1	1					
		3.01%	0.94%	0.72%	1.04%	1.75%	1.41%	8.71%	2.91%	0.70%	0.54%	0.56%	0.54%	0.84%	0.93%	1.34%	4.44%	2.40%	1.38%	0.98%	0.80%	1.32%	1.60%	2.32%	0.76%	2.29%	0.40%	11.73%	0.69%	1.02%	1.29%	0.77%	1.18%	3.13%	0.85%	1.26%	0.31%	4.21%	13.92%	0.91%	0.86%	2.09%	1.31%	2.05%	4.41%	2.84%	2.48%	1.69%	0.75%	1.16%	0.00%	12.20%	1.83%	0.45%	0.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	4	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	10	4	1	1	0	0	0	1	0	1	0	8	0	0	1	0	2	1	0	0	1	0	0	0	6	1	0	0					
		0.31%	1.25%	0.00%	0.00%	0.88%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.44%	0.00%	0.33%	0.00%	0.00%	0.00%	0.99%	0.39%	0.10%	0.26%	0.00%	0.00%	0.00%	0.42%	0.00%	0.31%	0.00%	1.15%	0.00%	0.00%	0.23%	0.00%	0.68%	0.74%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	1.20%	0.31%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15075	304	264	184	215	273	420	152	421	182	173	180	347	313	145	129	119	205	403	240	218	119	289	126	127	984	744	976	959	378	383	83	122	229	154	312	89	495	107	113	411	297	278	121	272	302	223	126	85	117	406	311	218	232					
