Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Кармаскалинская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348					
1	"Число избирателей, внесенных в список избирателей"	36308	525	291	1265	452	1020	2409	831	842	444	203	443	1548	1697	241	329	145	1793	2179	2172	497	1248	657	202	187	771	656	296	1154	475	492	1849	2014	616	212	783	326	246	981	242	426	210	638	283	757	555	706					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36885	527	294	1265	454	1038	2436	833	840	451	205	447	1565	1716	243	331	145	1817	2228	2225	593	1273	661	208	189	777	660	294	1183	476	494	1866	2032	615	215	782	336	244	996	242	430	212	727	287	766	551	716					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	34272	500	282	1238	442	987	2311	758	788	422	176	431	1460	1640	227	264	145	1707	2068	2093	458	1224	637	191	127	750	601	272	1072	438	463	1778	1918	589	158	713	204	234	933	235	399	195	579	239	724	505	697					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1334	18	9	22	0	33	50	57	37	19	27	12	44	23	11	27	0	50	68	36	30	24	11	11	58	6	35	16	70	27	20	35	56	15	31	54	72	8	38	5	23	11	44	27	20	35	9					
6	Число погашенных избирательных бюллетеней	1279	9	3	5	12	18	75	18	15	10	2	4	61	53	5	40	0	60	92	96	105	25	13	6	4	21	24	6	41	11	11	53	58	11	26	15	60	2	25	2	8	6	104	21	22	11	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1334	18	9	22	0	33	50	57	37	19	27	12	44	23	11	27	0	50	68	36	30	24	11	11	58	6	35	16	70	27	20	35	56	15	31	54	72	8	38	5	23	11	44	27	20	35	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34272	500	282	1238	442	987	2311	758	788	422	176	431	1460	1640	227	264	145	1707	2068	2093	458	1224	637	191	127	750	601	272	1072	438	463	1778	1918	589	158	713	204	234	933	235	399	195	579	239	724	505	697					
9	Число недействительных избирательных бюллетеней	60	3	2	4	0	0	0	0	0	0	0	0	0	2	0	3	0	3	0	4	7	0	0	0	0	2	2	0	0	0	0	4	0	0	0	8	3	0	0	0	0	0	12	1	0	0	0					
10	Число действительных избирательных бюллетеней	35546	515	289	1256	442	1020	2361	815	825	441	203	443	1504	1661	238	288	145	1754	2136	2125	481	1248	648	202	185	754	634	288	1142	465	483	1809	1974	604	189	759	273	242	971	240	422	206	611	265	744	540	706					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	521	2	10	5	5	5	37	8	3	2	1	2	21	25	6	3	0	20	54	57	5	8	3	8	2	4	8	5	48	8	8	14	20	3	1	12	13	1	20	0	10	3	18	10	17	4	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	503	0	8	5	4	4	37	8	3	2	1	2	21	23	5	3	0	18	54	57	5	8	3	8	1	4	6	5	48	8	8	14	19	3	0	12	13	0	19	0	10	3	18	10	17	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	251	0	3	15	5	3	19	11	7	1	0	1	6	10	2	4	3	7	5	13	1	1	5	4	2	3	3	7	17	8	5	10	6	4	0	6	5	4	10	2	4	3	13	4	2	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	18	2	2	0	1	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
