Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
Наименование Избирательной комиссии:    Чишминская																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3366	УИК №3367	УИК №3368	УИК №3369	УИК №3370	УИК №3371	УИК №3372	УИК №3373	УИК №3374	УИК №3375	УИК №3376	УИК №3377	УИК №3378	УИК №3379	УИК №3380	УИК №3381	УИК №3382	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404					
1	"Число избирателей, внесенных в списки"	36617	273	227	317	293	157	207	158	420	469	96	607	293	384	228	254	303	164	115	88	152	418	210	378	523	284	353	244	365	186	307	395	496	242	263	237	324	290	345	175	736	350	479	242	83	1261	226	167	120	382	333	926	824	274	411	1376	1208	1525	886	1923	961	216	1120	2127	2002	1490	1968	1761					
2	"Число бюллетеней, полученных участковыми комиссиями"	35925	272	314	314	354	197	220	152	433	479	100	594	285	363	219	258	291	157	120	99	151	418	216	400	541	286	356	246	367	182	317	499	478	245	233	228	330	298	336	173	769	358	472	239	79	1211	216	170	122	393	346	927	796	297	416	1233	1226	1150	835	1842	957	248	1024	2041	1987	1437	1843	1770					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	25626	171	113	172	272	140	108	125	293	295	58	382	191	265	142	200	224	120	108	86	125	289	157	293	370	227	247	199	273	171	212	306	406	154	188	182	224	207	202	151	446	250	412	190	60	810	149	156	100	286	228	642	527	179	279	981	876	881	588	1329	632	205	812	1422	1322	1091	1351	1374					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2651	21	114	77	21	17	67	13	26	98	16	55	32	57	38	18	52	24	7	2	14	40	32	39	8	32	60	17	37	0	32	89	18	80	32	35	80	54	57	17	88	40	38	15	14	105	37	5	10	48	29	57	71	29	73	64	14	70	63	23	26	11	34	28	30	50	20	31					
6	Число погашенных бюллетеней	7660	80	87	65	61	40	45	14	114	86	26	156	62	41	39	41	15	13	5	11	12	89	27	68	163	27	49	30	57	11	73	104	54	11	13	11	26	37	77	5	235	68	22	34	5	296	30	9	12	59	89	228	187	89	64	188	336	199	184	490	299	32	178	591	635	319	472	365					
7	Число бюллетеней в переносных ящиках для голосования	2651	21	114	77	21	17	67	13	26	98	16	55	32	57	38	18	52	24	7	2	14	40	32	39	8	32	60	17	37	0	32	89	18	80	32	35	80	54	57	17	88	40	38	15	14	105	37	5	10	48	29	57	71	29	73	64	14	70	63	23	26	11	34	28	30	50	20	31					
8	Число бюллетеней в стационарных ящиках для голосования	25592	171	113	172	271	140	108	125	293	295	58	382	191	265	142	199	224	120	108	86	125	289	157	293	370	227	247	199	273	171	212	306	406	154	188	182	224	207	202	151	446	250	412	190	60	810	149	156	100	286	228	642	527	179	279	981	873	881	588	1328	632	205	812	1419	1322	1066	1351	1374					
9	Число недействительных бюллетеней	1206	8	0	10	9	16	4	10	34	36	6	30	14	22	18	22	13	10	31	4	28	20	8	13	21	18	16	12	40	11	21	22	14	1	4	23	18	11	19	2	49	13	3	22	0	37	12	7	12	23	6	19	0	10	17	7	17	38	13	54	7	5	35	41	36	12	67	25					
10	Число действительных бюллетеней	27037	184	227	239	283	141	171	128	285	357	68	407	209	300	162	195	263	134	84	84	111	309	181	319	357	241	291	204	270	160	223	373	410	233	216	194	286	250	240	166	485	277	447	183	74	878	174	154	98	311	251	680	598	198	335	1038	870	913	638	1297	651	211	811	1406	1316	1104	1304	1380					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	696	7	10	8	5	5	5	0	10	8	5	5	5	5	5	5	7	0	0	1	5	5	5	13	8	5	5	5	5	3	5	5	4	10	9	5	10	1	5	5	10	5	5	5	5	23	5	5	5	5	20	5	5	5	5	35	30	15	25	45	20	10	28	35	35	31	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	604	7	10	8	5	2	5	0	10	8	2	4	0	5	1	0	6	0	0	1	1	1	3	13	8	4	2	0	1	3	1	5	4	10	9	5	10	1	2	0	10	2	3	5	1	23	5	3	1	5	13	4	5	3	0	35	30	15	25	43	20	7	28	35	35	31	30	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	410	6	7	5	5	5	8	4	9	5	3	0	6	11	6	7	6	6	3	1	5	5	4	6	2	4	1	0	1	1	3	8	9	7	5	3	5	1	7	6	12	6	0	6	4	7	11	3	10	3	4	4	21	4	0	14	2	13	8	5	9	5	17	8	12	16	10	10					
14	Число погашенных открепительных удостоверений	92	0	0	0	0	3	0	0	0	0	3	1	5	0	4	5	1	0	0	0	4	4	2	0	0	1	3	5	4	0	4	0	0	0	0	0	0	0	3	5	0	3	2	0	4	0	0	2	4	0	7	1	0	2	5	0	0	0	0	2	0	3	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0					
16	Число утраченных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0					
																																																																										
18	"1. ""ЕДИНЕНИЕ"""	890	5	2	9	8	7	0	10	16	26	3	30	9	11	11	11	11	3	2	8	11	10	14	18	13	12	12	11	15	2	16	18	9	6	3	6	16	5	12	0	20	9	15	10	2	20	5	4	5	19	16	26	19	6	11	23	22	21	16	32	16	8	19	24	25	23	43	40					
		3.15%	2.60%	0.88%	3.61%	2.73%	4.45%	0.0%	7.24%	5.01%	6.61%	4.05%	6.86%	4.03%	3.41%	6.11%	5.06%	3.98%	2.08%	1.73%	9.09%	7.91%	3.03%	7.40%	5.42%	3.43%	4.63%	3.90%	5.09%	4.83%	1.16%	6.55%	4.55%	2.12%	2.56%	1.36%	2.76%	5.26%	1.91%	4.63%	0.0%	3.74%	3.10%	3.33%	4.87%	2.70%	2.18%	2.68%	2.48%	4.54%	5.68%	6.22%	3.71%	3.17%	2.88%	3.12%	2.20%	2.48%	2.20%	2.45%	2.36%	2.43%	3.70%	2.24%	1.65%	1.84%	2.06%	3.13%	2.84%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	510	3	7	2	3	0	7	5	2	6	1	2	2	3	1	2	3	1	0	0	2	1	6	4	7	6	3	4	0	3	4	2	5	3	8	1	5	1	5	0	9	1	0	4	0	9	4	2	1	4	1	14	13	7	1	36	21	14	14	36	16	5	22	28	29	30	37	32					
		1.80%	1.56%	3.08%	0.80%	1.02%	0.0%	4.0%	3.62%	0.62%	1.52%	1.35%	0.45%	0.89%	0.93%	0.55%	0.92%	1.08%	0.69%	0.0%	0.0%	1.43%	0.30%	3.17%	1.20%	1.85%	2.31%	0.97%	1.85%	0.0%	1.75%	1.63%	0.50%	1.17%	1.28%	3.63%	0.46%	1.64%	0.38%	1.93%	0.0%	1.68%	0.34%	0.0%	1.95%	0.0%	0.98%	2.15%	1.24%	0.90%	1.19%	0.38%	2.00%	2.17%	3.36%	0.28%	3.44%	2.36%	1.47%	2.15%	2.66%	2.43%	2.31%	2.60%	1.93%	2.14%	2.68%	2.69%	2.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	884	8	13	6	13	9	9	6	5	7	7	13	13	7	11	6	5	6	1	0	1	6	2	6	10	0	7	2	4	5	12	6	15	10	11	11	5	7	4	1	14	10	13	1	2	29	5	1	8	12	2	16	32	16	10	35	20	19	20	55	19	7	22	57	46	30	65	48					
		3.12%	4.16%	5.72%	2.40%	4.45%	5.73%	5.14%	4.34%	1.56%	1.78%	9.45%	2.97%	5.82%	2.17%	6.11%	2.76%	1.81%	4.16%	0.86%	0.0%	0.71%	1.82%	1.05%	1.80%	2.64%	0.0%	2.28%	0.92%	1.29%	2.92%	4.91%	1.51%	3.53%	4.27%	5.0%	5.06%	1.64%	2.68%	1.54%	0.59%	2.62%	3.44%	2.88%	0.48%	2.70%	3.16%	2.68%	0.62%	7.27%	3.59%	0.77%	2.28%	5.35%	7.69%	2.84%	3.34%	2.25%	1.99%	3.07%	4.07%	2.88%	3.24%	2.60%	3.93%	3.40%	2.68%	4.74%	3.41%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	595	7	2	4	5	5	6	3	4	6	3	17	2	6	5	2	5	1	2	1	0	8	8	6	16	6	5	2	2	1	13	1	10	4	4	1	6	1	5	0	12	5	3	1	1	19	5	4	0	9	5	15	10	2	0	35	21	20	7	31	19	5	22	36	46	25	34	18					
		2.10%	3.64%	0.88%	1.60%	1.71%	3.18%	3.42%	2.17%	1.25%	1.52%	4.05%	3.89%	0.89%	1.86%	2.77%	0.92%	1.81%	0.69%	1.73%	1.13%	0.0%	2.43%	4.23%	1.80%	4.23%	2.31%	1.62%	0.92%	0.64%	0.58%	5.32%	0.25%	2.35%	1.70%	1.81%	0.46%	1.97%	0.38%	1.93%	0.0%	2.24%	1.72%	0.66%	0.48%	1.35%	2.07%	2.68%	2.48%	0.0%	2.69%	1.94%	2.14%	1.67%	0.96%	0.0%	3.34%	2.36%	2.10%	1.07%	2.29%	2.88%	2.31%	2.60%	2.48%	3.40%	2.24%	2.47%	1.28%					
22	"5. ""За Русь Святую"""	119	0	0	0	3	2	1	0	1	1	3	2	1	2	1	1	1	1	0	0	0	6	0	3	3	1	0	2	0	2	2	0	2	0	0	0	5	0	2	0	6	0	1	0	0	1	3	1	0	3	0	10	0	1	0	7	4	4	1	6	1	1	2	4	3	1	5	6					
