Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																			
Дата голосования: 04.12.2011																			
																			
Наименование Избирательной комиссии:    Баунтовская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48					
1	"Число избирателей, внесенных в список избирателей"	7689	1721	1878	1189	457	245	271	553	468	262	153	129	363					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7443	1646	1765	1161	450	246	270	504	470	264	160	135	372					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	166	0	0	12	0	9	0	53	0	14	2	34	42					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3967	811	903	538	197	192	214	322	311	152	82	43	202					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	414	83	70	54	80	5	17	37	20	9	11	0	28					
6	Число погашенных избирательных бюллетеней	2896	752	792	557	173	40	39	92	139	89	65	58	100					
7	Число избирательных бюллетеней в переносных ящиках для голосования	580	83	70	66	80	14	17	90	20	23	13	34	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3967	811	903	538	197	192	214	322	311	152	82	43	202					
9	Число недействительных избирательных бюллетеней	55	13	14	9	6	0	1	4	4	0	1	1	2					
10	Число действительных избирательных бюллетеней	4492	881	959	595	271	206	230	408	327	175	94	76	270					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	125	20	15	20	15	5	5	15	10	10	3	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	87	16	13	5	14	5	2	15	10	0	2	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	21	29	9	4	2	1	7	1	3	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	38	4	2	15	1	0	3	0	0	10	1	1	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	1	3	1	1	4	5	4	1	19	22	2	12					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	633	147	148	103	33	11	11	61	52	7	5	5	50					
		13.92%	16.44%	15.21%	17.05%	11.91%	5.34%	4.76%	14.81%	15.71%	4.00%	5.26%	6.49%	18.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	512	81	123	90	44	1	18	58	30	7	15	6	39					
		11.26%	9.06%	12.64%	14.90%	15.88%	0.49%	7.79%	14.08%	9.06%	4.00%	15.79%	7.79%	14.34%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	7	12	5	8	1	1	1	0	0	0	2	0					
		0.81%	0.78%	1.23%	0.83%	2.89%	0.49%	0.43%	0.24%	0.00%	0.00%	0.00%	2.60%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	718	176	195	92	55	20	16	53	50	25	6	3	27					
		15.79%	19.69%	20.04%	15.23%	19.86%	9.71%	6.93%	12.86%	15.11%	14.29%	6.32%	3.90%	9.93%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	8	9	5	5	0	0	0	4	4	0	0	1					
		0.79%	0.89%	0.92%	0.83%	1.81%	0.00%	0.00%	0.00%	1.21%	2.29%	0.00%	0.00%	0.37%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2537	456	471	294	125	172	184	235	191	129	68	60	152					
		55.80%	51.01%	48.41%	48.68%	45.13%	83.50%	79.65%	57.04%	57.70%	73.71%	71.58%	77.92%	55.88%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	6	1	6	1	1	0	0	0	3	0	0	1					
		0.42%	0.67%	0.10%	0.99%	0.36%	0.49%	0.00%	0.00%	0.00%	1.71%	0.00%	0.00%	0.37%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
