Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Мухоршибирская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460					
1	"Число избирателей, внесенных в список избирателей"	19368	347	336	335	335	674	113	1431	1467	1477	69	295	1015	855	647	745	180	1496	1606	119	48	640	660	1138	67	360	429	313	74	575	306	1216					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18002	346	338	317	325	668	110	1300	1300	1300	73	300	1000	846	643	737	175	1300	1300	119	48	638	653	1000	74	353	420	259	78	582	300	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10308	265	255	190	255	397	86	678	525	625	44	201	666	396	283	407	103	632	750	103	42	483	467	634	47	316	293	157	46	290	194	478					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1271	32	26	57	18	35	3	94	53	48	8	21	86	74	68	77	20	13	14	4	4	62	63	144	2	11	22	4	1	30	24	153					
6	Число погашенных избирательных бюллетеней	6423	49	57	70	52	236	21	528	722	627	21	78	248	376	292	253	52	655	536	12	2	93	123	222	25	26	105	98	31	262	82	469					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1271	32	26	57	18	35	3	94	53	48	8	21	86	74	68	77	20	13	14	4	4	62	63	144	2	11	22	4	1	30	24	153					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10308	265	255	190	255	397	86	678	525	625	44	201	666	396	283	407	103	632	750	103	42	483	467	634	47	316	293	157	46	290	194	478					
9	Число недействительных избирательных бюллетеней	192	6	0	3	1	25	0	9	7	7	2	2	13	8	2	4	4	8	15	2	0	6	18	9	3	12	5	2	0	4	0	15					
10	Число действительных избирательных бюллетеней	11387	291	281	244	272	407	89	763	571	666	50	220	739	462	349	480	119	637	749	105	46	539	512	769	46	315	310	159	47	316	218	616					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	498	5	5	10	10	15	5	30	20	30	5	10	50	20	10	10	10	20	20	5	5	35	53	20	5	20	10	10	5	15	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	324	1	3	3	0	6	0	15	9	9	4	6	43	1	4	10	2	12	16	3	0	35	53	20	1	20	9	8	5	15	1	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	2	0	4	1	4	1	17	11	12	0	0	4	0	2	3	1	18	6	1	1	6	6	4	2	1	1	40	0	3	1	11					
14	Число погашенных неиспользованных открепительных удостоверений	174	4	2	7	10	9	5	15	11	21	1	4	7	19	6	0	8	8	4	2	5	0	0	0	4	0	1	2	0	0	9	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1399	24	13	25	11	16	7	137	67	97	3	6	98	70	56	96	6	109	135	8	0	36	96	136	0	6	25	9	3	17	15	72					
