Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Буйнакская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248					
1	"Число избирателей, внесенных в список избирателей"	46908	361	1331	377	2336	473	1261	2206	1925	283	1588	806	150	410	720	1515	790	1904	123	2523	1077	708	1832	1882	2751	2383	656	2464	2989	899	1803	1920	1706	2636	120					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44000	350	1310	370	2060	460	1150	2030	1720	280	1450	800	150	400	700	1400	770	1900	120	2240	1050	700	1800	1750	2490	2090	650	2190	2840	850	1800	1920	1700	2390	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43899	350	1310	369	2058	458	1149	2028	1719	276	1449	791	149	400	700	1400	765	1899	120	2239	1050	698	1795	1750	2488	2088	647	2189	2839	849	1752	1919	1699	2388	119					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0					
6	Число погашенных избирательных бюллетеней	54	0	0	1	2	2	1	2	1	4	1	9	1	0	0	0	5	1	0	1	0	2	5	0	2	2	3	1	1	1	1	1	1	2	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43899	350	1310	369	2058	458	1149	2028	1719	276	1449	791	149	400	700	1400	765	1899	120	2239	1050	698	1795	1750	2488	2088	647	2189	2839	849	1752	1919	1699	2388	119					
9	Число недействительных избирательных бюллетеней	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
10	Число действительных избирательных бюллетеней	43941	347	1310	369	2058	458	1149	2028	1719	276	1449	791	149	400	700	1400	765	1899	120	2239	1050	698	1795	1750	2488	2088	647	2189	2839	849	1797	1919	1699	2388	119					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	5	10	5	10	5	5	10	10	5	5	5	5	5	5	5	5	10	5	10	5	5	10	10	10	10	5	10	10	5	10	10	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	250	5	10	5	10	5	5	10	10	5	5	5	5	5	5	5	5	10	5	10	5	5	10	10	10	10	5	10	10	5	10	10	10	10	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.08%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.67%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.10%	0.00%	0.06%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0					
		0.02%	0.29%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.67%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2992	19	109	20	145	19	1	125	128	25	100	52	5	24	40	101	45	115	7	140	47	43	115	114	180	131	38	150	520	43	120	150	120	1	0					
		6.81%	5.43%	8.32%	5.42%	7.05%	4.15%	0.09%	6.16%	7.45%	9.06%	6.90%	6.57%	3.36%	6.00%	5.71%	7.21%	5.88%	6.06%	5.83%	6.25%	4.48%	6.16%	6.41%	6.51%	7.23%	6.27%	5.87%	6.85%	18.32%	5.06%	6.67%	7.82%	7.06%	0.04%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.07%	0.00%	0.00%	0.25%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	40921	326	1200	348	1912	438	1148	1902	1590	251	1347	739	142	373	660	1298	719	1784	113	2099	1001	655	1676	1635	2308	1957	607	2039	2319	804	1677	1769	1579	2387	119					
		93.12%	93.14%	91.60%	94.31%	92.91%	95.63%	99.91%	93.79%	92.50%	90.94%	92.96%	93.43%	95.30%	93.25%	94.29%	92.71%	93.99%	93.94%	94.17%	93.75%	95.33%	93.84%	93.37%	93.43%	92.77%	93.73%	93.82%	93.15%	81.68%	94.70%	93.22%	92.18%	92.94%	99.96%	100.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.06%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
