Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Кизлярская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792					
1	"Число избирателей, внесенных в список избирателей"	43424	2058	398	1505	307	1343	1495	440	1227	250	1286	259	317	1430	910	321	635	475	267	1441	1296	1192	240	260	640	1510	1260	735	1050	637	1320	210	930	1020	615	515	990	851	739	365	585	500	410	618	1593	135	348	440	2115	405	1263	295	477	992	509					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38200	1900	350	1360	270	1100	1240	350	1070	220	1130	230	280	1260	800	270	560	410	210	1300	1140	1100	210	230	570	1330	1110	650	930	560	1160	190	825	900	520	410	870	700	650	325	540	500	360	570	1400	115	305	425	1840	405	1110	260	420	850	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38011	1897	348	1354	270	1100	1239	350	1018	220	1130	230	280	1260	800	270	558	410	210	1290	1140	1100	210	230	529	1328	1108	648	928	560	1124	190	824	900	520	410	870	700	650	325	522	498	360	570	1398	115	305	425	1837	405	1110	260	420	848	410					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	141	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	48	3	2	6	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	2	2	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3	0	0	0	0	2	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	141	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38011	1897	348	1354	270	1100	1239	350	1018	220	1130	230	280	1260	800	270	558	410	210	1290	1140	1100	210	230	529	1328	1108	648	928	560	1124	190	824	900	520	410	870	700	650	325	522	498	360	570	1398	115	305	425	1837	405	1110	260	420	848	410					
9	Число недействительных избирательных бюллетеней	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	38149	1896	348	1354	270	1100	1239	350	1066	220	1130	230	279	1260	800	270	558	410	210	1290	1140	1100	210	230	568	1328	1108	648	928	560	1159	190	824	900	520	410	870	700	650	325	540	498	360	570	1398	115	305	425	1837	405	1110	260	420	848	410					
