Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																							
Дата голосования: 04.12.2011																																																																							
																																																																							
Наименование Избирательной комиссии:    Хасавюртовская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563					
1	"Число избирателей, внесенных в список избирателей"	90582	1178	450	925	673	1293	1367	1534	1500	2023	337	481	1244	2330	2223	1515	2228	1945	2310	1037	1399	1430	808	698	1702	634	2756	1061	1208	1505	2482	810	528	333	693	1594	950	180	2690	2154	2836	739	2998	533	1943	1425	2462	150	1300	1853	2121	414	2998	754	496	2263	400	2999	1435	2136	298	2122	1208	845	1646					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	86938	1133	431	892	639	1241	1339	1461	1461	1953	323	462	1189	2226	2160	1506	2176	1895	2218	1023	1355	1286	740	665	1592	602	2635	1013	1136	1441	2421	756	476	297	648	1530	900	175	2613	2089	2730	717	2880	485	1852	1362	2381	144	1242	1749	2017	398	2892	723	473	2163	386	2992	1367	2045	282	2030	1159	806	1565					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	86694	1133	431	892	639	1240	1339	1460	1460	1953	323	461	1189	2224	2160	1504	2120	1893	2218	1022	1355	1286	740	664	1590	599	2635	1013	1136	1350	2420	755	476	297	648	1528	900	175	2610	2087	2668	717	2880	485	1852	1360	2380	144	1242	1749	2015	398	2892	723	472	2163	386	2992	1367	2045	282	2028	1159	805	1565					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	36	0	0	0	0	1	0	1	1	0	0	1	0	2	0	2	0	2	0	1	0	0	0	1	2	3	0	0	0	1	1	1	0	0	0	2	0	0	3	2	0	0	0	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86684	1133	431	892	639	1240	1339	1459	1459	1953	323	461	1189	2224	2160	1503	2120	1891	2218	1022	1353	1286	740	664	1590	599	2635	1013	1136	1350	2420	755	476	297	648	1528	900	175	2610	2087	2668	717	2880	485	1852	1360	2380	144	1242	1749	2013	398	2892	723	472	2163	386	2992	1367	2045	282	2028	1159	804	1565					
9	Число недействительных избирательных бюллетеней	30	2	1	0	0	1	0	0	0	2	0	0	1	0	1	1	0	1	1	0	2	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	86862	1131	430	892	639	1239	1339	1459	1459	1951	323	461	1188	2224	2159	1502	2176	1890	2217	1022	1351	1286	740	664	1590	599	2633	1013	1132	1440	2420	755	476	297	648	1528	900	175	2609	2087	2730	717	2879	485	1852	1360	2380	144	1242	1749	2013	398	2892	721	472	2161	386	2992	1365	2043	282	2028	1158	804	1565					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	520	6	3	5	5	6	6	6	6	10	2	4	6	15	15	6	15	10	15	6	6	6	5	5	10	5	15	6	6	6	15	5	4	2	5	10	5	2	15	15	15	5	15	5	10	6	15	2	6	10	15	4	15	5	4	15	4	15	6	15	2	15	6	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	517	6	3	5	5	6	6	6	6	10	2	4	6	15	14	6	15	10	15	6	6	5	5	5	10	5	15	6	6	6	15	5	4	2	5	10	5	2	15	15	14	5	15	5	10	6	15	2	6	10	15	4	15	5	4	15	4	15	6	15	2	15	6	5	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	39	6	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	1	0	3	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0					
		0.04%	0.53%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.83%	0.00%	0.00%	0.00%	0.34%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.82%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.12%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
