Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Малгобекская городская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29					
1	"Число избирателей, внесенных в списки избирателей"	17073	972	2138	1843	498	1461	1364	1352	2111	1414	1001	464	312	350	752	1041					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16984	967	2127	1832	497	1452	1355	1347	2097	1414	998	463	313	347	748	1027					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16733	949	2107	1799	487	1434	1336	1337	2067	1391	988	453	303	337	733	1012					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	30	2	0	13	0	3	4	0	0	8	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	221	16	20	20	10	15	15	10	30	15	10	10	10	10	15	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	30	2	0	13	0	3	4	0	0	8	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16733	949	2107	1799	487	1434	1336	1337	2067	1391	988	453	303	337	733	1012					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	16763	951	2107	1812	487	1437	1340	1337	2067	1399	988	453	303	337	733	1012					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	20	20	20	20	20	20	20	35	50	20	5	5	5	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	4	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	100	1	2	0	1	1	0	0	0	46	21	6	6	6	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	296	20	20	19	20	19	19	20	34	50	20	5	5	5	20	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	1.Политическая партия «Аграрная партия России»	21	2	0	2	4	3	4	2	1	0	0	0	0	0	3	0					
		0.13%	0.21%	0.00%	0.11%	0.82%	0.21%	0.30%	0.15%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	19	1	3	0	0	0	0	0	0	0	4	4	3	4	0	0					
		0.11%	0.11%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.88%	0.99%	1.19%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	12	1	1	3	2	1	1	3	0	0	0	0	0	0	0	0					
		0.07%	0.11%	0.05%	0.17%	0.41%	0.07%	0.07%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14	0	0	2	1	1	1	1	1	1	1	2	0	3	0	0					
		0.08%	0.00%	0.00%	0.11%	0.21%	0.07%	0.07%	0.07%	0.05%	0.07%	0.10%	0.44%	0.00%	0.89%	0.00%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.11%	0.09%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	8	1	0	1	0	2	0	0	0	0	2	0	0	0	0	2					
		0.05%	0.11%	0.00%	0.06%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	51	5	2	6	7	10	4	6	5	6	0	0	0	0	0	0					
		0.30%	0.53%	0.09%	0.33%	1.44%	0.70%	0.30%	0.45%	0.24%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	59	1	2	3	4	5	10	10	19	0	0	2	0	1	0	2					
		0.35%	0.11%	0.09%	0.17%	0.82%	0.35%	0.75%	0.75%	0.92%	0.00%	0.00%	0.44%	0.00%	0.30%	0.00%	0.20%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	16536	939	2097	1791	469	1408	1320	1310	2041	1388	977	441	300	325	726	1004					
		98.65%	98.74%	99.53%	98.84%	96.30%	97.98%	98.51%	97.98%	98.74%	99.21%	98.89%	97.35%	99.01%	96.44%	99.05%	99.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	39	0	0	3	0	7	0	5	0	4	4	4	0	4	4	4					
		0.23%	0.00%	0.00%	0.17%	0.00%	0.49%	0.00%	0.37%	0.00%	0.29%	0.40%	0.88%	0.00%	1.19%	0.55%	0.40%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
