Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Костомукшская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №320	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575					
1	"Число избирателей, внесенных в списки избирателей"	25254	1303	2086	420	2636	2582	2455	2461	2569	2417	2493	2486	1346					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25000	1250	2000	500	2500	2500	2500	2500	2500	2500	2500	2500	1250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	94	94	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14205	682	1163	203	1505	1420	1473	1394	1454	1392	1414	1365	740					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	231	20	17	13	21	36	22	9	21	20	22	19	11					
6	Число погашенных избирательных бюллетеней	10470	454	820	284	974	1044	1005	1097	1025	1088	1064	1116	499					
7	Число избирательных бюллетеней в переносных ящиках для голосования	325	114	17	13	21	36	22	9	21	20	22	19	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14187	682	1160	203	1505	1418	1473	1394	1450	1390	1413	1359	740					
9	Число недействительных избирательных бюллетеней	134	9	12	0	23	6	12	14	20	9	15	9	5					
10	Число действительных избирательных бюллетеней	14378	787	1165	216	1503	1448	1483	1389	1451	1401	1420	1369	746					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	390	20	35	35	35	35	35	35	35	35	35	35	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	157	5	11	14	13	18	18	12	19	16	15	11	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	94	0	10	10	17	5	16	7	10	7	4	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	233	15	24	21	22	17	17	23	16	19	20	24	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	212	10	21	2	12	19	20	21	28	22	21	21	15					
		1.46%	1.26%	1.78%	0.93%	0.79%	1.31%	1.34%	1.50%	1.90%	1.56%	1.46%	1.52%	1.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	205	11	18	0	29	19	23	18	18	17	21	17	14					
		1.41%	1.38%	1.53%	0.00%	1.90%	1.31%	1.54%	1.28%	1.22%	1.21%	1.46%	1.23%	1.86%					
20	3.Политическая партия «Демократическая партия России»	19	2	2	0	3	0	1	2	5	0	3	0	1					
		0.13%	0.25%	0.17%	0.00%	0.20%	0.00%	0.07%	0.14%	0.34%	0.00%	0.21%	0.00%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1266	65	115	5	135	131	137	136	114	121	128	123	56					
		8.72%	8.17%	9.77%	2.31%	8.85%	9.01%	9.16%	9.69%	7.75%	8.58%	8.92%	8.93%	7.46%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	103	1	11	0	12	10	12	9	16	12	11	4	5					
		0.71%	0.13%	0.93%	0.00%	0.79%	0.69%	0.80%	0.64%	1.09%	0.85%	0.77%	0.29%	0.67%					
23	6.Политическая партия «Партия социальной справедливости»	51	2	8	1	6	4	2	6	5	6	3	5	3					
		0.35%	0.25%	0.68%	0.46%	0.39%	0.28%	0.13%	0.43%	0.34%	0.43%	0.21%	0.36%	0.40%					
24	7.Политическая партия «Либерально-демократическая партия России»	1555	99	111	25	194	157	115	141	142	150	150	176	95					
		10.72%	12.44%	9.43%	11.57%	12.71%	10.80%	7.69%	10.05%	9.65%	10.64%	10.45%	12.77%	12.65%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1703	71	138	16	162	176	191	160	157	185	192	167	88					
		11.74%	8.92%	11.72%	7.41%	10.62%	12.10%	12.78%	11.40%	10.67%	13.12%	13.38%	12.12%	11.72%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	109	1	6	1	15	13	13	11	11	11	11	11	5					
		0.75%	0.13%	0.51%	0.46%	0.98%	0.89%	0.87%	0.78%	0.75%	0.78%	0.77%	0.80%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8799	518	709	166	893	879	912	866	923	824	841	820	448					
		60.63%	65.08%	60.24%	76.85%	58.52%	60.45%	61.00%	61.72%	62.75%	58.44%	58.61%	59.51%	59.65%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	356	7	26	0	42	40	57	19	32	53	39	25	16					
		2.45%	0.88%	2.21%	0.00%	2.75%	2.75%	3.81%	1.35%	2.18%	3.76%	2.72%	1.81%	2.13%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
