Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Сосногорская городская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343					
1	"Число избирателей, внесенных в список избирателей"	41003	933	162	1121	2485	2525	2488	1698	870	2317	2503	1773	1425	1506	1937	2205	1618	1586	1235	1780	697	948	1939	577	248	702	832	1607	821	110	355					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38967	850	170	1100	2300	2300	2300	1600	750	2500	2300	1600	1300	1450	1800	2300	1400	1400	1050	1700	700	950	1900	580	250	702	830	1550	870	110	355					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2352	22	54	0	0	0	0	0	0	0	0	0	0	0	0	97	120	59	90	139	0	0	57	0	0	42	341	1147	184	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28666	786	87	870	1796	1862	1724	1262	641	1926	2008	1311	1029	1231	1421	1649	1029	969	828	1264	394	655	931	536	213	518	418	354	489	110	355					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1622	32	11	74	53	189	133	20	15	75	120	29	87	16	122	23	96	41	15	14	103	37	107	17	10	59	51	29	44	0	0					
6	Число погашенных избирательных бюллетеней	6327	10	18	156	451	249	443	318	94	499	172	260	184	203	257	531	155	331	117	283	203	258	805	27	27	83	20	20	153	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3952	32	65	74	53	189	133	20	15	75	120	29	87	16	122	120	216	100	105	153	103	37	164	17	10	101	392	1176	228	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28311	786	87	847	1696	1862	1724	1256	641	1926	1972	1275	1018	1199	1357	1645	998	958	828	1264	394	655	930	536	213	518	418	354	489	110	355					
9	Число недействительных избирательных бюллетеней	599	1	0	10	29	37	43	52	9	35	22	38	23	23	21	57	70	29	6	26	6	11	34	0	1	4	1	2	3	0	6					
10	Число действительных избирательных бюллетеней	31664	817	152	911	1720	2014	1814	1224	647	1966	2070	1266	1082	1192	1458	1708	1144	1029	927	1391	491	681	1060	553	222	615	809	1528	714	110	349					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1279	20	0	20	50	53	50	55	20	50	60	40	30	30	48	105	60	60	55	60	30	40	50	23	25	60	50	70	65	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1246	14	0	20	49	53	50	53	16	49	56	36	30	30	48	105	60	60	55	60	30	40	50	23	22	60	42	70	65	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1438	24	2	57	71	71	58	30	40	47	82	62	64	74	71	51	26	27	20	45	13	24	29	13	17	178	17	16	44	5	160					
14	Число погашенных неиспользованных открепительных удостоверений	33	6	0	0	1	0	0	2	4	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	355	6	1	8	16	21	29	15	2	25	20	16	7	16	22	8	6	9	2	10	4	11	16	5	0	26	25	27	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3693	10	6	138	306	294	244	171	81	311	326	204	133	172	184	198	165	128	112	166	47	56	127	4	18	4	3	36	12	12	25					
		11.45%	1.22%	3.95%	14.98%	17.50%	14.33%	13.14%	13.40%	12.35%	15.54%	15.58%	15.64%	12.04%	14.16%	12.44%	11.22%	13.59%	12.10%	12.00%	11.71%	9.46%	8.09%	11.61%	0.72%	8.07%	0.65%	0.37%	2.35%	1.67%	10.91%	7.04%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3560	9	6	122	241	260	257	180	87	276	264	188	152	155	53	208	130	139	107	152	80	74	129	8	5	8	8	85	50	5	122					
		11.03%	1.10%	3.95%	13.25%	13.78%	12.68%	13.84%	14.11%	13.26%	13.79%	12.62%	14.42%	13.76%	12.76%	3.58%	11.78%	10.71%	13.14%	11.47%	10.73%	16.10%	10.69%	11.79%	1.45%	2.24%	1.29%	0.99%	5.56%	6.97%	4.55%	34.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	372	2	1	10	24	36	24	21	4	39	33	24	6	16	1	23	14	14	12	18	6	8	13	3	2	1	2	5	5	0	5					
		1.15%	0.24%	0.66%	1.09%	1.37%	1.76%	1.29%	1.65%	0.61%	1.95%	1.58%	1.84%	0.54%	1.32%	0.07%	1.30%	1.15%	1.32%	1.29%	1.27%	1.21%	1.16%	1.19%	0.54%	0.90%	0.16%	0.25%	0.33%	0.70%	0.00%	1.41%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5133	105	10	179	349	354	346	280	132	379	329	250	179	225	185	279	177	185	116	189	116	186	361	61	8	6	7	36	81	8	15					
		15.91%	12.84%	6.58%	19.44%	19.95%	17.26%	18.63%	21.94%	20.12%	18.94%	15.73%	19.17%	16.20%	18.52%	12.51%	15.81%	14.58%	17.49%	12.43%	13.34%	23.34%	26.88%	32.99%	11.03%	3.59%	0.97%	0.86%	2.35%	11.30%	7.27%	4.23%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	647	2	1	25	46	64	45	39	27	57	51	31	30	30	6	44	28	17	33	24	3	8	22	3	1	1	2	1	4	0	2					
		2.01%	0.24%	0.66%	2.71%	2.63%	3.12%	2.42%	3.06%	4.12%	2.85%	2.44%	2.38%	2.71%	2.47%	0.41%	2.49%	2.31%	1.61%	3.54%	1.69%	0.60%	1.16%	2.01%	0.54%	0.45%	0.16%	0.25%	0.07%	0.56%	0.00%	0.56%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18039	689	128	432	730	983	873	524	310	893	1053	556	572	581	1024	941	624	543	542	830	237	349	404	472	188	594	786	1363	559	84	175					
		55.91%	84.23%	84.21%	46.91%	41.74%	47.93%	47.01%	41.07%	47.26%	44.63%	50.33%	42.64%	51.76%	47.82%	69.24%	53.31%	51.40%	51.32%	58.09%	58.57%	47.69%	50.43%	36.93%	85.35%	84.30%	95.96%	97.04%	89.08%	77.96%	76.36%	49.30%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	220	0	0	5	24	23	25	9	6	11	14	13	10	13	5	15	6	3	5	12	2	0	4	2	0	1	1	2	3	1	5					
		0.68%	0.00%	0.00%	0.54%	1.37%	1.12%	1.35%	0.71%	0.91%	0.55%	0.67%	0.99%	0.90%	1.07%	0.34%	0.85%	0.49%	0.28%	0.54%	0.85%	0.40%	0.00%	0.37%	0.36%	0.00%	0.16%	0.12%	0.13%	0.42%	0.91%	1.41%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
