Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Усть-Вымская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
1	"Число избирателей, внесенных в список избирателей"	24778	713	423	845	1644	2189	2272	1702	498	124	113	492	2884	262	648	678	150	245	196	148	125	2678	2799	2648	302					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24590	700	430	770	1700	2150	2290	1600	500	130	100	480	2900	250	650	650	150	240	195	150	135	2690	2700	2730	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17122	481	282	501	1149	1471	1711	1194	395	109	76	420	2230	176	450	474	122	225	173	110	91	1762	1600	1702	218					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1425	97	38	114	93	66	24	72	47	6	16	60	219	14	45	149	17	12	13	27	23	65	72	109	27					
6	Число погашенных избирательных бюллетеней	6001	122	110	155	458	613	555	334	58	15	8	0	451	60	155	27	11	3	9	13	21	863	1028	919	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1467	97	38	114	93	66	24	72	47	6	16	60	219	14	45	149	17	12	13	27	23	65	72	109	69					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17122	481	282	501	1149	1471	1711	1194	395	109	76	420	2230	176	450	474	122	225	173	110	91	1762	1600	1702	218					
9	Число недействительных избирательных бюллетеней	187	7	20	11	25	33	18	19	0	0	1	2	8	4	14	1	0	2	3	0	0	7	2	10	0					
10	Число действительных избирательных бюллетеней	18402	571	300	604	1217	1504	1717	1247	442	115	91	478	2441	186	481	622	139	235	183	137	114	1820	1670	1801	287					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	606	27	15	31	34	30	40	40	17	5	5	20	74	13	17	19	7	7	7	13	10	60	58	50	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	606	27	15	31	34	30	40	40	17	5	5	20	74	13	17	19	7	7	7	13	10	60	58	50	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	446	10	4	14	8	29	27	45	16	11	7	8	52	17	17	16	3	6	6	3	8	31	61	41	6					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	2	0	1	7	1	6	3	0	1	1	0	9	0	2	3	0	0	0	1	0	0	2	5	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2084	87	31	103	156	223	221	208	18	2	8	58	180	20	61	35	7	6	8	7	12	227	118	278	10					
		11.21%	15.05%	9.69%	16.75%	12.56%	14.51%	12.74%	16.43%	4.07%	1.74%	8.70%	12.08%	7.35%	10.53%	12.32%	5.62%	5.04%	2.53%	4.30%	5.11%	10.53%	12.42%	7.06%	15.35%	3.48%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2188	79	34	135	198	258	219	267	12	18	12	24	257	42	73	21	8	3	23	7	20	227	120	107	24					
		11.77%	13.67%	10.63%	21.95%	15.94%	16.79%	12.62%	21.09%	2.71%	15.65%	13.04%	5.00%	10.49%	22.11%	14.75%	3.37%	5.76%	1.27%	12.37%	5.11%	17.54%	12.42%	7.18%	5.91%	8.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	193	4	5	3	17	26	36	20	2	1	1	5	23	7	11	6	1	2	1	0	0	9	4	5	4					
		1.04%	0.69%	1.56%	0.49%	1.37%	1.69%	2.07%	1.58%	0.45%	0.87%	1.09%	1.04%	0.94%	3.68%	2.22%	0.96%	0.72%	0.84%	0.54%	0.00%	0.00%	0.49%	0.24%	0.28%	1.39%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2106	48	24	89	164	271	292	198	37	19	21	20	173	32	108	69	25	31	47	24	15	167	103	113	16					
		11.33%	8.30%	7.50%	14.47%	13.20%	17.63%	16.83%	15.64%	8.37%	16.52%	22.83%	4.17%	7.06%	16.84%	21.82%	11.08%	17.99%	13.08%	25.27%	17.52%	13.16%	9.14%	6.16%	6.24%	5.57%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	205	13	4	5	10	29	24	27	2	1	3	1	25	2	3	4	2	1	0	0	0	24	12	10	3					
		1.10%	2.25%	1.25%	0.81%	0.81%	1.89%	1.38%	2.13%	0.45%	0.87%	3.26%	0.21%	1.02%	1.05%	0.61%	0.64%	1.44%	0.42%	0.00%	0.00%	0.00%	1.31%	0.72%	0.55%	1.05%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11526	335	200	267	665	690	915	520	371	73	45	365	1765	79	220	482	96	192	101	98	67	1158	1309	1283	230					
		62.00%	57.96%	62.50%	43.41%	53.54%	44.89%	52.74%	41.07%	83.94%	63.48%	48.91%	76.04%	72.07%	41.58%	44.44%	77.37%	69.06%	81.01%	54.30%	71.53%	58.77%	63.38%	78.29%	70.84%	80.14%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	100	5	2	2	7	7	10	7	0	1	1	5	18	4	5	5	0	0	3	1	0	8	4	5	0					
		0.54%	0.87%	0.63%	0.33%	0.56%	0.46%	0.58%	0.55%	0.00%	0.87%	1.09%	1.04%	0.73%	2.11%	1.01%	0.80%	0.00%	0.00%	1.61%	0.73%	0.00%	0.44%	0.24%	0.28%	0.00%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
