Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Горномарийская районная																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236					
1	"Число избирателей, внесенных в список избирателей"	17841	948	406	271	294	767	411	878	376	481	190	275	147	210	518	111	362	802	368	293	257	396	193	444	435	490	586	861	167	281	569	579	107	268	625	760	186	180	202	205	383	543	375	641					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20526	1000	530	300	320	950	530	1000	430	560	230	300	150	230	570	130	420	900	420	320	280	460	230	500	500	600	620	950	230	320	750	700	130	320	750	800	220	220	250	250	256	600	450	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10263	540	298	202	212	441	287	479	237	290	150	134	114	93	279	61	177	450	175	201	167	242	90	286	263	227	308	506	78	165	343	337	71	117	344	293	119	107	121	167	213	258	228	393					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3880	139	108	36	57	146	51	186	64	103	12	47	24	93	101	37	128	82	99	42	36	100	66	66	95	208	185	202	89	56	85	103	15	117	163	126	36	56	29	20	43	130	92	207					
6	Число погашенных избирательных бюллетеней	6383	321	124	62	51	363	192	335	129	167	68	119	12	44	190	32	115	368	146	77	77	118	74	148	142	165	127	242	63	99	322	260	44	86	243	381	65	57	100	63	0	212	130	250					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3880	139	108	36	57	146	51	186	64	103	12	47	24	93	101	37	128	82	99	42	36	100	66	66	95	208	185	202	89	56	85	103	15	117	163	126	36	56	29	20	43	130	92	207					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10262	540	298	202	212	441	287	479	237	290	150	134	114	93	279	61	177	450	175	201	167	241	90	286	263	227	308	506	78	165	343	337	71	117	344	293	119	107	121	167	213	258	228	393					
9	Число недействительных избирательных бюллетеней	248	12	5	4	4	10	6	7	1	2	4	3	1	2	4	0	6	5	6	3	3	2	3	11	6	8	0	49	16	3	3	11	0	1	6	4	2	2	0	0	3	5	3	22					
10	Число действительных избирательных бюллетеней	13894	667	401	234	265	577	332	658	300	391	158	178	137	184	376	98	299	527	268	240	200	339	153	341	352	427	493	659	151	218	425	429	86	233	501	415	153	161	150	187	253	383	317	578					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1084	99	20	10	20	55	20	33	20	30	15	10	10	30	30	15	30	32	40	10	15	45	15	25	20	30	20	35	5	10	40	40	5	10	40	25	15	20	10	10	30	20	20	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1066	99	20	10	20	55	20	33	20	30	11	5	10	29	30	15	30	32	40	7	15	45	15	25	15	30	20	35	5	10	40	40	5	10	40	25	15	20	10	10	30	20	20	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	308	30	12	5	5	15	10	15	7	6	8	3	8	9	7	4	5	13	3	6	7	7	3	5	4	7	5	7	3	8	11	11	3	6	4	14	3	2	7	0	7	5	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	18	0	0	0	0	0	0	0	0	0	4	5	0	1	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	0	0	0	1	2	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1652	88	51	11	12	70	27	117	44	21	26	26	13	28	62	10	47	64	27	15	45	40	18	35	40	50	48	124	14	12	61	48	11	30	45	49	18	29	10	14	28	38	30	56					
		11.68%	12.96%	12.56%	4.62%	4.46%	11.93%	7.99%	17.59%	14.62%	5.34%	16.05%	14.36%	9.42%	15.05%	16.32%	10.20%	15.41%	12.03%	9.85%	6.17%	22.17%	11.73%	11.54%	9.94%	11.17%	11.49%	9.74%	17.51%	8.38%	5.43%	14.25%	10.91%	12.79%	12.82%	8.88%	11.69%	11.61%	17.79%	6.67%	7.49%	10.94%	9.79%	9.38%	9.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1669	72	45	24	9	52	64	59	29	46	15	14	14	33	44	20	44	90	39	36	24	39	17	35	49	40	66	99	15	38	44	46	12	15	57	69	23	24	15	25	27	61	35	45					
