Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Звениговская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104					
1	"Число избирателей, внесенных в списки"	34898	2471	2065	2420	1844	1883	688	1526	1315	1513	1250	1767	535	124	2006	1196	357	192	1655	1041	809	564	282	80	810	93	517	67	498	1952	595	680	500	820	188	197	398					
2	"Число бюллетеней, полученных участковыми комиссиями"	34500	2435	2000	2400	1740	1830	670	1460	1240	1355	1210	1790	546	117	1980	1215	358	195	1610	995	785	550	276	82	800	94	520	66	495	1910	1065	674	500	770	185	184	398					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18403	1373	1023	1304	918	1021	352	811	780	727	747	904	288	93	1174	618	182	109	897	566	410	286	156	46	341	61	242	35	194	786	568	265	286	450	100	89	201					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1204	19	13	27	88	23	111	54	28	58	3	48	23	6	27	46	22	16	45	18	52	43	22	0	30	4	19	0	40	60	27	83	27	24	8	57	33					
6	Число погашенных бюллетеней	14866	1043	964	1069	734	786	207	595	432	543	460	838	235	18	779	551	154	70	668	411	323	221	98	36	429	29	259	31	261	1064	470	326	187	296	77	38	164					
7	Число бюллетеней в переносных ящиках для голосования	1204	19	13	27	88	23	111	54	28	58	3	48	23	6	27	46	22	16	45	18	52	43	22	0	30	4	19	0	40	60	27	83	27	24	8	57	33					
8	Число бюллетеней в стационарных ящиках для голосования	18399	1371	1023	1304	918	1019	352	811	780	727	747	904	288	93	1174	618	182	109	897	566	410	286	156	46	341	61	242	35	194	786	568	265	286	450	100	89	201					
9	Число недействительных бюллетеней	451	34	31	19	18	17	4	17	18	14	18	20	8	4	27	12	13	5	13	19	8	8	7	2	14	5	10	1	1	24	13	5	16	10	6	1	9					
10	Число действительных бюллетеней	19152	1356	1005	1312	988	1025	459	848	790	771	732	932	303	95	1174	652	191	120	929	565	454	321	171	44	357	60	251	34	233	822	582	343	297	464	102	145	225					
