Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Верхневилюйская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107					
1	"Число избирателей, внесенных в список избирателей"	11333	779	1043	487	735	789	649	532	42	275	132	158	408	401	155	308	329	312	360	301	249	281	247	29	406	39	245	188	181	58	247	277	306	248	137					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11010	650	850	450	700	700	600	500	40	300	130	180	400	400	200	400	300	300	350	300	250	250	250	45	450	55	300	200	170	60	290	260	320	250	110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7381	414	430	274	354	420	394	323	32	200	96	142	289	286	104	262	211	203	293	256	224	222	210	22	285	35	191	153	140	50	171	168	239	198	90					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	652	33	92	15	32	45	40	20	0	22	3	5	41	52	7	16	11	10	22	16	4	10	12	1	34	0	11	16	19	0	18	9	16	18	2					
6	Число погашенных избирательных бюллетеней	2972	203	328	161	314	235	166	157	8	75	31	33	70	62	89	122	78	87	35	28	22	18	28	22	131	20	98	31	11	10	101	83	65	32	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	657	33	92	15	32	45	40	20	0	25	3	5	41	52	7	16	11	10	22	16	4	10	12	1	34	0	11	16	19	0	18	9	16	20	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7380	414	430	274	354	420	394	323	32	200	96	142	288	286	104	262	211	203	293	256	224	222	210	22	285	35	191	153	140	50	171	168	239	198	90					
9	Число недействительных избирательных бюллетеней	51	2	3	3	3	4	1	3	0	3	0	1	3	2	0	2	1	3	1	6	0	1	0	0	3	0	0	0	3	0	0	0	0	2	1					
10	Число действительных избирательных бюллетеней	7986	445	519	286	383	461	433	340	32	222	99	146	326	336	111	276	221	210	314	266	228	231	222	23	316	35	202	169	156	50	189	177	255	216	91					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	565	30	20	20	20	25	20	20	5	20	15	15	20	25	10	50	30	10	10	10	10	25	10	5	15	5	10	10	10	5	10	20	25	25	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	435	25	5	6	19	19	15	8	3	17	9	9	20	25	10	49	29	9	10	5	8	24	8	5	11	1	4	2	3	0	10	19	23	25	0					
