Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Верхоянская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в список избирателей"	7975	650	624	951	484	384	727	204	648	480	311	393	109	246	346	239	232	218	233	204	136	99	57					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8789	547	613	987	482	364	1000	249	669	607	490	367	102	375	352	282	240	249	244	211	172	126	61					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	269	65	0	0	0	0	0	0	6	60	51	0	0	24	33	26	0	0	2	0	0	2	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4448	225	239	318	169	168	462	128	456	319	241	262	74	202	238	127	162	155	175	124	79	94	31					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	372	25	15	18	22	5	56	29	46	25	19	15	0	20	27	5	5	16	0	5	12	3	4					
6	Число погашенных избирательных бюллетеней	3700	232	359	651	291	191	482	92	161	203	179	90	28	129	54	124	73	78	67	82	81	27	26					
7	Число избирательных бюллетеней в переносных ящиках для голосования	641	90	15	18	22	5	56	29	52	85	70	15	0	44	60	31	5	16	2	5	12	5	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4448	225	239	318	169	168	462	128	456	319	241	262	74	202	238	127	162	155	175	124	79	94	31					
9	Число недействительных избирательных бюллетеней	22	2	1	0	1	1	5	1	1	3	0	2	1	0	2	0	0	0	1	0	0	0	1					
10	Число действительных избирательных бюллетеней	5067	313	253	336	190	172	513	156	507	401	311	275	73	246	296	158	167	171	176	129	91	99	34					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	235	14	14	14	14	14	14	10	14	14	14	10	5	14	20	7	7	7	7	7	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	127	5	6	13	4	4	14	6	5	14	0	5	1	0	20	7	7	7	1	2	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	11	5	5	1	4	8	1	4	1	4	4	0	0	3	0	1	3	5	0	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	108	9	8	1	10	10	0	4	9	0	14	5	4	14	0	0	0	0	6	5	0	4	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	1	0	0	1	0	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1038	59	58	79	44	30	112	21	80	83	62	63	33	92	55	16	39	23	33	22	26	5	3					
		20.40%	18.73%	22.83%	23.51%	23.04%	17.34%	21.62%	13.38%	15.75%	20.54%	19.94%	22.74%	44.59%	37.40%	18.46%	10.13%	23.35%	13.45%	18.64%	17.05%	28.57%	5.05%	8.57%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	224	34	16	22	11	20	12	22	19	17	5	5	2	4	10	7	2	6	3	3	1	3	0					
		4.40%	10.79%	6.30%	6.55%	5.76%	11.56%	2.32%	14.01%	3.74%	4.21%	1.61%	1.81%	2.70%	1.63%	3.36%	4.43%	1.20%	3.51%	1.69%	2.33%	1.10%	3.03%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	67	3	2	0	2	5	10	1	8	15	2	2	0	3	1	1	2	0	1	8	0	1	0					
		1.32%	0.95%	0.79%	0.00%	1.05%	2.89%	1.93%	0.64%	1.57%	3.71%	0.64%	0.72%	0.00%	1.22%	0.34%	0.63%	1.20%	0.00%	0.56%	6.20%	0.00%	1.01%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	725	53	57	69	22	32	94	15	79	56	54	51	6	38	22	16	9	13	7	16	11	4	1					
		14.25%	16.83%	22.44%	20.54%	11.52%	18.50%	18.15%	9.55%	15.55%	13.86%	17.36%	18.41%	8.11%	15.45%	7.38%	10.13%	5.39%	7.60%	3.95%	12.40%	12.09%	4.04%	2.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	12	3	3	1	3	2	0	1	0	1	2	1	0	2	0	0	0	0	0	0	1	0					
		0.63%	3.81%	1.18%	0.89%	0.52%	1.73%	0.39%	0.00%	0.20%	0.00%	0.32%	0.72%	1.35%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2972	152	116	162	110	82	281	97	320	229	187	150	30	109	206	118	114	129	132	80	53	85	30					
		58.40%	48.25%	45.67%	48.21%	57.59%	47.40%	54.25%	61.78%	62.99%	56.68%	60.13%	54.15%	40.54%	44.31%	69.13%	74.68%	68.26%	75.44%	74.58%	62.02%	58.24%	85.86%	85.71%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	9	0	1	1	0	0	2	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0					
		0.18%	0.00%	0.39%	0.30%	0.00%	0.00%	0.39%	0.00%	0.00%	0.25%	0.00%	0.72%	1.35%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
