Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Горная																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, внесенных в список избирателей"	6270	1277	340	509	1152	1157	354	259	324	281	332	285					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6530	1400	380	520	1000	1200	370	300	370	300	390	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	45	0	0	21	0	3	2	0	6	3	8	2					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4797	868	312	410	751	784	324	231	302	249	301	265					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	399	98	25	25	87	60	19	20	16	23	14	12					
6	Число погашенных избирательных бюллетеней	1289	434	43	64	162	353	25	49	46	25	67	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	444	98	25	46	87	63	21	20	22	26	22	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4797	868	312	410	751	784	324	231	302	249	301	265					
9	Число недействительных избирательных бюллетеней	37	5	0	5	7	7	1	1	2	1	4	4					
10	Число действительных избирательных бюллетеней	5204	961	337	451	831	840	344	250	322	274	319	275					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	33	10	26	27	30	10	10	10	20	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	183	33	10	26	25	27	9	10	10	20	7	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	19	1	8	14	10	5	1	1	7	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	13	0	0	0	2	3	1	0	0	0	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	3	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1447	291	69	110	251	234	96	79	49	58	118	92					
		27.61%	30.12%	20.47%	24.12%	29.95%	27.63%	27.83%	31.47%	15.12%	21.09%	36.53%	32.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	67	11	8	7	7	15	2	4	2	3	6	2					
		1.28%	1.14%	2.37%	1.54%	0.84%	1.77%	0.58%	1.59%	0.62%	1.09%	1.86%	0.72%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	27	3	2	3	4	5	4	1	1	0	1	3					
		0.52%	0.31%	0.59%	0.66%	0.48%	0.59%	1.16%	0.40%	0.31%	0.00%	0.31%	1.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	520	99	13	29	100	109	26	38	35	14	27	30					
		9.92%	10.25%	3.86%	6.36%	11.93%	12.87%	7.54%	15.14%	10.80%	5.09%	8.36%	10.75%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	5	0	1	8	6	0	0	0	1	0	0					
		0.40%	0.52%	0.00%	0.22%	0.95%	0.71%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3101	547	245	298	459	468	215	125	235	198	166	145					
		59.17%	56.63%	72.70%	65.35%	54.77%	55.25%	62.32%	49.80%	72.53%	72.00%	51.39%	51.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	21	5	0	3	2	3	1	3	0	0	1	3					
		0.40%	0.52%	0.00%	0.66%	0.24%	0.35%	0.29%	1.20%	0.00%	0.00%	0.31%	1.08%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
