Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Оленекская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №510	УИК №511	УИК №512	УИК №513					
1	"Число избирателей, внесенных в списки избирателей"	2372	1318	481	384	189					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2285	1205	478	410	192					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	105	15	45	41	4					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1873	992	384	332	165					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	111	71	25	11	4					
6	Число погашенных избирательных бюллетеней	196	127	24	26	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	216	86	70	52	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1873	992	384	332	165					
9	Число недействительных избирательных бюллетеней	17	9	4	3	1					
10	Число действительных избирательных бюллетеней	2072	1069	450	381	172					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	147	72	40	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	107	55	27	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	16	11	1	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	40	17	13	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	22	12	8	2	0					
		1.05%	1.11%	1.76%	0.52%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2	1	1	0	0					
		0.10%	0.09%	0.22%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	1	1	0	0					
		0.10%	0.09%	0.22%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	299	142	68	61	28					
		14.31%	13.17%	14.98%	15.89%	16.18%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	11	11	0	0	0					
		0.53%	1.02%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	1	0	0	0					
		0.05%	0.09%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	37	19	6	10	2					
		1.77%	1.76%	1.32%	2.60%	1.16%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	126	64	19	19	24					
		6.03%	5.94%	4.19%	4.95%	13.87%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	13	5	3	5	0					
		0.62%	0.46%	0.66%	1.30%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1552	809	344	281	118					
		74.29%	75.05%	75.77%	73.18%	68.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	7	4	0	3	0					
		0.34%	0.37%	0.00%	0.78%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
