Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Алданская 																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40					
1	"Число избирателей, внесенных в списки"	30374	1689	718	978	1150	1280	1439	1248	1125	1221	1443	1827	185	115	1503	1424	1821	311	639	1444	968	399	1091	977	116	435	1791	1200	380	74	244	820	208	111					
2	"Число бюллетеней, полученных участковыми комиссиями"	29111	1700	700	950	1000	1300	1300	1100	1000	1100	1300	1700	201	130	1500	1500	1700	315	630	1400	900	400	1000	950	110	450	1700	1200	420	80	230	825	210	110					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	350	0	0	24	0	0	0	0	0	47	72	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	191	7	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18059	911	390	460	649	725	758	752	536	526	822	1052	148	115	989	858	937	270	396	1014	495	368	656	640	99	299	1055	772	308	71	217	476	196	99					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1251	53	8	49	25	64	36	32	57	131	22	50	7	0	23	99	150	5	16	32	111	4	31	21	9	16	82	18	45	0	13	27	5	10					
6	Число погашенных бюллетеней	9451	736	302	417	326	511	506	316	407	396	384	598	46	15	488	543	613	40	218	354	294	28	304	289	2	135	563	410	67	9	0	131	2	1					
7	Число бюллетеней в переносных ящиках для голосования	1601	53	8	73	25	64	36	32	57	178	94	50	7	0	23	99	150	5	16	32	111	4	40	21	9	16	82	18	45	0	13	218	12	10					
8	Число бюллетеней в стационарных ящиках для голосования	18056	911	390	460	649	725	758	752	536	526	822	1052	148	115	989	858	937	270	396	1014	495	368	656	640	99	299	1052	772	308	71	217	476	196	99					
9	Число недействительных бюллетеней	171	5	6	10	2	9	6	5	3	8	8	10	2	0	2	19	5	1	0	16	6	3	6	10	0	8	11	0	2	0	5	3	0	0					
10	Число действительных бюллетеней	19486	959	392	523	672	780	788	779	590	696	908	1092	153	115	1010	938	1082	274	412	1030	600	369	690	651	108	307	1123	790	351	71	225	691	208	109					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	345	10	10	10	10	10	10	10	10	10	10	10	10	10	15	15	15	10	15	10	10	5	15	15	5	15	15	15	10	5	5	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	3	2	1	5	3	4	7	0	1	6	3	3	0	1	8	4	0	4	0	6	1	0	2	3	0	8	3	1	3	0	6	1	0					
