Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Амгинская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61					
1	"Число избирателей, внесенных в списки"	9092	853	337	468	214	650	678	446	1120	369	388	740	345	326	524	270	1364					
2	"Число бюллетеней, полученных участковыми комиссиями"	9600	930	370	515	240	680	680	485	1150	380	400	765	365	335	535	290	1480					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	50	0	0	0	0	27	0	0	0	0	0	4	6	10	0	3	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6354	607	312	287	202	431	478	312	682	276	285	528	246	251	397	232	828					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1027	138	7	101	12	68	69	48	134	67	26	90	55	41	53	17	101					
6	Число погашенных бюллетеней	2169	185	51	127	26	154	133	125	334	37	89	143	58	33	85	38	551					
7	Число бюллетеней в переносных ящиках для голосования	1077	138	7	101	12	95	69	48	134	67	26	94	61	51	53	20	101					
8	Число бюллетеней в стационарных ящиках для голосования	6354	607	312	287	202	431	478	312	682	276	285	528	246	251	397	232	828					
9	Число недействительных бюллетеней	79	2	3	0	2	4	10	5	6	0	9	11	3	3	13	2	6					
10	Число действительных бюллетеней	7352	743	316	388	212	522	537	355	810	343	302	611	304	299	437	250	923					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	295	26	10	10	15	25	20	10	40	20	10	15	15	10	15	19	35					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	218	24	8	9	12	22	18	7	14	16	9	15	15	8	7	16	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	13	1	1	3	6	20	1	12	4	4	0	1	3	4	4	14					
14	Число погашенных открепительных удостоверений	77	2	2	1	3	3	2	3	26	4	1	0	0	2	8	3	17					
15	Число открепительных удостоверений выданных ТИК	5	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	353	26	21	19	13	32	27	16	20	18	13	37	20	5	46	17	23					
		4.75%	3.48%	6.58%	4.89%	6.07%	6.08%	4.93%	4.44%	2.45%	5.24%	4.18%	5.94%	6.51%	1.65%	10.22%	6.74%	2.47%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	800	92	34	60	39	24	58	27	111	28	21	22	32	70	61	7	114					
		10.76%	12.34%	10.65%	15.46%	18.22%	4.56%	10.60%	7.5%	13.60%	8.16%	6.75%	3.53%	10.42%	23.17%	13.55%	2.77%	12.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	160	18	7	14	6	16	5	6	15	3	2	15	10	6	19	0	18					
		2.15%	2.41%	2.19%	3.60%	2.80%	3.04%	0.91%	1.66%	1.83%	0.87%	0.64%	2.41%	3.25%	1.98%	4.22%	0.0%	1.93%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	50	7	2	1	0	7	5	2	3	1	7	4	0	1	2	5	3					
		0.67%	0.93%	0.62%	0.25%	0.0%	1.33%	0.91%	0.55%	0.36%	0.29%	2.25%	0.64%	0.0%	0.33%	0.44%	1.98%	0.32%					
22	"5. ""За Русь Святую"""	12	0	0	0	0	1	1	0	0	2	0	1	4	2	0	0	1					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.19%	0.18%	0.0%	0.0%	0.58%	0.0%	0.16%	1.30%	0.66%	0.0%	0.0%	0.10%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	1	0	0	1	1	2	1	0	0	1	0	1	0	0	0	1					
		0.12%	0.13%	0.0%	0.0%	0.46%	0.19%	0.36%	0.27%	0.0%	0.0%	0.32%	0.0%	0.32%	0.0%	0.0%	0.0%	0.10%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	2	0	2	2	1	0	2	2	0	0	1	2	3	1	1	3					
		0.29%	0.26%	0.0%	0.51%	0.93%	0.19%	0.0%	0.55%	0.24%	0.0%	0.0%	0.16%	0.65%	0.99%	0.22%	0.39%	0.32%					
25	"8. ""Народно-республиканская партия России"""	12	1	0	1	0	1	2	2	1	0	2	0	0	0	0	0	2					
		0.16%	0.13%	0.0%	0.25%	0.0%	0.19%	0.36%	0.55%	0.12%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	0	0	0	0	2	2	0	0	0	1	2	0	0	1	0	5					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.38%	0.36%	0.0%	0.0%	0.0%	0.32%	0.32%	0.0%	0.0%	0.22%	0.0%	0.53%					
27	"10. ""Аграрная партия России"""	299	19	10	14	13	34	25	6	23	2	10	32	12	41	12	19	27					
		4.02%	2.55%	3.13%	3.60%	6.07%	6.46%	4.57%	1.66%	2.81%	0.58%	3.21%	5.14%	3.90%	13.57%	2.66%	7.53%	2.90%					
28	"11. ""Истинные патриоты России"""	9	2	0	1	0	1	1	0	1	0	0	2	0	0	0	0	1					
		0.12%	0.26%	0.0%	0.25%	0.0%	0.19%	0.18%	0.0%	0.12%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.10%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	31	3	0	2	1	2	4	0	2	0	2	2	1	2	2	3	5					
		0.41%	0.40%	0.0%	0.51%	0.46%	0.38%	0.73%	0.0%	0.24%	0.0%	0.64%	0.32%	0.32%	0.66%	0.44%	1.19%	0.53%					
30	"13. ""Демократическая партия России"""	7	0	0	0	1	2	1	0	0	1	0	1	0	0	0	0	1					
		0.09%	0.0%	0.0%	0.0%	0.46%	0.38%	0.18%	0.0%	0.0%	0.29%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.10%					
31	"14. ""Великая Россия - Евразийский Союз"""	100	16	11	1	2	11	2	3	11	5	0	5	3	2	8	2	18					
		1.34%	2.14%	3.44%	0.25%	0.93%	2.09%	0.36%	0.83%	1.34%	1.45%	0.0%	0.80%	0.97%	0.66%	1.77%	0.79%	1.93%					
32	"15. ""Партия СЛОН"""	12	0	2	0	0	0	0	0	2	0	2	1	1	0	2	0	2					
		0.16%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.64%	0.16%	0.32%	0.0%	0.44%	0.0%	0.21%					
33	"16. ""Родина"" (народно-патриотический союз)"""	536	65	27	12	17	48	63	21	66	9	11	39	17	30	27	20	64					
		7.21%	8.72%	8.46%	3.09%	7.94%	9.12%	11.51%	5.83%	8.08%	2.62%	3.53%	6.27%	5.53%	9.93%	6.0%	7.93%	6.88%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	28	1	2	1	0	5	5	1	1	0	1	2	1	1	4	2	1					
		0.37%	0.13%	0.62%	0.25%	0.0%	0.95%	0.91%	0.27%	0.12%	0.0%	0.32%	0.32%	0.32%	0.33%	0.88%	0.79%	0.10%					
35	"18. ""ЛДПР"""	147	12	4	8	0	6	6	13	14	4	22	12	1	6	9	9	21					
		1.97%	1.61%	1.25%	2.06%	0.0%	1.14%	1.09%	3.61%	1.71%	1.16%	7.07%	1.92%	0.32%	1.98%	2.0%	3.57%	2.26%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	223	26	8	12	9	12	17	17	22	3	4	19	8	18	12	10	26					
		3.00%	3.48%	2.50%	3.09%	4.20%	2.28%	3.10%	4.72%	2.69%	0.87%	1.28%	3.05%	2.60%	5.96%	2.66%	3.96%	2.79%					
37	"20. ""Политическая партия ""Единая Россия"""	3723	397	145	198	92	246	238	204	444	224	169	313	167	93	184	134	475					
		50.10%	53.28%	45.45%	51.03%	42.99%	46.76%	43.51%	56.66%	54.41%	65.30%	54.34%	50.32%	54.39%	30.79%	40.88%	53.17%	51.13%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	0	0	2	1	2	2	1	1	1	1	0	0	0	2	0	2					
		0.20%	0.0%	0.0%	0.51%	0.46%	0.38%	0.36%	0.27%	0.12%	0.29%	0.32%	0.0%	0.0%	0.0%	0.44%	0.0%	0.21%					
39	"22. ""Развитие предпринимательства"""	23	2	0	0	0	2	1	0	3	1	1	2	0	3	6	0	2					
		0.30%	0.26%	0.0%	0.0%	0.0%	0.38%	0.18%	0.0%	0.36%	0.29%	0.32%	0.32%	0.0%	0.99%	1.33%	0.0%	0.21%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	612	41	34	27	9	53	65	28	54	35	17	89	14	10	31	17	88					
		8.23%	5.50%	10.65%	6.95%	4.20%	10.07%	11.88%	7.77%	6.61%	10.20%	5.46%	14.30%	4.56%	3.31%	6.88%	6.74%	9.47%					
																							
41	Против всех	156	12	9	13	6	13	5	5	14	6	15	10	10	6	8	4	20					
		2.09%	1.61%	2.82%	3.35%	2.80%	2.47%	0.91%	1.38%	1.71%	1.74%	4.82%	1.60%	3.25%	1.98%	1.77%	1.58%	2.15%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
