Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    ТИК Дигорского района																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78					
1	"Число избирателей, внесенных в списки избирателей"	14395	902	914	887	938	964	906	960	688	98	879	736	766	79	775	808	871	371	528	629	660	36					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13215	806	846	826	816	836	806	865	616	96	786	706	746	66	706	776	846	326	486	596	626	36					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10615	655	636	698	720	756	707	612	530	87	703	548	715	44	584	441	649	271	455	345	423	36					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	607	33	34	24	30	37	40	19	20	8	48	49	15	8	36	68	47	7	18	28	38	0					
6	Число погашенных избирательных бюллетеней	1991	118	176	104	66	43	59	234	66	1	33	109	16	14	86	267	150	48	13	223	165	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	607	33	34	24	30	37	40	19	20	8	48	49	15	8	36	68	47	7	18	28	38	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10610	655	636	698	720	756	707	612	530	87	703	548	710	44	584	441	649	271	455	345	423	36					
9	Число недействительных избирательных бюллетеней	98	0	0	2	0	0	6	0	0	0	0	15	5	3	0	0	10	11	0	22	24	0					
10	Число действительных избирательных бюллетеней	11119	688	670	720	750	793	741	631	550	95	751	582	720	49	620	509	686	267	473	351	437	36					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	16	16	16	16	17	17	17	15	12	17	16	12	16	16	16	16	5	14	15	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	74	5	2	1	6	8	7	3	2	0	6	3	10	0	6	3	7	1	2	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	58	1	0	1	4	1	0	2	0	0	6	2	0	0	1	1	0	0	0	0	3	36					
14	Число погашенных неиспользованных открепительных удостоверений	226	11	14	15	10	9	10	14	13	12	11	13	2	16	10	13	9	4	12	15	13	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
