Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Агрызская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507					
1	"Число избирателей, внесенных в список избирателей"	26429	886	758	781	1005	722	987	738	1140	957	725	983	1174	1107	928	1149	497	159	145	215	699	751	475	189	189	148	383	524	256	562	120	482	112	303	380	247	169	184	394	237	199	346	1177	279	477	713	399	264	204	147	364					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25230	820	700	710	882	654	877	662	1045	854	670	915	1063	983	817	1031	511	163	145	217	706	761	479	190	192	153	380	523	250	574	124	494	115	302	379	251	168	187	404	247	199	357	1194	281	481	721	401	273	207	147	371					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23651	782	661	671	818	616	814	611	979	811	638	866	1021	858	763	972	464	147	137	187	690	710	466	184	180	140	373	518	248	551	120	481	112	277	362	220	153	184	390	203	198	322	984	273	476	713	376	250	182	145	354					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	998	32	29	29	39	32	24	27	47	41	18	19	39	110	51	49	16	11	8	28	7	26	5	4	8	7	3	3	0	11	0	0	0	23	17	23	14	0	2	32	1	24	87	0	0	0	11	11	20	0	10					
6	Число погашенных избирательных бюллетеней	581	6	10	10	25	6	39	24	19	2	14	30	3	15	3	10	31	5	0	2	9	25	8	2	4	6	4	2	2	12	4	13	3	2	0	8	1	3	12	12	0	11	123	8	5	8	14	12	5	2	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	998	32	29	29	39	32	24	27	47	41	18	19	39	110	51	49	16	11	8	28	7	26	5	4	8	7	3	3	0	11	0	0	0	23	17	23	14	0	2	32	1	24	87	0	0	0	11	11	20	0	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23651	782	661	671	818	616	814	611	979	811	638	866	1021	858	763	972	464	147	137	187	690	710	466	184	180	140	373	518	248	551	120	481	112	277	362	220	153	184	390	203	198	322	984	273	476	713	376	250	182	145	354					
9	Число недействительных избирательных бюллетеней	94	0	0	1	8	0	2	0	0	0	1	4	1	18	12	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	0	16	0	1	0	0	0	0	2	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	24555	814	690	699	849	648	836	638	1026	852	655	881	1059	950	802	1021	475	158	145	215	697	736	471	188	187	147	376	521	248	562	120	481	112	300	379	243	145	184	376	235	198	346	1071	273	476	711	387	261	202	145	364					
