Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Барун-Хемчикская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54					
1	"Число избирателей, внесенных в списки"	6637	806	1645	445	316	414	369	740	279	694	929					
2	"Число бюллетеней, полученных участковыми комиссиями"	6468	757	1529	532	309	381	365	740	276	658	921					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	400	0	0	46	18	66	129	30	0	81	30					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3564	412	822	283	205	209	169	449	201	315	499					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	168	23	52	6	9	12	0	15	18	7	26					
6	Число погашенных бюллетеней	2336	322	655	197	77	94	67	246	57	255	366					
7	Число бюллетеней в переносных ящиках для голосования	568	23	52	52	27	78	129	45	18	88	56					
8	Число бюллетеней в стационарных ящиках для голосования	3563	412	822	282	205	209	169	449	201	315	499					
9	Число недействительных бюллетеней	220	20	62	18	4	4	0	40	0	24	48					
10	Число действительных бюллетеней	3911	415	812	316	228	283	298	454	219	379	507					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	20	0	3	2	1	1	0	6	0	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	11	1	6	0	0	1	0	0	0	0	3					
14	Число погашенных открепительных удостоверений	80	10	7	8	9	9	10	4	10	4	9					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	205	23	52	14	14	15	3	28	3	18	35					
		4.96%	5.28%	5.94%	4.19%	6.03%	5.22%	1.00%	5.66%	1.36%	4.46%	6.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	15	3	6	0	1	1	0	1	2	0	1					
		0.36%	0.68%	0.68%	0.0%	0.43%	0.34%	0.0%	0.20%	0.91%	0.0%	0.18%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	56	7	22	3	0	7	1	9	0	3	4					
		1.35%	1.60%	2.51%	0.89%	0.0%	2.43%	0.33%	1.82%	0.0%	0.74%	0.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	14	0	0	2	1	1	0	4	1	2	3					
		0.33%	0.0%	0.0%	0.59%	0.43%	0.34%	0.0%	0.80%	0.45%	0.49%	0.54%					
22	"5. ""За Русь Святую"""	2	0	0	1	0	0	0	0	0	0	1					
		0.04%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	0	1	0	1	0	0	1	1	1	3					
		0.19%	0.0%	0.11%	0.0%	0.43%	0.0%	0.0%	0.20%	0.45%	0.24%	0.54%					
24	"7. ""Новый курс - Автомобильная Россия"""	13	0	3	0	1	3	0	2	1	2	1					
		0.31%	0.0%	0.34%	0.0%	0.43%	1.04%	0.0%	0.40%	0.45%	0.49%	0.18%					
25	"8. ""Народно-республиканская партия России"""	1	0	1	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	1	0	2	0	3	0	1	0	1	3					
		0.26%	0.22%	0.0%	0.59%	0.0%	1.04%	0.0%	0.20%	0.0%	0.24%	0.54%					
27	"10. ""Аграрная партия России"""	34	0	6	0	0	6	0	3	2	2	15					
		0.82%	0.0%	0.68%	0.0%	0.0%	2.09%	0.0%	0.60%	0.91%	0.49%	2.70%					
28	"11. ""Истинные патриоты России"""	5	0	2	0	1	1	0	0	1	0	0					
		0.12%	0.0%	0.22%	0.0%	0.43%	0.34%	0.0%	0.0%	0.45%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	7	2	2	1	0	0	0	1	0	1	0					
		0.16%	0.45%	0.22%	0.29%	0.0%	0.0%	0.0%	0.20%	0.0%	0.24%	0.0%					
30	"13. ""Демократическая партия России"""	3	0	1	0	1	0	1	0	0	0	0					
		0.07%	0.0%	0.11%	0.0%	0.43%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	0	2	1	0	0	0	1	0	1	2					
		0.16%	0.0%	0.22%	0.29%	0.0%	0.0%	0.0%	0.20%	0.0%	0.24%	0.36%					
32	"15. ""Партия СЛОН"""	6	0	1	0	2	0	0	1	0	1	1					
		0.14%	0.0%	0.11%	0.0%	0.86%	0.0%	0.0%	0.20%	0.0%	0.24%	0.18%					
33	"16. ""Родина"" (народно-патриотический союз)"""	28	2	6	2	2	4	0	3	0	3	6					
		0.67%	0.45%	0.68%	0.59%	0.86%	1.39%	0.0%	0.60%	0.0%	0.74%	1.08%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	0	4	1	1	2	0	1	2	2	1					
		0.33%	0.0%	0.45%	0.29%	0.43%	0.69%	0.0%	0.20%	0.91%	0.49%	0.18%					
35	"18. ""ЛДПР"""	22	3	9	3	1	0	0	0	1	3	2					
		0.53%	0.68%	1.02%	0.89%	0.43%	0.0%	0.0%	0.0%	0.45%	0.74%	0.36%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	37	4	7	5	0	7	0	4	0	7	3					
		0.89%	0.91%	0.80%	1.49%	0.0%	2.43%	0.0%	0.80%	0.0%	1.73%	0.54%					
37	"20. ""Политическая партия ""Единая Россия"""	3211	340	630	266	194	219	285	380	196	300	401					
		77.72%	78.16%	72.08%	79.64%	83.62%	76.30%	95.63%	76.92%	89.49%	74.44%	72.25%					
38	"21. ""Российская Конституционно-демократическая партия"""	17	2	1	6	0	2	2	0	2	1	1					
		0.41%	0.45%	0.11%	1.79%	0.0%	0.69%	0.67%	0.0%	0.91%	0.24%	0.18%					
39	"22. ""Развитие предпринимательства"""	7	0	2	0	0	3	0	0	0	1	1					
		0.16%	0.0%	0.22%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%	0.24%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	149	26	45	9	4	7	5	7	3	27	16					
		3.60%	5.97%	5.14%	2.69%	1.72%	2.43%	1.67%	1.41%	1.36%	6.69%	2.88%					
																	
41	Против всех	39	2	9	0	4	2	1	7	4	3	7					
		0.94%	0.45%	1.02%	0.0%	1.72%	0.69%	0.33%	1.41%	1.82%	0.74%	1.26%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
