Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Ширинская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393					
1	"Число избирателей, внесенных в списки избирателей"	22453	1187	1537	1320	1700	1190	185	181	134	1833	1529	292	1449	1563	457	577	124	374	190	46	722	121	205	120	683	421	1113	495	686	940	166	475	125	67	246					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20450	1000	1350	1150	1550	1000	190	190	140	1630	1400	280	1320	1450	450	540	120	350	190	45	655	110	180	120	640	400	1000	450	650	900	160	440	115	65	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10976	518	650	593	806	593	114	131	111	903	646	94	572	703	150	337	85	238	128	34	411	71	92	69	368	268	614	337	337	431	77	235	85	52	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	619	41	27	63	26	19	5	1	4	45	37	11	31	54	37	16	0	22	8	0	16	12	5	0	0	27	17	20	16	11	0	8	0	3	37					
6	Число погашенных избирательных бюллетеней	8855	441	673	494	718	388	71	58	25	682	717	175	717	693	263	187	35	90	54	11	228	27	83	51	272	105	369	93	297	458	83	197	30	10	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	619	41	27	63	26	19	5	1	4	45	37	11	31	54	37	16	0	22	8	0	16	12	5	0	0	27	17	20	16	11	0	8	0	3	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10973	518	650	593	806	593	114	131	111	900	646	94	572	703	150	337	85	238	128	34	411	71	92	69	368	268	614	337	337	431	77	235	85	52	123					
9	Число недействительных избирательных бюллетеней	120	4	9	7	5	12	3	4	2	8	7	0	10	7	2	7	0	1	1	0	6	0	1	1	5	0	6	1	4	3	2	2	0	0	0					
10	Число действительных избирательных бюллетеней	11472	555	668	649	827	600	116	128	113	937	676	105	593	750	185	346	85	259	135	34	421	83	96	68	363	295	625	356	349	439	75	241	85	55	160					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	234	7	15	10	13	9	7	3	2	11	15	6	14	20	5	8	2	8	4	1	10	2	4	2	2	4	11	8	8	10	0	9	2	0	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	234	7	15	10	13	9	7	3	2	11	15	6	14	20	5	8	2	8	4	1	10	2	4	2	2	4	11	8	8	10	0	9	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	198	9	13	5	8	2	2	4	1	86	8	0	4	1	1	1	0	3	3	2	20	1	6	4	1	0	0	2	4	1	1	2	1	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	115	7	7	4	15	8	1	1	0	7	9	2	12	8	3	4	1	0	1	1	4	1	2	0	0	1	1	1	6	2	1	4	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	317	6	14	20	20	11	2	5	5	22	9	0	7	14	0	18	1	9	1	0	20	1	3	1	17	9	17	22	20	27	1	8	3	0	4					
		2.73%	1.07%	2.07%	3.05%	2.40%	1.80%	1.68%	3.79%	4.35%	2.33%	1.32%	0.00%	1.16%	1.85%	0.00%	5.10%	1.18%	3.46%	0.74%	0.00%	4.68%	1.20%	3.09%	1.45%	4.62%	3.05%	2.69%	6.16%	5.67%	6.11%	1.30%	3.29%	3.53%	0.00%	2.50%					
19	2.Всероссийская политическая партия «Гражданская Сила»	45	0	0	4	7	5	0	0	0	4	5	0	4	2	2	2	0	2	0	0	0	1	1	0	2	0	1	1	1	1	0	0	0	0	0					
		0.39%	0.00%	0.00%	0.61%	0.84%	0.82%	0.00%	0.00%	0.00%	0.42%	0.73%	0.00%	0.66%	0.26%	1.07%	0.57%	0.00%	0.77%	0.00%	0.00%	0.00%	1.20%	1.03%	0.00%	0.54%	0.00%	0.16%	0.28%	0.28%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	16	2	0	0	2	0	0	0	0	2	1	0	2	0	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0					
		0.14%	0.36%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.21%	0.15%	0.00%	0.33%	0.00%	1.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	1.45%	0.00%	0.00%	0.00%	0.28%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1561	69	128	111	138	67	15	8	9	86	151	11	102	103	19	31	6	19	13	8	31	13	7	3	49	23	74	21	43	68	4	86	23	7	15					
		13.47%	12.34%	18.91%	16.92%	16.59%	10.95%	12.61%	6.06%	7.83%	9.10%	22.11%	10.48%	16.92%	13.61%	10.16%	8.78%	7.06%	7.31%	9.56%	23.53%	7.26%	15.66%	7.22%	4.35%	13.32%	7.80%	11.73%	5.88%	12.18%	15.38%	5.19%	35.39%	27.06%	12.73%	9.38%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	40	3	1	0	3	0	0	0	0	5	5	2	5	2	0	1	0	4	1	0	0	2	0	0	1	0	3	0	1	1	0	0	0	0	0					
