Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Песчанокопская районная																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696					
1	"Число избирателей, внесенных в списки избирателей"	26289	1992	1983	1854	1848	1799	977	500	1854	1671	415	753	1111	910	630	1087	759	1232	1104	984	1239	1587					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26000	1840	1970	1820	1840	1760	980	495	1840	1680	420	760	1110	900	630	1090	740	1215	1090	990	1240	1590					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17706	1057	1341	1355	1110	1019	819	376	1456	1195	274	554	801	674	444	820	583	722	829	569	719	989					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3076	207	303	180	391	242	95	62	126	188	53	120	144	114	54	136	69	113	118	67	116	178					
6	Число погашенных избирательных бюллетеней	5218	576	326	285	339	499	66	57	258	297	93	86	165	112	132	134	88	380	143	354	405	423					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3075	206	303	180	391	242	95	62	126	188	53	120	144	114	54	136	69	113	118	67	116	178					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17700	1054	1341	1355	1110	1019	819	376	1456	1195	274	554	801	674	444	820	583	722	829	569	719	986					
9	Число недействительных избирательных бюллетеней	135	6	4	2	40	2	4	0	0	9	0	0	14	47	4	0	0	0	0	0	0	3					
10	Число действительных избирательных бюллетеней	20640	1254	1640	1533	1461	1259	910	438	1582	1374	327	674	931	741	494	956	652	835	947	636	835	1161					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	450	31	34	32	31	30	17	10	31	30	8	14	18	16	11	20	12	22	17	17	21	28					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	183	10	14	7	10	5	7	4	16	23	4	7	6	4	6	5	3	4	9	8	8	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	43	3	3	4	4	0	1	1	7	3	0	2	5	0	2	0	2	2	1	0	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	267	21	20	25	21	25	10	6	15	7	4	7	12	12	5	15	9	18	8	9	13	5					
