Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Тацинская районная																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №2450	УИК №2515	УИК №2575	УИК №2640					
1	"Число избирателей, внесенных в списки избирателей"	30716	1380	1712	938	1086	1936	607	1448	1776	1268	1369	2124	506	304	209	908	1682	775	454	822	872	817	345	619	518	607	455	594	461	536	734	1191	1468	102	93					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31146	1341	1681	964	1064	1916	651	1472	1820	1288	1395	2173	504	312	211	941	1726	799	444	840	872	828	380	652	537	608	467	622	462	557	745	1205	1472	99	98					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17664	680	817	635	541	1079	367	785	1342	594	735	1259	302	115	105	346	723	441	273	487	660	560	210	431	314	461	258	394	301	298	406	825	755	93	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1819	44	37	43	44	59	132	77	72	59	90	58	51	71	47	136	91	61	25	79	12	37	26	35	34	20	31	40	26	49	84	30	111	3	5					
6	Число погашенных избирательных бюллетеней	11663	617	827	286	479	778	152	610	406	635	570	856	151	126	59	459	912	297	146	274	200	231	144	186	189	127	178	188	135	210	255	350	606	3	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1819	44	37	43	44	59	132	77	72	59	90	58	51	71	47	136	91	61	25	79	12	37	26	35	34	20	31	40	26	49	84	30	111	3	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17663	680	817	635	541	1079	367	785	1342	594	735	1259	302	115	105	346	722	441	273	487	660	560	210	431	314	461	258	394	301	298	406	825	755	93	72					
9	Число недействительных избирательных бюллетеней	91	1	5	4	5	8	0	1	10	3	2	11	0	0	0	4	0	1	2	3	0	0	1	0	3	0	3	2	0	13	4	0	5	0	0					
10	Число действительных избирательных бюллетеней	19391	723	849	674	580	1130	499	861	1404	650	823	1306	353	186	152	478	813	501	296	563	672	597	235	466	345	481	286	432	327	334	486	855	861	96	77					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	733	20	25	25	15	25	45	20	45	20	30	50	15	15	7	20	40	20	10	20	15	15	20	25	10	10	27	31	10	25	15	18	30	3	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	579	11	9	25	15	25	45	20	45	10	21	24	12	15	7	20	34	8	5	19	10	15	20	25	10	8	12	30	5	21	11	18	14	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	131	5	8	3	8	10	7	1	10	1	7	0	5	0	7	0	2	3	3	2	2	4	1	2	2	5	1	6	2	1	6	4	7	2	4					
14	Число погашенных неиспользованных открепительных удостоверений	154	9	16	0	0	0	0	0	0	10	9	26	3	0	0	0	6	12	5	1	5	0	0	0	0	2	15	1	5	4	4	0	16	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	2	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	944	15	20	11	3	5	17	19	10	12	17	19	3	8	4	4	17	19	11	6	99	85	41	20	33	30	58	163	30	57	56	11	20	5	16					
		4.85%	2.07%	2.34%	1.62%	0.51%	0.44%	3.41%	2.20%	0.71%	1.84%	2.06%	1.44%	0.85%	4.30%	2.63%	0.83%	2.09%	3.78%	3.69%	1.06%	14.73%	14.24%	17.37%	4.29%	9.48%	6.24%	20.07%	37.56%	9.17%	16.43%	11.43%	1.29%	2.31%	5.21%	20.78%					
19	2.Всероссийская политическая партия «Гражданская Сила»	46	2	1	1	0	0	1	1	0	2	3	6	1	0	0	2	7	2	0	0	0	2	0	2	2	1	1	0	0	1	0	4	4	0	0					
		0.24%	0.28%	0.12%	0.15%	0.00%	0.00%	0.20%	0.12%	0.00%	0.31%	0.36%	0.46%	0.28%	0.00%	0.00%	0.41%	0.86%	0.40%	0.00%	0.00%	0.00%	0.34%	0.00%	0.43%	0.57%	0.21%	0.35%	0.00%	0.00%	0.29%	0.00%	0.47%	0.46%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	1	2	0	0	0	0	1	0	2	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0					
		0.07%	0.14%	0.23%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.31%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.29%	0.21%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2140	78	106	45	102	204	38	143	72	151	74	244	48	16	8	81	131	36	42	63	9	31	21	15	20	25	39	24	7	9	43	97	110	1	7					
		10.98%	10.77%	12.41%	6.64%	17.44%	17.93%	7.62%	16.59%	5.09%	23.12%	8.97%	18.53%	13.60%	8.60%	5.26%	16.80%	16.11%	7.17%	14.09%	11.13%	1.34%	5.19%	8.90%	3.22%	5.75%	5.20%	13.49%	5.53%	2.14%	2.59%	8.78%	11.35%	12.70%	1.04%	9.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	29	3	2	3	0	0	0	2	3	4	0	1	1	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	1	0	0	1	2	0	0					
		0.15%	0.41%	0.23%	0.44%	0.00%	0.00%	0.00%	0.23%	0.21%	0.61%	0.00%	0.08%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.21%	0.57%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.12%	0.23%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	27	1	1	1	0	0	3	1	1	1	1	3	0	0	0	1	2	2	0	0	1	2	0	0	0	1	0	0	0	2	0	0	2	0	1					
		0.14%	0.14%	0.12%	0.15%	0.00%	0.00%	0.60%	0.12%	0.07%	0.15%	0.12%	0.23%	0.00%	0.00%	0.00%	0.21%	0.25%	0.40%	0.00%	0.00%	0.15%	0.34%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.23%	0.00%	1.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	683	11	14	21	4	5	16	50	15	45	28	12	5	9	9	23	48	28	16	7	13	29	20	27	16	33	27	20	18	9	43	22	35	2	3					
		3.51%	1.52%	1.64%	3.10%	0.68%	0.44%	3.21%	5.80%	1.06%	6.89%	3.39%	0.91%	1.42%	4.84%	5.92%	4.77%	5.90%	5.58%	5.37%	1.24%	1.93%	4.86%	8.47%	5.79%	4.60%	6.86%	9.34%	4.61%	5.50%	2.59%	8.78%	2.57%	4.04%	2.08%	3.90%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1129	72	18	86	46	111	21	83	40	82	38	18	20	9	11	28	63	19	22	26	5	18	9	16	14	16	10	12	19	29	23	70	71	0	4					
		5.80%	9.94%	2.11%	12.68%	7.86%	9.75%	4.21%	9.63%	2.83%	12.56%	4.61%	1.37%	5.67%	4.84%	7.24%	5.81%	7.75%	3.78%	7.38%	4.59%	0.74%	3.02%	3.81%	3.43%	4.02%	3.33%	3.46%	2.76%	5.81%	8.36%	4.69%	8.19%	8.20%	0.00%	5.19%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	69	1	0	4	0	0	2	2	1	7	1	8	1	0	0	2	5	1	2	1	3	4	0	4	4	2	2	0	1	3	1	2	5	0	0					
		0.35%	0.14%	0.00%	0.59%	0.00%	0.00%	0.40%	0.23%	0.07%	1.07%	0.12%	0.61%	0.28%	0.00%	0.00%	0.41%	0.62%	0.20%	0.67%	0.18%	0.45%	0.67%	0.00%	0.86%	1.15%	0.42%	0.69%	0.00%	0.31%	0.86%	0.20%	0.23%	0.58%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	14241	538	680	498	425	805	401	550	1260	342	660	983	274	144	119	333	537	394	199	459	539	421	142	378	251	371	148	210	249	223	318	648	611	88	43					
		73.10%	74.31%	79.63%	73.45%	72.65%	70.74%	80.36%	63.81%	89.11%	52.37%	80.00%	74.64%	77.62%	77.42%	78.29%	69.09%	66.05%	78.49%	66.78%	81.10%	80.21%	70.52%	60.17%	81.12%	72.13%	77.13%	51.21%	48.39%	76.15%	64.27%	64.90%	75.79%	70.55%	91.67%	55.84%					
