Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Веселовская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №2519					
1	"Число избирателей, внесенных в списки"	19124	2019	1691	1899	1907	346	127	214	757	642	447	340	945	471	1290	598	704	515	305	461	841	334	936	566	769					
2	"Число бюллетеней, полученных участковыми комиссиями"	16904	1797	1459	1675	1689	301	118	185	675	579	391	298	864	426	1139	532	616	448	269	404	738	293	828	502	678					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9583	888	736	882	813	179	72	130	401	329	223	187	469	256	667	286	411	295	178	292	515	180	510	259	425					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	923	29	101	51	61	13	8	5	20	63	55	23	89	14	24	35	13	41	24	14	57	23	29	65	66					
6	Число погашенных бюллетеней	6398	880	622	742	815	109	38	50	254	187	113	88	306	156	448	211	192	112	67	98	166	90	289	178	187					
7	Число бюллетеней в переносных ящиках для голосования	923	29	101	51	61	13	8	5	20	63	55	23	89	14	24	35	13	41	24	14	57	23	29	65	66					
8	Число бюллетеней в стационарных ящиках для голосования	9563	888	736	882	812	179	72	130	401	329	223	187	469	256	667	286	411	295	178	292	515	180	491	259	425					
9	Число недействительных бюллетеней	204	22	13	7	11	9	0	1	5	7	4	8	13	11	18	8	9	9	7	4	15	5	8	4	6					
10	Число действительных бюллетеней	10282	895	824	926	862	183	80	134	416	385	274	202	545	259	673	313	415	327	195	302	557	198	512	320	485					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	480	40	30	30	30	10	10	10	20	20	15	10	25	15	30	20	20	20	10	15	25	10	25	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	60	6	5	0	3	2	1	1	4	5	1	0	8	0	4	0	2	0	1	1	2	0	8	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	5	4	1	2	2	0	0	0	2	0	0	1	0	0	1	0	2	1	0	0	1	4	2	1					
