Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Спасская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912					
1	"Число избирателей, внесенных в списки избирателей"	26225	136	208	94	479	100	516	557	246	88	397	232	278	190	383	418	855	1000	541	674	353	495	272	914	555	456	508	390	196	610	64	224	295	337	464	74	109	114	651	169	379	309	153	593	583	260	88	341	875	295	396	1061	726	1325	1195	727	1051	1226					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25400	134	210	95	470	89	530	556	245	91	393	224	276	171	377	395	800	919	520	630	344	470	265	859	550	455	490	385	183	600	63	220	292	334	455	72	108	115	640	166	370	300	154	580	580	260	86	330	870	259	390	1000	700	1300	1190	700	940	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11664	76	84	51	218	67	235	256	101	34	104	110	95	107	237	170	277	341	184	259	192	290	117	466	259	224	256	160	104	250	27	106	138	113	204	29	46	40	271	91	176	135	62	229	232	123	33	177	425	176	155	459	309	658	541	315	529	541					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2505	30	28	5	64	18	34	51	44	24	71	39	35	19	29	86	90	43	13	63	63	64	43	25	27	49	26	77	30	17	17	26	38	40	53	28	16	13	119	17	46	65	44	91	26	42	16	64	180	69	46	24	23	31	35	27	76	26					
6	Число погашенных избирательных бюллетеней	11231	28	98	39	188	4	261	249	100	33	218	75	146	45	111	139	433	535	323	308	89	116	105	368	264	182	208	148	49	333	19	88	116	181	198	15	46	62	250	58	148	100	48	260	322	95	37	89	265	14	189	517	368	611	614	358	335	633					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2505	30	28	5	64	18	34	51	44	24	71	39	35	19	29	86	90	43	13	63	63	64	43	25	27	49	26	77	30	17	17	26	38	40	53	28	16	13	119	17	46	65	44	91	26	42	16	64	180	69	46	24	23	31	35	27	76	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11662	76	84	51	218	67	234	256	101	34	104	110	95	107	237	170	277	341	184	259	192	290	117	466	259	224	256	160	104	250	27	106	138	113	204	29	46	40	271	91	176	135	62	229	232	123	33	177	425	176	155	459	309	658	541	315	529	540					
9	Число недействительных избирательных бюллетеней	102	0	2	0	1	2	0	3	1	0	1	1	0	0	2	1	3	6	3	1	0	1	0	9	2	3	6	1	1	4	0	1	2	0	1	0	0	0	1	0	3	1	0	3	3	2	1	1	0	1	0	5	3	8	4	0	2	6					
10	Число действительных избирательных бюллетеней	14065	106	110	56	281	83	268	304	144	58	174	148	130	126	264	255	364	378	194	321	255	353	160	482	284	270	276	236	133	263	44	131	174	153	256	57	62	53	389	108	219	199	106	317	255	163	48	240	605	244	201	478	329	681	572	342	603	560					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	467	5	5	5	5	5	5	5	5	5	10	5	5	5	5	10	5	5	5	10	5	10	5	10	10	10	10	10	5	5	2	5	5	5	10	5	5	5	5	5	5	5	5	10	10	5	5	5	5	5	5	20	15	25	20	10	55	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	228	0	0	0	0	0	5	1	1	0	0	0	0	5	5	2	3	2	1	3	0	1	1	5	5	2	1	0	0	4	0	0	0	3	3	0	0	0	3	0	2	4	0	1	7	5	0	3	1	2	2	16	11	25	17	7	55	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	236	3	2	0	2	10	1	1	4	1	0	2	1	6	1	9	0	4	3	6	3	7	1	13	4	4	1	1	2	5	1	6	3	1	6	2	1	2	3	4	9	7	0	3	0	5	5	2	8	7	8	8	11	8	12	5	4	8					
