Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Сергиевская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437					
1	"Число избирателей, внесенных в списки избирателей"	35800	204	220	400	314	507	391	588	303	405	526	768	641	123	178	1123	256	255	2115	1835	1904	286	226	590	1146	334	1145	1518	1212	562	2495	2296	2823	2945	1782	1824	591	969					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35000	200	215	370	300	530	390	600	315	410	520	800	670	130	200	1050	270	260	2150	1800	1830	280	220	560	1150	340	1150	1450	1050	600	2350	2200	2760	2800	1750	1800	570	960					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24059	162	177	290	254	340	278	406	226	316	368	352	444	86	104	889	194	194	1506	1196	1223	201	154	407	601	193	664	1039	784	389	1684	1509	1891	1979	1200	1214	393	752					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2221	22	21	78	46	75	11	22	22	44	48	193	46	16	36	105	23	13	119	59	79	20	28	10	236	53	138	38	126	22	97	74	17	61	48	60	68	47					
6	Число погашенных избирательных бюллетеней	8720	16	17	2	0	115	101	172	67	50	104	255	180	28	60	56	53	53	525	545	528	59	38	143	313	94	348	373	140	189	569	617	852	760	502	526	109	161					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2221	22	21	78	46	75	11	22	22	44	48	193	46	16	36	105	23	13	119	59	79	20	28	10	236	53	138	38	126	22	97	74	17	61	48	60	68	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24055	162	177	290	254	340	278	406	226	316	368	352	444	86	104	889	194	194	1506	1196	1223	201	154	407	601	193	664	1039	784	389	1684	1509	1891	1979	1199	1211	393	752					
9	Число недействительных избирательных бюллетеней	254	0	0	0	4	3	4	1	3	5	3	3	1	5	1	11	1	1	27	17	16	2	2	5	3	2	1	8	10	5	18	22	18	27	11	6	5	3					
10	Число действительных избирательных бюллетеней	26022	184	198	368	296	412	285	427	245	355	413	542	489	97	139	983	216	206	1598	1238	1286	219	180	412	834	244	801	1069	900	406	1763	1561	1890	2013	1236	1265	456	796					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	842	10	10	15	20	13	7	11	10	17	20	30	33	10	10	20	25	7	36	46	38	5	8	13	20	10	23	25	25	40	45	53	58	40	35	30	10	14					
