Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Отрадная городская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
1	"Число избирателей, внесенных в списки"	36835	2515	2653	2756	2605	2818	2923	2654	2479	2633	2839	2754	2695	2274	2166	71					
2	"Число бюллетеней, полученных участковыми комиссиями"	37800	2500	2800	2700	2700	2800	2900	2800	2600	2800	2900	2900	2800	2300	2200	100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19333	1109	1386	1489	1234	1579	1547	1501	1279	1545	1499	1525	1415	1226	989	10					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	987	98	67	63	37	41	26	99	115	32	38	66	110	70	65	60					
6	Число погашенных бюллетеней	17480	1293	1347	1148	1429	1180	1327	1200	1206	1223	1363	1309	1275	1004	1146	30					
7	Число бюллетеней в переносных ящиках для голосования	987	98	67	63	37	41	26	99	115	32	38	66	110	70	65	60					
8	Число бюллетеней в стационарных ящиках для голосования	19322	1106	1386	1487	1234	1579	1547	1500	1275	1545	1499	1524	1415	1226	989	10					
9	Число недействительных бюллетеней	282	22	16	31	5	11	22	28	14	22	22	21	32	22	14	0					
10	Число действительных бюллетеней	20027	1182	1437	1519	1266	1609	1551	1571	1376	1555	1515	1569	1493	1274	1040	70					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	345	25	25	25	25	24	25	25	25	25	25	25	25	23	23	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	224	8	16	23	15	15	25	22	20	19	13	12	12	18	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	2	10	7	6	10	2	15	4	12	9	6	3	4	5	2					
14	Число погашенных открепительных удостоверений	121	17	9	2	10	9	0	3	5	6	12	13	13	5	17	0					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	187	6	17	30	7	23	17	9	8	11	9	12	14	10	13	1					
		0.92%	0.49%	1.16%	1.93%	0.55%	1.41%	1.08%	0.56%	0.57%	0.69%	0.58%	0.75%	0.91%	0.77%	1.23%	1.42%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	326	15	21	29	19	26	38	18	30	26	15	33	11	23	21	1					
		1.60%	1.24%	1.44%	1.87%	1.49%	1.60%	2.41%	1.12%	2.15%	1.64%	0.97%	2.07%	0.72%	1.77%	1.99%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	733	52	48	72	53	55	60	60	47	63	51	47	52	36	34	3					
		3.60%	4.31%	3.30%	4.64%	4.16%	3.39%	3.81%	3.75%	3.38%	3.99%	3.31%	2.95%	3.40%	2.77%	3.22%	4.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	656	28	48	46	38	37	75	57	52	59	43	39	49	40	45	0					
		3.23%	2.32%	3.30%	2.96%	2.98%	2.28%	4.76%	3.56%	3.74%	3.74%	2.79%	2.45%	3.21%	3.08%	4.26%	0.0%					
22	"5. ""За Русь Святую"""	98	6	3	10	2	8	4	8	9	8	10	5	11	5	9	0					
		0.48%	0.49%	0.20%	0.64%	0.15%	0.49%	0.25%	0.50%	0.64%	0.50%	0.65%	0.31%	0.72%	0.38%	0.85%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	47	2	3	3	2	5	4	2	6	4	4	5	3	2	2	0					
		0.23%	0.16%	0.20%	0.19%	0.15%	0.30%	0.25%	0.12%	0.43%	0.25%	0.26%	0.31%	0.19%	0.15%	0.18%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	145	7	10	9	11	13	14	8	19	13	9	3	7	8	14	0					
		0.71%	0.58%	0.68%	0.58%	0.86%	0.80%	0.89%	0.50%	1.36%	0.82%	0.58%	0.18%	0.45%	0.61%	1.32%	0.0%					
25	"8. ""Народно-республиканская партия России"""	18	0	0	2	3	0	3	1	1	0	2	3	1	1	1	0					
		0.08%	0.0%	0.0%	0.12%	0.23%	0.0%	0.19%	0.06%	0.07%	0.0%	0.13%	0.18%	0.06%	0.07%	0.09%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	55	3	2	5	0	4	4	7	5	7	3	7	4	2	2	0					
		0.27%	0.24%	0.13%	0.32%	0.0%	0.24%	0.25%	0.43%	0.35%	0.44%	0.19%	0.44%	0.26%	0.15%	0.18%	0.0%					
27	"10. ""Аграрная партия России"""	476	20	39	49	26	25	30	36	26	42	47	36	38	34	26	2					
		2.34%	1.66%	2.68%	3.16%	2.04%	1.54%	1.90%	2.25%	1.87%	2.66%	3.05%	2.26%	2.49%	2.62%	2.46%	2.85%					
28	"11. ""Истинные патриоты России"""	13	2	3	0	0	0	4	0	0	0	0	1	1	0	2	0					
		0.06%	0.16%	0.20%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.06%	0.06%	0.0%	0.18%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	199	12	14	16	12	12	16	17	15	23	15	12	17	8	9	1					
		0.97%	0.99%	0.96%	1.03%	0.94%	0.74%	1.01%	1.06%	1.07%	1.45%	0.97%	0.75%	1.11%	0.61%	0.85%	1.42%					
30	"13. ""Демократическая партия России"""	59	4	4	3	3	3	5	4	3	6	2	10	5	5	0	2					
		0.29%	0.33%	0.27%	0.19%	0.23%	0.18%	0.31%	0.25%	0.21%	0.38%	0.13%	0.62%	0.32%	0.38%	0.0%	2.85%					
31	"14. ""Великая Россия - Евразийский Союз"""	33	3	1	3	4	6	1	3	0	0	3	4	4	1	0	0					
		0.16%	0.24%	0.06%	0.19%	0.31%	0.37%	0.06%	0.18%	0.0%	0.0%	0.19%	0.25%	0.26%	0.07%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	19	0	4	1	3	1	3	2	0	1	0	1	1	1	0	1					
		0.09%	0.0%	0.27%	0.06%	0.23%	0.06%	0.19%	0.12%	0.0%	0.06%	0.0%	0.06%	0.06%	0.07%	0.0%	1.42%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1067	41	67	73	76	120	90	78	75	72	84	73	66	85	62	5					
		5.25%	3.40%	4.61%	4.70%	5.97%	7.40%	5.72%	4.87%	5.39%	4.56%	5.46%	4.59%	4.32%	6.55%	5.88%	7.14%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	49	4	3	7	4	4	0	1	4	4	5	4	3	2	4	0					
		0.24%	0.33%	0.20%	0.45%	0.31%	0.24%	0.0%	0.06%	0.28%	0.25%	0.32%	0.25%	0.19%	0.15%	0.37%	0.0%					
35	"18. ""ЛДПР"""	3373	221	265	200	233	275	281	234	228	229	276	285	211	247	175	13					
		16.60%	18.35%	18.23%	12.90%	18.33%	16.97%	17.86%	14.63%	16.40%	14.52%	17.95%	17.92%	13.83%	19.05%	16.60%	18.57%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	400	28	34	33	18	35	40	27	22	31	23	37	27	22	21	2					
		1.96%	2.32%	2.33%	2.12%	1.41%	2.16%	2.54%	1.68%	1.58%	1.96%	1.49%	2.32%	1.77%	1.69%	1.99%	2.85%					
37	"20. ""Политическая партия ""Единая Россия"""	6674	397	477	548	418	577	517	556	450	521	472	512	485	391	332	21					
		32.86%	32.97%	32.82%	35.35%	32.88%	35.61%	32.86%	34.77%	32.37%	33.03%	30.70%	32.20%	31.80%	30.16%	31.49%	29.99%					
38	"21. ""Российская Конституционно-демократическая партия"""	30	2	2	2	0	0	3	3	1	2	4	0	3	7	1	0					
		0.14%	0.16%	0.13%	0.12%	0.0%	0.0%	0.19%	0.18%	0.07%	0.12%	0.26%	0.0%	0.19%	0.54%	0.09%	0.0%					
39	"22. ""Развитие предпринимательства"""	58	5	5	4	4	5	5	3	4	2	4	6	0	7	4	0					
		0.28%	0.41%	0.34%	0.25%	0.31%	0.30%	0.31%	0.18%	0.28%	0.12%	0.26%	0.37%	0.0%	0.54%	0.37%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4529	293	305	318	278	303	262	392	322	357	374	360	424	290	240	11					
		22.30%	24.33%	20.99%	20.51%	21.87%	18.70%	16.65%	24.51%	23.16%	22.63%	24.33%	22.64%	27.80%	22.37%	22.77%	15.71%					
																						
41	Против всех	783	31	62	56	52	72	75	45	49	74	60	74	56	47	23	7					
		3.85%	2.57%	4.26%	3.61%	4.09%	4.44%	4.76%	2.81%	3.52%	4.69%	3.90%	4.65%	3.67%	3.62%	2.18%	9.99%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
