Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Новоузенская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374					
1	"Число избирателей, внесенных в списки избирателей"	24484	1658	1038	1952	227	242	248	1416	2481	1379	1052	1878	256	892	155	200	141	116	1102	106	210	171	69	631	120	95	469	124	1124	448	841	337	118	367	133	32	858	141	171	387	178	216	148	557					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24121	1607	985	1890	213	237	239	1380	2330	1370	1030	1850	245	864	156	198	132	122	1136	108	211	172	69	629	127	92	480	125	1156	446	835	350	120	361	135	34	865	143	179	377	172	224	149	578					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14647	1012	479	1059	142	150	202	721	1183	705	519	1019	144	576	111	109	100	95	571	83	166	147	63	447	108	87	330	112	635	366	422	309	98	297	120	31	507	123	136	324	153	195	118	373					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1325	77	168	85	1	16	3	75	69	50	38	72	51	42	15	14	14	21	50	1	1	0	0	47	1	0	57	12	84	24	64	1	4	28	0	0	51	1	2	10	0	0	0	76					
6	Число погашенных избирательных бюллетеней	8149	518	338	746	70	71	34	584	1078	615	473	759	50	246	30	75	18	6	515	24	44	25	6	135	18	5	93	1	437	56	349	40	18	36	15	3	307	19	41	43	19	29	31	129					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1325	77	168	85	1	16	3	75	69	50	38	72	51	42	15	14	14	21	50	1	1	0	0	47	1	0	57	12	84	24	64	1	4	28	0	0	51	1	2	10	0	0	0	76					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14645	1012	479	1058	142	150	202	721	1183	705	519	1019	144	576	111	109	100	95	571	83	166	146	63	447	108	87	330	112	635	366	422	309	98	297	120	31	507	123	136	324	153	195	118	373					
9	Число недействительных избирательных бюллетеней	349	13	7	31	17	4	17	20	27	5	12	35	1	24	5	6	0	1	7	1	0	0	0	20	1	6	4	1	6	0	17	3	1	13	0	1	19	3	0	4	1	9	2	5					
10	Число действительных избирательных бюллетеней	15621	1076	640	1112	126	162	188	776	1225	750	545	1056	194	594	121	117	114	115	614	83	167	146	63	474	108	81	383	123	713	390	469	307	101	312	120	30	539	121	138	330	152	186	116	444					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	270	23	14	10	1	0	0	15	23	20	10	18	3	10	0	0	0	0	20	0	0	0	0	18	3	0	5	0	14	8	10	10	0	5	0	0	10	0	0	8	0	2	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	267	23	14	10	1	0	0	15	20	20	10	18	3	10	0	0	0	0	20	0	0	0	0	18	3	0	5	0	14	8	10	10	0	5	0	0	10	0	0	8	0	2	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	75	2	4	0	0	1	1	6	5	3	4	3	6	1	1	1	1	1	0	3	0	1	2	1	3	0	0	1	5	0	0	1	1	2	1	1	1	1	0	2	3	1	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	2	1	1	0	0	0	3	3	7	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
