Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Охинская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138					
1	"Число избирателей, внесенных в списки"	25585	2869	2472	2076	2607	2463	1158	2027	2349	2138	709	250	163	136	475	819	1164	226	79	592	691	54	53	15					
2	"Число бюллетеней, полученных участковыми комиссиями"	26039	3039	2500	2091	2608	2439	1164	2049	2361	2153	689	235	150	143	470	827	1142	298	270	569	714	56	55	17					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11424	1197	1031	870	1066	1039	453	871	1028	1050	241	83	132	67	255	481	602	58	79	386	359	32	32	12					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	341	24	22	8	29	13	62	26	16	16	20	6	0	8	0	7	24	48	0	0	12	0	0	0					
6	Число погашенных бюллетеней	14254	1798	1447	1213	1513	1387	649	1152	1317	1087	428	146	18	68	215	339	516	192	191	183	343	24	23	5					
7	Число бюллетеней в переносных ящиках для голосования	360	44	22	8	29	13	62	25	16	16	20	6	0	8	0	7	24	48	0	0	12	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11412	1197	1031	870	1066	1034	453	870	1022	1050	241	83	132	67	255	481	602	58	79	386	359	32	32	12					
9	Число недействительных бюллетеней	140	5	15	14	10	8	6	13	13	9	1	2	0	0	5	8	16	1	0	11	3	0	0	0					
10	Число действительных бюллетеней	11632	1236	1038	864	1085	1039	509	882	1025	1057	260	87	132	75	250	480	610	105	79	375	368	32	32	12					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	729	50	70	60	60	70	70	60	60	60	15	10	0	15	15	20	30	10	6	15	15	6	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	257	20	29	16	27	29	9	21	25	26	2	0	0	1	4	13	22	6	0	4	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	188	7	4	7	21	5	5	4	4	8	5	1	2	0	6	4	13	44	44	4	0	0	0	0					
14	Число погашенных открепительных удостоверений	472	30	41	44	33	41	61	39	35	34	13	10	0	14	11	7	8	4	6	11	12	6	6	6					
15	Число открепительных удостоверений выданных ТИК	4	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	147	16	19	15	14	10	5	6	5	14	2	1	1	3	1	4	13	0	1	7	9	1	0	0					
		1.24%	1.28%	1.80%	1.70%	1.27%	0.95%	0.97%	0.67%	0.48%	1.31%	0.76%	1.12%	0.75%	4.0%	0.39%	0.81%	2.07%	0.0%	1.26%	1.81%	2.42%	3.12%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	309	36	48	18	30	22	14	33	28	34	5	2	4	0	1	4	10	2	3	1	8	3	3	0					
		2.62%	2.90%	4.55%	2.05%	2.73%	2.10%	2.71%	3.68%	2.69%	3.18%	1.91%	2.24%	3.03%	0.0%	0.39%	0.81%	1.59%	1.88%	3.79%	0.25%	2.15%	9.37%	9.37%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	667	80	56	63	68	51	32	46	50	60	12	4	18	3	14	21	37	2	2	16	22	6	4	0					
		5.66%	6.44%	5.31%	7.17%	6.21%	4.87%	6.21%	5.13%	4.81%	5.62%	4.59%	4.49%	13.63%	4.0%	5.49%	4.30%	5.91%	1.88%	2.53%	4.14%	5.92%	18.75%	12.5%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	533	75	56	32	44	54	22	51	49	61	18	5	7	0	9	14	13	3	0	10	9	1	0	0					
