Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Полевская городская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444					
1	"Число избирателей, внесенных в список избирателей"	63925	923	1799	2576	2715	2509	2172	1310	856	2346	1682	1693	1663	2029	1373	2636	2770	2096	2457	2668	2732	2237	2657	1904	1822	2305	1409	1959	1717	514	1327	656	716	1209	921	1567					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60650	950	1450	2150	2500	2400	2000	1250	800	2300	1600	1600	1600	1900	1300	2600	2650	2000	2400	2700	2600	2100	2600	1900	1800	2200	1400	1850	1700	450	1300	550	650	1100	900	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	93					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27579	411	811	1104	1128	1230	882	524	361	1141	769	857	790	850	692	1250	1350	1082	1182	1384	1051	936	897	846	726	965	516	670	480	289	466	250	281	510	439	459					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1540	14	216	240	71	30	34	9	11	21	20	11	15	27	23	20	13	6	8	0	133	22	34	6	14	30	34	88	33	4	139	54	25	36	47	52					
6	Число погашенных избирательных бюллетеней	31401	525	423	806	1301	1140	1084	717	428	1138	811	732	795	1023	585	1330	1287	912	1210	1316	1416	1142	1669	1048	1060	1205	850	1092	1187	157	658	246	344	554	414	796					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1670	14	216	240	71	30	34	9	11	21	20	11	15	27	23	20	13	6	8	0	133	22	34	6	14	30	34	88	33	4	176	54	25	36	47	145					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27535	411	811	1104	1127	1227	882	524	361	1141	768	855	787	850	669	1250	1346	1082	1181	1384	1047	936	896	846	726	965	516	670	480	289	466	249	281	510	439	459					
9	Число недействительных избирательных бюллетеней	676	13	25	26	23	26	26	23	11	28	17	31	13	15	12	32	34	26	22	18	30	28	26	20	28	17	13	10	15	3	10	8	5	9	14	19					
10	Число действительных избирательных бюллетеней	28529	412	1002	1318	1175	1231	890	510	361	1134	771	835	789	862	680	1238	1325	1062	1167	1366	1150	930	904	832	712	978	537	748	498	290	632	295	301	537	472	585					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	718	10	18	28	19	25	37	22	11	29	16	24	19	14	13	28	28	24	22	28	29	25	30	23	22	35	10	7	12	4	13	11	16	8	33	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	556	8	18	27	16	19	34	18	8	23	12	24	9	13	11	27	20	12	9	19	27	17	30	19	20	27	10	4	12	3	6	10	9	7	17	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	418	3	10	10	17	13	11	15	3	18	24	11	12	11	8	10	12	14	10	10	11	22	11	10	10	13	5	11	6	7	10	36	15	5	15	9					
14	Число погашенных неиспользованных открепительных удостоверений	162	2	0	1	3	6	3	4	3	6	4	0	10	1	2	1	8	12	13	9	2	8	0	4	2	8	0	3	0	1	7	1	7	1	16	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	1	3	1	0	1	2	0	2	1	1	0	1	1	2	1	2	2	2	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6983	83	242	357	262	314	204	150	93	371	176	262	238	210	206	285	340	300	357	303	248	220	202	185	136	210	101	137	95	83	109	68	76	127	112	121					
		23.91%	19.53%	23.56%	26.56%	21.87%	24.98%	22.27%	28.14%	25.00%	31.93%	22.34%	30.25%	29.68%	23.95%	29.77%	22.44%	25.02%	27.57%	30.03%	21.89%	21.02%	22.96%	21.72%	21.71%	18.38%	21.11%	18.36%	18.07%	18.52%	28.33%	16.98%	22.44%	24.84%	23.26%	23.05%	20.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4962	83	179	215	196	212	149	83	56	158	125	94	109	166	119	218	261	196	202	289	200	150	176	137	116	189	114	154	121	29	100	57	42	81	75	111					
		16.99%	19.53%	17.43%	15.99%	16.36%	16.87%	16.27%	15.57%	15.05%	13.60%	15.86%	10.85%	13.59%	18.93%	17.20%	17.17%	19.21%	18.01%	16.99%	20.88%	16.95%	15.66%	18.92%	16.08%	15.68%	18.99%	20.73%	20.32%	23.59%	9.90%	15.58%	18.81%	13.73%	14.84%	15.43%	18.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	234	6	5	11	9	10	9	3	2	11	4	4	11	4	4	9	11	12	9	10	10	6	10	9	7	9	6	2	2	3	6	2	2	5	6	5					
