Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Заречная городская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800					
1	"Число избирателей, внесенных в списки"	24088	2536	2556	2440	2800	2794	2798	2842	2835	276	451	698	1062					
2	"Число бюллетеней, полученных участковыми комиссиями"	22200	2300	2300	2200	2600	2600	2600	2600	2600	300	400	700	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10904	1207	1165	939	1222	1347	1242	1360	1246	218	167	366	425					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	335	36	35	41	13	26	20	18	5	2	49	30	60					
6	Число погашенных бюллетеней	10961	1057	1100	1220	1365	1227	1338	1222	1349	80	184	304	515					
7	Число бюллетеней в переносных ящиках для голосования	335	36	35	41	13	26	20	18	5	2	49	30	60					
8	Число бюллетеней в стационарных ящиках для голосования	10902	1207	1165	939	1221	1346	1242	1360	1246	218	167	366	425					
9	Число недействительных бюллетеней	121	16	7	10	17	21	6	8	7	4	2	8	15					
10	Число действительных бюллетеней	11116	1227	1193	970	1217	1351	1256	1370	1244	216	214	388	470					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	20	20	20	20	20	20	20	20	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	45	8	4	5	2	3	3	6	9	2	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	9	7	3	2	7	3	5	6	5	6	4	5					
14	Число погашенных открепительных удостоверений	155	12	16	15	18	17	17	14	11	8	9	9	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	72	9	7	11	9	6	5	8	5	0	1	5	6					
		0.64%	0.72%	0.58%	1.12%	0.72%	0.43%	0.39%	0.58%	0.39%	0.0%	0.46%	1.26%	1.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	914	105	85	89	120	105	102	142	140	5	5	6	10					
		8.13%	8.44%	7.08%	9.08%	9.72%	7.65%	8.08%	10.30%	11.19%	2.27%	2.31%	1.51%	2.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	647	61	99	66	79	106	67	59	42	12	16	20	20					
		5.75%	4.90%	8.25%	6.73%	6.40%	7.72%	5.30%	4.28%	3.35%	5.45%	7.40%	5.05%	4.12%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	789	71	76	69	121	106	114	100	89	10	6	13	14					
		7.02%	5.71%	6.33%	7.04%	9.80%	7.72%	9.03%	7.25%	7.11%	4.54%	2.77%	3.28%	2.88%					
22	"5. ""За Русь Святую"""	48	3	3	9	5	3	3	5	5	5	1	2	4					
		0.42%	0.24%	0.25%	0.91%	0.40%	0.21%	0.23%	0.36%	0.39%	2.27%	0.46%	0.50%	0.82%					
23	"6. ""Объединенная Российская партия ""Русь"""	32	4	4	4	3	3	0	6	3	1	0	1	3					
		0.28%	0.32%	0.33%	0.40%	0.24%	0.21%	0.0%	0.43%	0.23%	0.45%	0.0%	0.25%	0.61%					
24	"7. ""Новый курс - Автомобильная Россия"""	122	14	7	11	18	8	16	23	16	3	0	4	2					
		1.08%	1.12%	0.58%	1.12%	1.45%	0.58%	1.26%	1.66%	1.27%	1.36%	0.0%	1.01%	0.41%					
25	"8. ""Народно-республиканская партия России"""	15	2	2	1	3	1	2	1	1	1	0	1	0					
		0.13%	0.16%	0.16%	0.10%	0.24%	0.07%	0.15%	0.07%	0.07%	0.45%	0.0%	0.25%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	39	6	3	6	3	4	7	4	3	0	1	2	0					
		0.34%	0.48%	0.25%	0.61%	0.24%	0.29%	0.55%	0.29%	0.23%	0.0%	0.46%	0.50%	0.0%					
27	"10. ""Аграрная партия России"""	228	24	24	15	25	23	19	26	27	3	9	3	30					
		2.02%	1.93%	2.0%	1.53%	2.02%	1.67%	1.50%	1.88%	2.15%	1.36%	4.16%	0.75%	6.18%					
28	"11. ""Истинные патриоты России"""	12	0	0	2	1	0	2	1	0	1	0	4	1					
		0.10%	0.0%	0.0%	0.20%	0.08%	0.0%	0.15%	0.07%	0.0%	0.45%	0.0%	1.01%	0.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	409	49	45	34	56	47	46	39	57	10	5	9	12					
		3.63%	3.94%	3.75%	3.46%	4.53%	3.42%	3.64%	2.83%	4.55%	4.54%	2.31%	2.27%	2.47%					
30	"13. ""Демократическая партия России"""	26	2	2	3	3	2	4	2	2	0	0	3	3					
