Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
"Наименование Избирательной комиссии:    Смоленск, Ленинская"																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572					
1	"Число избирателей, внесенных в список избирателей"	87349	1554	680	1408	2074	2051	1135	2640	2123	2178	2380	2385	2051	2467	2080	2504	2718	1667	2059	2197	2405	2318	1185	2453	2205	2174	2129	2533	2478	2533	2671	2734	2113	2150	2308	626	2417	2476	2397	2499	2079	2115					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	83140	1107	640	1050	2070	1895	1060	2620	2080	2180	1990	2060	2040	2125	2050	2500	2285	1230	2030	2200	2330	2320	1140	2440	2180	2170	2100	2385	2470	2493	2495	2685	2035	2140	2280	615	2350	2300	2400	2450	2050	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43042	724	366	841	897	972	609	1434	1173	1159	997	1240	1016	1376	1056	1305	1161	1064	970	1127	1077	1114	387	1168	1155	1202	974	1349	999	1288	1334	1162	1009	1118	941	280	1213	1447	1344	1108	899	987					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1437	12	15	9	31	40	23	33	24	15	442	25	9	5	21	34	20	62	33	29	87	27	36	17	27	21	41	24	34	10	11	24	16	22	16	15	21	15	24	8	33	26					
6	Число погашенных избирательных бюллетеней	38661	371	259	200	1142	883	428	1153	883	1006	551	795	1015	744	973	1161	1104	104	1027	1044	1166	1179	717	1255	998	947	1085	1012	1437	1195	1150	1499	1010	1000	1323	320	1116	838	1032	1334	1118	1087					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1436	12	15	9	31	40	23	33	24	15	441	25	9	5	21	34	20	62	33	29	87	27	36	17	27	21	41	24	34	10	11	24	16	22	16	15	21	15	24	8	33	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43020	724	366	840	897	972	608	1431	1172	1157	995	1239	1016	1374	1056	1303	1161	1064	970	1127	1077	1113	387	1168	1155	1202	974	1349	999	1288	1333	1162	1009	1118	940	280	1213	1445	1344	1106	899	987					
9	Число недействительных избирательных бюллетеней	728	9	11	19	15	16	11	20	24	28	47	20	12	39	10	21	18	40	13	15	29	16	6	16	10	16	18	18	14	26	14	21	9	12	12	0	14	27	19	14	12	17					
10	Число действительных избирательных бюллетеней	43728	727	370	830	913	996	620	1444	1172	1144	1389	1244	1013	1340	1067	1316	1163	1086	990	1141	1135	1124	417	1169	1172	1207	997	1355	1019	1272	1330	1165	1016	1128	944	295	1220	1433	1349	1100	920	996					
