Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Пятигорская городская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095					
1	"Число избирателей, внесенных в списки избирателей"	139763	2077	1999	1990	2098	2296	1393	886	2527	2107	1839	1659	1956	3092	2671	1824	1977	2027	2211	2336	1396	1919	1760	1738	2089	1635	1667	2056	2421	1666	2014	1627	2435	1405	1654	2094	2752	2136	542	273	311	199	976	2274	1159	1888	2915	1609	2968	2874	2600	1617	2119	2768	525	398	330	1151	2102	1806	1743	1831	2337	2295	2714	1366	2585	2636	2438	1775	2188	2307	1754	2041	2584	336					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	127420	1900	1900	1700	1900	2100	1300	800	2200	1700	1600	1500	1700	2500	2400	1700	1700	1900	2000	2100	1300	1800	1600	1600	1900	1400	2400	1800	2200	1500	2100	1500	2200	1200	1500	1900	2500	2300	600	300	320	200	1050	2100	1100	1500	2600	1500	2600	2500	2300	1500	1900	2500	500	400	300	1100	2000	1600	1600	1600	2200	2100	2500	1300	2200	2400	2200	1500	1900	2100	1600	1900	2200	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	73481	843	968	835	1008	1033	646	442	1187	1017	975	1216	1017	1855	1672	1079	1270	1285	1068	1171	960	913	1062	1066	1218	928	1154	1014	1004	792	1285	702	905	569	969	1021	1128	1074	522	226	222	176	976	1015	565	816	1457	883	1344	1318	1358	935	1089	1087	279	190	112	737	1030	685	927	890	1074	941	1240	742	1566	1353	1629	754	1047	1507	1371	1413	1328	326					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6213	61	71	42	84	153	27	20	52	161	60	39	52	90	28	34	19	41	132	71	53	59	95	35	45	100	41	132	108	41	117	102	72	60	143	20	104	270	3	1	89	15	0	165	40	153	143	17	429	132	213	70	92	41	12	25	124	24	63	53	193	47	140	237	39	30	47	112	36	24	37	84	52	243	144	10					
6	Число погашенных избирательных бюллетеней	47726	996	861	823	808	914	627	338	961	522	565	245	631	555	700	587	411	574	800	858	287	828	443	499	637	372	1205	654	1088	667	698	696	1223	571	388	859	1268	956	75	73	9	9	74	920	495	531	1000	600	827	1050	729	495	719	1372	209	185	64	339	907	862	480	663	986	922	1221	528	587	935	535	722	816	509	177	244	728	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6211	61	71	42	84	153	27	20	52	161	60	39	52	90	28	34	19	41	132	71	53	59	95	35	45	100	41	132	108	41	117	102	72	60	143	20	104	270	3	1	89	15	0	165	40	153	143	17	429	131	213	70	92	41	12	25	123	24	63	53	193	47	140	237	39	30	47	112	36	24	37	84	52	243	144	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	73411	843	968	835	1008	1033	646	442	1187	1017	975	1216	1017	1855	1672	1079	1268	1285	1068	1171	916	913	1062	1066	1218	928	1154	1014	1004	792	1285	702	905	569	965	1021	1128	1074	522	226	222	176	976	1010	565	816	1457	883	1344	1317	1350	935	1089	1087	279	190	112	737	1030	685	927	890	1074	941	1240	742	1566	1353	1629	748	1047	1507	1371	1413	1328	326					
9	Число недействительных избирательных бюллетеней	833	3	6	11	55	12	9	5	17	8	11	13	5	23	18	10	16	12	15	13	3	6	23	5	16	5	16	14	5	8	35	10	14	5	15	8	25	8	2	5	1	1	20	11	9	5	16	10	15	15	12	8	5	19	10	1	3	10	15	4	19	8	10	7	13	4	16	12	19	5	3	13	3	0	15	6					
10	Число действительных избирательных бюллетеней	78789	901	1033	866	1037	1174	664	457	1222	1170	1024	1242	1064	1922	1682	1103	1271	1314	1185	1229	966	966	1134	1096	1247	1023	1179	1132	1107	825	1367	794	963	624	1093	1033	1207	1336	523	222	310	190	956	1164	596	964	1584	890	1758	1433	1551	997	1176	1109	281	214	232	751	1078	734	1101	929	1204	1171	1266	768	1597	1453	1646	767	1081	1578	1420	1656	1457	330					
