Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Георгиевская городская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322					
1	"Число избирателей, внесенных в список избирателей"	48670	2527	1828	1802	1941	1042	1808	1393	2012	1868	2539	1894	1786	2680	2084	1737	1879	1647	1882	2083	1722	2416	1683	1820	1985	2612					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48655	2514	1819	1806	1943	1044	1822	1394	1986	1865	2519	1915	1786	2698	2096	1733	1892	1653	1790	2088	1728	2416	1693	1823	2007	2625					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19162	940	651	717	693	392	670	655	711	711	943	702	657	860	757	632	671	867	724	792	557	935	683	828	1146	1268					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2920	62	121	191	212	98	59	97	139	77	117	158	80	129	290	74	32	59	77	129	72	191	33	81	47	295					
6	Число погашенных избирательных бюллетеней	26573	1512	1047	898	1038	554	1093	642	1136	1077	1459	1055	1049	1709	1049	1027	1189	727	989	1167	1099	1290	977	914	814	1062					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2917	62	121	191	212	98	59	97	139	77	117	158	80	129	287	74	32	59	77	129	72	191	33	81	47	295					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19153	940	651	717	693	392	670	655	711	711	943	702	657	858	756	632	671	866	724	792	555	934	683	828	1144	1268					
9	Число недействительных избирательных бюллетеней	597	23	24	49	18	7	10	15	33	13	21	18	27	27	9	18	35	19	98	25	13	14	10	16	31	24					
10	Число действительных избирательных бюллетеней	21473	979	748	859	887	483	719	737	817	775	1039	842	710	960	1034	688	668	906	703	896	614	1111	706	893	1160	1539					
