Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Ессентукская городская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425					
1	"Число избирателей, внесенных в список избирателей"	69519	2207	2190	2114	2267	2165	2155	2170	2291	2300	2604	2545	2485	2460	2225	2496	2637	2444	2652	2379	2170	2705	2345	2286	2120	2138	2523	2664	2420	183	152	95	75	127	117	66	53	51	72	368	70	442	1042	57	72	220	100					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60700	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	200	350	150	150	150	150	100	100	100	150	450	250	500	1200	150	150	250	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	32289	820	867	835	1058	966	729	740	852	1116	1085	1114	1000	1116	1248	998	1151	980	1012	1126	1075	1374	1270	1240	1208	1133	1347	1183	730	7	141	95	75	126	115	66	48	51	70	289	70	387	960	52	72	197	95					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2687	58	220	85	13	26	110	87	109	195	42	46	43	129	117	104	106	87	95	58	55	123	58	187	104	51	102	83	21	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	25724	1122	913	1080	929	1008	1161	1173	1039	689	873	840	957	755	635	898	743	933	893	816	870	503	672	573	688	816	551	734	1249	20	209	55	75	24	35	34	52	49	80	161	180	113	240	98	78	53	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2687	58	220	85	13	26	110	87	109	195	42	46	43	129	117	104	106	87	95	58	55	123	58	187	104	51	102	83	21	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32258	820	867	835	1058	966	729	740	833	1116	1085	1114	1000	1116	1248	998	1151	980	1012	1126	1075	1374	1265	1240	1208	1129	1347	1183	730	4	141	95	75	126	115	66	48	51	70	289	70	387	960	52	72	197	95					
9	Число недействительных избирательных бюллетеней	447	10	0	11	4	1	16	11	18	5	11	22	0	22	4	15	12	26	14	12	13	37	15	11	14	47	38	13	22	1	1	0	0	0	0	0	1	0	2	3	5	0	9	0	0	1	0					
10	Число действительных избирательных бюллетеней	34498	868	1087	909	1067	991	823	816	924	1306	1116	1138	1043	1223	1361	1087	1245	1041	1093	1172	1117	1460	1308	1416	1298	1133	1411	1253	729	176	140	95	75	126	115	66	47	51	68	286	65	387	951	52	72	196	95					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	585	25	25	16	27	18	25	20	25	25	25	15	25	26	15	16	25	19	28	25	23	20	15	18	20	4	25	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	541	25	20	16	27	18	16	19	22	15	23	15	24	26	15	16	25	19	28	25	23	20	15	16	17	4	19	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1509	17	6	6	4	8	10	12	19	9	12	11	10	20	13	8	43	15	18	16	18	96	13	15	17	7	175	10	4	7	59	0	13	39	17	19	5	16	37	79	36	48	307	34	33	117	31					
14	Число погашенных неиспользованных открепительных удостоверений	44	0	5	0	0	0	9	1	3	10	2	0	1	0	0	0	0	0	0	0	0	0	0	2	3	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	1	0	0	1	0	0	1	1	1	3	0	0	1	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3280	56	28	100	96	105	73	88	72	42	100	74	108	189	10	94	190	166	147	22	203	199	112	95	25	120	193	138	64	16	19	6	15	21	9	16	7	12	13	49	8	46	70	14	8	28	14					
		9.39%	6.38%	2.58%	10.87%	8.96%	10.58%	8.70%	10.64%	7.64%	3.20%	8.87%	6.38%	10.35%	15.18%	0.73%	8.53%	15.12%	15.56%	13.28%	1.86%	17.96%	13.29%	8.47%	6.66%	1.91%	10.17%	13.32%	10.90%	8.52%	9.04%	13.48%	6.32%	20.00%	16.67%	7.83%	24.24%	14.58%	23.53%	18.57%	16.96%	11.43%	11.89%	7.29%	26.92%	11.11%	14.21%	14.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4162	92	175	82	85	101	52	90	162	153	198	66	109	214	108	82	190	255	191	192	206	216	140	159	175	67	263	118	47	28	13	2	7	14	4	6	2	2	6	19	3	19	16	6	4	9	14					
		11.91%	10.48%	16.10%	8.91%	7.94%	10.18%	6.20%	10.88%	17.20%	11.67%	17.57%	5.69%	10.45%	17.19%	7.91%	7.44%	15.12%	23.90%	17.25%	16.22%	18.23%	14.43%	10.58%	11.14%	13.34%	5.68%	18.15%	9.32%	6.26%	15.82%	9.22%	2.11%	9.33%	11.11%	3.48%	9.09%	4.17%	3.92%	8.57%	6.57%	4.29%	4.91%	1.67%	11.54%	5.56%	4.57%	14.74%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	226	0	2	7	21	5	0	4	7	7	3	8	0	11	2	3	11	14	9	7	12	12	4	3	6	5	16	10	10	0	1	0	1	0	0	0	1	3	0	3	0	2	4	4	0	5	3					
