Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Сандовская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844					
1	"Число избирателей, внесенных в список избирателей"	6013	1907	1238	436	271	264	93	268	177	231	147	179	183	268	223	128					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5879	1800	1200	440	275	265	95	270	180	230	145	175	185	270	220	129					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3245	1132	709	221	110	126	48	151	93	126	81	81	114	117	64	72					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1061	109	109	104	95	93	21	75	41	79	31	44	49	77	104	30					
6	Число погашенных избирательных бюллетеней	1573	559	382	115	70	46	26	44	46	25	33	50	22	76	52	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1061	109	109	104	95	93	21	75	41	79	31	44	49	77	104	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3245	1132	709	221	110	126	48	151	93	126	81	81	114	117	64	72					
9	Число недействительных избирательных бюллетеней	31	7	15	1	0	1	0	3	0	1	0	0	2	0	1	0					
10	Число действительных избирательных бюллетеней	4275	1234	803	324	205	218	69	223	134	204	112	125	161	194	167	102					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	50	50	20	10	10	10	10	10	10	10	20	20	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	161	45	27	16	0	10	10	1	0	5	10	14	20	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	40	19	3	3	2	1	3	1	1	2	5	2	3	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	99	5	23	4	10	0	0	9	10	5	0	6	0	10	10	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	12	7	1	0	4	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	584	249	145	34	22	12	7	19	14	12	11	8	7	18	11	15					
		13.56%	20.06%	17.73%	10.46%	10.73%	5.48%	10.14%	8.41%	10.45%	5.85%	9.82%	6.40%	4.29%	9.28%	6.55%	14.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	366	102	73	32	16	20	5	14	20	13	9	15	10	17	16	4					
		8.50%	8.22%	8.92%	9.85%	7.80%	9.13%	7.25%	6.19%	14.93%	6.34%	8.04%	12.00%	6.13%	8.76%	9.52%	3.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	11	2	0	3	4	1	2	1	2	0	1	0	2	3	0					
		0.74%	0.89%	0.24%	0.00%	1.46%	1.83%	1.45%	0.88%	0.75%	0.98%	0.00%	0.80%	0.00%	1.03%	1.79%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	415	145	90	21	18	19	8	15	8	15	16	11	14	19	15	1					
		9.64%	11.68%	11.00%	6.46%	8.78%	8.68%	11.59%	6.64%	5.97%	7.32%	14.29%	8.80%	8.59%	9.79%	8.93%	0.98%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	34	17	6	3	3	0	0	1	0	1	2	0	0	0	1	0					
		0.79%	1.37%	0.73%	0.92%	1.46%	0.00%	0.00%	0.44%	0.00%	0.49%	1.79%	0.00%	0.00%	0.00%	0.60%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2836	708	486	234	143	162	48	172	91	161	73	89	130	138	119	82					
		65.86%	57.05%	59.41%	72.00%	69.76%	73.97%	69.57%	76.11%	67.91%	78.54%	65.18%	71.20%	79.75%	71.13%	70.83%	80.39%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	2	1	0	0	1	0	0	0	0	1	1	0	0	2	0					
		0.19%	0.16%	0.12%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.89%	0.80%	0.00%	0.00%	1.19%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
