Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Солнечная поселковая								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №932					
1	"Число избирателей, внесенных в списки избирателей"	1749	1749					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1250	1250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	982	982					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	48	48					
6	Число погашенных избирательных бюллетеней	220	220					
7	Число избирательных бюллетеней в переносных ящиках для голосования	48	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	982	982					
9	Число недействительных избирательных бюллетеней	5	5					
10	Число действительных избирательных бюллетеней	1025	1025					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	24	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	8	8					
14	Число погашенных неиспользованных открепительных удостоверений	6	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	5					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	44	44					
		4.27%	4.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	8	8					
		0.78%	0.78%					
20	3.Политическая партия «Демократическая партия России»	1	1					
		0.10%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	158	158					
		15.34%	15.34%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	7					
		0.68%	0.68%					
23	6.Политическая партия «Партия социальной справедливости»	2	2					
		0.19%	0.19%					
24	7.Политическая партия «Либерально-демократическая партия России»	126	126					
		12.23%	12.23%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	137	137					
		13.30%	13.30%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	17	17					
		1.65%	1.65%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	514	514					
		49.90%	49.90%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	11	11					
		1.07%	1.07%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
