Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
"Наименование Избирательной комиссии:    Томск, Ленинская"																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204					
1	"Число избирателей, внесенных в список избирателей"	80219	2786	1813	1851	1886	2399	2655	2570	2530	1610	1667	2637	1977	1908	2643	1948	1623	1815	1729	2238	2612	1063	1148	350	2586	782	2500	1723	1219	2369	2580	1867	2563	2276	1777	1732	1796	2148	1911	1606	1570	1756					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76700	2600	1800	1800	1800	2400	2600	2500	2500	1600	1600	2500	1900	1800	2300	1900	1600	1700	1700	2000	2400	1000	1000	300	2500	700	2400	1700	1200	2200	2500	1800	2500	2200	1700	1700	1800	2000	1700	1500	1600	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	33341	1217	848	859	879	1121	1232	1251	1230	777	806	1265	968	911	1321	871	840	872	821	847	983	476	396	114	918	270	1008	378	383	727	788	693	920	817	534	646	726	893	936	654	517	628					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	604	13	12	14	7	24	14	22	19	13	18	13	19	19	14	16	6	20	7	33	15	6	9	3	20	9	36	6	10	17	12	15	51	11	4	12	10	16	5	23	5	6					
6	Число погашенных избирательных бюллетеней	42755	1370	940	927	914	1255	1354	1227	1251	810	776	1222	913	870	965	1013	754	808	872	1120	1402	518	595	183	1562	421	1356	1316	807	1456	1700	1092	1529	1372	1162	1042	1064	1091	759	823	1078	1066					
7	Число избирательных бюллетеней в переносных ящиках для голосования	604	13	12	14	7	24	14	22	19	13	18	13	19	19	14	16	6	20	7	33	15	6	9	3	20	9	36	6	10	17	12	15	51	11	4	12	10	16	5	23	5	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33309	1217	848	859	879	1121	1232	1249	1230	776	806	1265	968	910	1321	861	840	871	821	847	983	472	396	114	918	270	1008	377	383	725	788	688	917	817	534	644	726	893	936	654	517	628					
9	Число недействительных избирательных бюллетеней	721	28	22	16	26	23	26	23	25	11	18	26	18	26	30	12	13	16	15	31	22	5	8	5	20	7	25	9	10	14	20	13	28	19	7	22	13	18	16	13	8	14					
10	Число действительных избирательных бюллетеней	33192	1202	838	857	860	1122	1220	1248	1224	778	806	1252	969	903	1305	865	833	875	813	849	976	473	397	112	918	272	1019	374	383	728	780	690	940	809	531	634	723	891	925	664	514	620					
