Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Северская городская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №50	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220					
1	"Число избирателей, внесенных в списки"	96137	2518	334	2730	2410	2734	2852	2711	2801	2908	2875	2848	2947	2639	2406	2757	2582	2790	2699	2942	2874	2412	2644	1846	2697	2163	3099	1778	2562	2943	2514	2936	2633	2786	2202	2383	362	389	1984	2926	521					
2	"Число бюллетеней, полученных участковыми комиссиями"	94780	2500	400	2700	2400	2700	2800	2700	2800	2900	2900	2800	2900	2600	2400	2700	2500	2800	2700	2900	2900	2400	2600	1800	2700	2100	2800	1800	2500	2900	2500	2800	2600	2800	2200	2300	400	380	1900	2800	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	57950	1517	304	1660	1451	1672	1698	1765	1785	1855	1851	1758	1823	1606	1442	1571	1557	1599	1624	1782	1690	1412	1594	1074	1466	1311	2172	1107	1528	1776	1641	1730	1604	1499	1330	1387	293	186	1002	1505	323					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1741	23	0	23	42	36	43	20	13	30	33	34	36	29	35	25	25	35	34	21	35	41	43	37	35	47	72	27	20	27	20	300	30	42	84	57	0	40	83	135	29					
6	Число погашенных бюллетеней	35089	960	96	1017	907	992	1059	915	1002	1015	1016	1008	1041	965	923	1104	918	1166	1042	1097	1175	947	963	689	1199	742	556	666	952	1097	839	770	966	1259	786	856	107	154	815	1160	148					
7	Число бюллетеней в переносных ящиках для голосования	1741	23	0	23	42	36	43	20	13	30	33	34	36	29	35	25	25	35	34	21	35	41	43	37	35	47	72	27	20	27	20	300	30	42	84	57	0	40	83	135	29					
8	Число бюллетеней в стационарных ящиках для голосования	57856	1517	303	1660	1450	1670	1698	1760	1785	1855	1849	1757	1823	1605	1442	1571	1556	1597	1623	1782	1690	1412	1590	1074	1461	1311	2170	1104	1528	1776	1641	1730	1604	1440	1328	1386	293	185	1002	1505	323					
9	Число недействительных бюллетеней	726	9	10	18	6	26	30	26	17	13	22	12	21	15	27	20	24	24	17	12	23	22	20	20	14	18	20	7	26	35	11	24	16	23	9	20	9	5	26	19	10					
10	Число действительных бюллетеней	58871	1531	293	1665	1486	1680	1711	1754	1781	1872	1860	1779	1838	1619	1450	1576	1557	1608	1640	1791	1702	1431	1613	1091	1482	1340	2222	1124	1522	1768	1650	2006	1618	1459	1403	1423	284	220	1059	1621	342					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1360	40	0	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	30	40	30	40	30	35	35	35	40	40	35	35	35	0	10	20	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	790	13	0	19	24	23	31	13	23	16	26	29	27	24	24	21	21	22	24	35	22	20	20	22	12	18	37	26	21	21	22	28	20	26	16	23	0	2	7	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	272	3	40	4	6	10	8	11	3	1	7	10	14	1	2	6	2	2	5	4	2	4	2	3	0	12	21	5	2	13	14	3	2	4	1	3	20	1	9	8	4					
14	Число погашенных открепительных удостоверений	570	27	0	21	16	17	9	27	17	24	14	11	13	16	16	19	19	18	16	5	18	20	20	8	28	12	3	4	14	14	13	12	20	9	19	12	0	8	13	10	8					
15	Число открепительных удостоверений выданных ТИК	58	1	0	1	1	2	2	2	1	4	2	1	1	0	1	0	2	1	2	1	7	0	3	0	4	0	0	5	3	1	0	2	5	1	0	2	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	699	5	12	20	18	13	12	9	12	6	29	23	21	10	15	18	19	22	16	23	25	18	10	16	11	12	31	3	30	30	16	36	29	29	9	18	3	3	17	35	15					
