Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Арсеньевская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78					
1	"Число избирателей, внесенных в список избирателей"	9680	2126	1941	283	163	343	307	124	121	229	251	168	211	127	169	267	230	485	257	227	187	1464					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10120	2190	2000	290	180	360	360	140	140	260	250	170	230	140	180	290	240	520	280	250	200	1450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5661	1178	1073	163	88	144	198	68	58	161	163	81	90	57	95	150	96	273	134	113	84	1194					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1075	144	158	62	24	112	59	19	13	20	21	24	49	29	25	56	37	49	43	52	39	40					
6	Число погашенных избирательных бюллетеней	3384	868	769	65	68	104	103	53	69	79	66	65	91	54	60	84	107	198	103	85	77	216					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1075	144	158	62	24	112	59	19	13	20	21	24	49	29	25	56	37	49	43	52	39	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5660	1178	1072	163	88	144	198	68	58	161	163	81	90	57	95	150	96	273	134	113	84	1194					
9	Число недействительных избирательных бюллетеней	99	42	13	0	0	6	2	3	2	2	1	0	1	1	0	3	1	2	0	1	0	19					
10	Число действительных избирательных бюллетеней	6636	1280	1217	225	112	250	255	84	69	179	183	105	138	85	120	203	132	320	177	164	123	1215					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	771	93	90	20	20	50	50	25	40	50	15	30	20	20	20	30	13	40	40	30	20	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	642	81	89	17	20	25	50	21	21	50	6	8	20	19	16	23	12	31	36	25	17	55					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	203	26	20	2	6	3	2	6	1	13	4	2	1	1	2	6	1	3	2	4	7	91					
14	Число погашенных неиспользованных открепительных удостоверений	129	12	1	3	0	25	0	4	19	0	9	22	0	1	4	7	1	9	4	5	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	9	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	554	141	96	15	8	44	22	6	5	15	20	9	13	5	5	12	6	25	27	7	9	64					
		8.23%	10.67%	7.80%	6.67%	7.14%	17.19%	8.56%	6.90%	7.04%	8.29%	10.87%	8.57%	9.35%	5.81%	4.17%	5.83%	4.51%	7.76%	15.25%	4.24%	7.32%	5.19%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	767	180	154	16	4	35	29	7	13	22	35	7	9	6	14	33	11	34	22	19	14	103					
		11.39%	13.62%	12.52%	7.11%	3.57%	13.67%	11.28%	8.05%	18.31%	12.15%	19.02%	6.67%	6.47%	6.98%	11.67%	16.02%	8.27%	10.56%	12.43%	11.52%	11.38%	8.35%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	7	4	1	0	0	4	0	0	0	1	0	1	0	3	3	3	1	0	2	1	17					
		0.71%	0.53%	0.33%	0.44%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.54%	0.00%	0.72%	0.00%	2.50%	1.46%	2.26%	0.31%	0.00%	1.21%	0.81%	1.38%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1031	217	278	27	8	22	20	12	11	42	21	13	22	11	26	43	24	47	25	28	17	117					
		15.31%	16.41%	22.60%	12.00%	7.14%	8.59%	7.78%	13.79%	15.49%	23.20%	11.41%	12.38%	15.83%	12.79%	21.67%	20.87%	18.05%	14.60%	14.12%	16.97%	13.82%	9.48%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	89	36	15	1	1	3	5	0	0	1	7	2	0	1	0	3	0	2	0	0	1	11					
		1.32%	2.72%	1.22%	0.44%	0.89%	1.17%	1.95%	0.00%	0.00%	0.55%	3.80%	1.90%	0.00%	1.16%	0.00%	1.46%	0.00%	0.62%	0.00%	0.00%	0.81%	0.89%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4111	688	666	163	91	145	173	59	40	98	99	74	92	62	71	109	87	210	102	108	80	894					
		61.04%	52.04%	54.15%	72.44%	81.25%	56.64%	67.32%	67.82%	56.34%	54.14%	53.80%	70.48%	66.19%	72.09%	59.17%	52.91%	65.41%	65.22%	57.63%	65.45%	65.04%	72.45%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	11	4	2	0	1	2	0	0	1	0	0	1	0	1	0	1	1	1	0	1	9					
		0.53%	0.83%	0.33%	0.89%	0.00%	0.39%	0.78%	0.00%	0.00%	0.55%	0.00%	0.00%	0.72%	0.00%	0.83%	0.00%	0.75%	0.31%	0.56%	0.00%	0.81%	0.73%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
