Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Тюменская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752					
1	"Число избирателей, внесенных в списки избирателей"	76823	561	322	366	361	1038	543	946	1666	1434	1010	401	1861	1145	195	2521	2581	2511	2604	2604	1351	1601	1404	1380	604	1727	2167	1930	519	1135	316	408	2407	2696	672	414	1646	1092	1224	2985	175	321	608	747	1985	528	792	227	224	182	246	2216	265	262	2764	1196	506	116	1521	383	914	930	2423	609	103	195	2562	1264	211					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	74281	551	318	366	349	1023	498	993	1573	1360	937	414	1788	1133	202	2433	2509	2419	2501	2479	1260	1496	1166	1187	554	1666	2058	1779	503	1149	338	403	2375	2589	669	408	1605	1062	1148	2829	169	317	590	751	1946	554	817	236	239	189	250	2181	260	274	2780	1159	509	112	1469	389	852	971	2351	612	99	198	2516	1213	188					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	59908	419	240	295	317	945	492	917	1341	1041	805	334	1344	960	178	1847	1876	1922	1873	1946	1060	1177	859	729	453	1419	1822	1570	423	745	232	359	2012	2184	564	349	1174	888	1062	2328	165	233	439	535	1501	487	686	200	194	160	199	1915	213	200	2258	877	471	107	1296	363	777	786	1558	482	73	162	1980	939	151					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2252	20	49	45	12	20	6	29	23	47	10	2	49	13	6	44	37	48	33	54	37	50	221	301	31	22	22	26	2	51	21	7	16	29	13	19	22	23	43	75	2	15	19	18	36	8	18	13	1	0	12	47	12	7	17	35	20	0	20	9	26	32	147	14	4	0	60	49	33					
6	Число погашенных избирательных бюллетеней	12121	112	29	26	20	58	0	47	209	272	122	78	395	160	18	542	596	449	595	479	163	269	86	157	70	225	214	183	78	353	85	37	347	376	92	40	409	151	43	426	2	69	132	198	409	59	113	23	44	29	39	219	35	67	505	247	18	5	153	17	49	153	646	116	22	36	476	225	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2252	20	49	45	12	20	6	29	23	47	10	2	49	13	6	44	37	48	33	54	37	50	221	301	31	22	22	26	2	51	21	7	16	29	13	19	22	23	43	75	2	15	19	18	36	8	18	13	1	0	12	47	12	7	17	35	20	0	20	9	26	32	147	14	4	0	60	49	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59860	419	240	295	317	945	492	917	1341	1041	805	334	1344	960	178	1846	1876	1922	1873	1946	1060	1175	859	729	453	1419	1822	1570	423	745	232	359	2012	2184	564	349	1174	888	1062	2328	165	233	439	535	1501	487	686	200	194	160	199	1915	213	200	2258	877	471	107	1296	363	777	786	1558	482	73	162	1935	939	151					
9	Число недействительных избирательных бюллетеней	723	7	0	2	0	3	32	10	47	5	9	2	8	26	2	21	9	30	28	18	37	11	10	37	0	12	12	11	2	2	6	2	20	12	3	5	16	15	11	6	7	1	2	3	16	7	7	3	1	0	2	10	3	5	23	13	23	2	12	32	8	10	16	2	1	0	19	6	0					
10	Число действительных избирательных бюллетеней	61389	432	289	338	329	962	466	936	1317	1083	806	334	1385	947	182	1869	1904	1940	1878	1982	1060	1214	1070	993	484	1429	1832	1585	423	794	247	364	2008	2201	574	363	1180	896	1094	2397	160	247	456	550	1521	488	697	210	194	160	209	1952	222	202	2252	899	468	105	1304	340	795	808	1689	494	76	162	1976	982	184					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2498	19	12	13	13	33	17	32	50	43	31	22	56	36	9	76	79	76	28	78	40	47	37	33	19	53	65	56	18	47	18	15	74	81	23	14	41	36	37	88	8	12	20	25	61	39	27	15	16	8	10	106	6	18	87	37	18	6	47	14	38	80	74	21	6	8	79	39	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1349	5	12	3	4	18	11	8	22	27	26	22	39	35	9	23	21	10	18	16	18	8	11	13	7	32	33	22	7	47	18	9	31	29	23	5	31	11	12	28	4	3	2	17	19	31	27	15	16	8	10	106	6	18	53	13	2	1	24	2	36	80	29	9	0	5	66	21	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	843	3	2	3	5	14	46	6	39	12	10	4	21	6	4	14	12	10	12	13	12	20	14	31	47	9	19	9	3	7	5	4	14	28	17	7	15	8	11	11	9	2	4	6	19	10	7	4	2	4	0	22	6	0	19	11	0	3	6	2	38	14	7	4	1	1	93	18	4					
14	Число погашенных неиспользованных открепительных удостоверений	1149	14	0	10	9	15	6	24	28	16	5	0	17	1	0	53	58	66	10	62	22	39	26	20	12	21	32	34	11	0	0	6	43	52	0	9	10	25	25	60	4	9	18	8	42	8	0	0	0	0	0	0	0	0	34	24	16	5	23	12	2	0	45	12	6	3	13	18	6					
