Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Воткинская городская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651					
1	"Число избирателей, внесенных в списки избирателей"	78974	1514	1548	1543	1740	1750	1322	1766	1775	1240	2062	1820	1826	1446	1657	1738	1463	1312	1795	1693	1634	1664	1666	1812	1702	1857	1598	1393	1842	2069	1198	1902	1430	1844	1677	1472	1546	1484	1691	1495	861	320	321	1543	1481	1758	1500	1916	1528	1497	1740	523					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76400	1600	1500	1500	1700	1700	1300	1700	1700	1200	2000	1800	1800	1400	1600	1700	1400	1300	1700	1700	1600	1600	1600	1700	1600	1800	1600	1300	1800	2000	1100	1900	1400	1800	1600	1400	1500	1400	1600	1400	800	300	300	1500	1400	1700	1400	1900	1500	1400	1700	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41425	942	958	804	977	1043	741	1065	1002	683	951	1031	930	870	1029	1029	623	568	804	945	990	928	760	874	885	1060	804	798	1045	1074	623	1023	819	979	849	780	849	885	798	785	487	149	146	909	778	687	671	660	650	684	740	261					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1007	78	48	31	24	21	30	15	18	12	25	36	11	52	9	25	13	15	33	8	10	14	8	22	32	13	9	10	14	16	19	23	11	13	18	15	11	6	13	28	6	3	2	11	7	33	16	26	17	45	27	5					
6	Число погашенных избирательных бюллетеней	33968	580	494	665	699	636	529	620	680	505	1024	733	859	478	562	646	764	717	863	747	600	658	832	804	683	727	787	492	741	910	458	854	570	808	733	605	640	509	789	587	307	148	152	580	615	980	713	1214	833	671	933	234					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1007	78	48	31	24	21	30	15	18	12	25	36	11	52	9	25	13	15	33	8	10	14	8	22	32	13	9	10	14	16	19	23	11	13	18	15	11	6	13	28	6	3	2	11	7	33	16	26	17	45	27	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41389	940	958	804	977	1043	741	1065	1002	683	951	1031	930	870	1029	1029	623	568	804	945	989	928	758	874	885	1047	804	796	1045	1074	623	1021	819	967	849	780	849	885	798	785	487	149	146	909	777	687	671	660	649	684	740	261					
9	Число недействительных избирательных бюллетеней	650	24	17	14	15	24	10	10	9	6	13	13	20	8	14	15	9	8	18	12	17	6	6	12	12	16	5	0	17	15	2	10	14	17	12	17	19	8	12	16	10	5	1	8	10	26	7	15	12	26	31	7					
10	Число действительных избирательных бюллетеней	41746	994	989	821	986	1040	761	1070	1011	689	963	1054	921	914	1024	1039	627	575	819	941	982	936	760	884	905	1044	808	806	1042	1075	640	1034	816	963	855	778	841	883	799	797	483	147	147	912	774	694	680	671	654	703	736	259					
