Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Сарапульская городская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953					
1	"Число избирателей, внесенных в список избирателей"	78383	1821	1217	839	1756	1413	1370	1467	1227	1313	1451	1318	1432	1421	1473	1658	1431	1319	1619	1441	1390	1588	2404	1156	953	1577	1659	1619	1314	1419	2809	1369	1411	1506	1274	1407	1512	1679	1863	1138	1756	1891	896	1576	1442	1612	1433	1804	1045	1524	1189	895	1630	1657					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77250	1800	1200	850	1750	1400	1350	1450	1200	1300	1450	1300	1400	1400	1450	1600	1400	1250	1600	1400	1400	1600	2400	1150	900	1550	1650	1600	1300	1400	2800	1350	1400	1500	1250	1400	1500	1650	1850	1100	1750	1850	850	1550	1400	1600	1400	1750	1050	1450	1200	850	1600	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	39924	787	543	405	845	613	573	743	684	553	602	520	444	795	817	884	837	753	879	659	778	854	1292	468	525	839	829	835	706	779	1065	677	627	745	596	797	748	977	918	686	905	1113	488	770	899	950	932	1041	656	877	704	369	756	787					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1280	41	17	10	54	17	18	30	38	22	9	12	39	15	26	16	22	40	21	31	32	21	47	18	7	20	24	10	16	23	52	14	13	28	22	26	32	18	23	6	21	27	21	21	23	17	24	16	10	55	22	16	44	33					
6	Число погашенных избирательных бюллетеней	36046	972	640	435	851	770	759	677	478	725	839	768	917	590	607	700	541	457	700	710	590	725	1061	664	368	691	797	755	578	598	1683	659	760	727	632	577	720	655	909	408	824	710	341	759	478	633	444	693	384	518	474	465	800	830					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1279	41	17	10	54	17	18	30	38	22	9	12	39	15	26	16	22	40	20	31	32	21	47	18	7	20	24	10	16	23	52	14	13	28	22	26	32	18	23	6	21	27	21	21	23	17	24	16	10	55	22	16	44	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39853	746	543	405	845	613	572	743	684	553	602	520	444	795	817	884	837	752	879	659	778	854	1291	468	525	839	829	834	706	767	1065	677	627	733	596	797	748	977	918	686	905	1113	488	770	899	948	932	1041	656	877	704	369	756	787					
9	Число недействительных избирательных бюллетеней	590	14	6	8	16	6	6	13	11	17	6	14	8	13	20	16	1	4	16	9	10	16	18	3	6	11	15	7	13	14	16	6	9	10	6	4	9	7	14	7	8	23	4	12	19	17	17	16	9	7	17	10	13	13					
10	Число действительных избирательных бюллетеней	40542	773	554	407	883	624	584	760	711	558	605	518	475	797	823	884	858	788	883	681	800	859	1320	483	526	848	838	837	709	776	1101	685	631	751	612	819	771	988	927	685	918	1117	505	779	903	948	939	1041	657	925	709	375	787	807					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1195	15	15	20	50	20	15	30	20	20	25	15	50	30	20	30	20	25	20	20	20	20	30	15	15	20	20	20	15	20	30	20	20	20	20	25	20	20	20	20	20	20	15	25	20	20	20	20	50	20	50	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	780	8	7	19	32	17	8	20	6	6	22	13	8	26	15	29	11	14	17	9	14	13	25	4	6	15	16	10	10	17	20	15	6	16	8	10	13	16	7	12	19	13	12	19	15	18	17	12	39	11	43	4	7	11					
