Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																
Дата голосования: 04.12.2011																																																
																																																
Наименование Избирательной комиссии:    Увинская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041					
1	"Число избирателей, внесенных в список избирателей"	31690	1001	522	386	389	230	574	777	1779	877	398	345	404	738	981	203	733	457	530	283	1035	208	474	900	290	78	301	319	567	145	1187	2187	2093	1040	149	839	1601	509	2024	983	1124	2030					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31989	1026	540	397	392	248	601	801	1830	892	393	356	402	743	991	217	709	473	557	292	1076	216	526	877	315	102	265	331	563	146	1178	2146	2052	1041	297	808	1594	513	2042	969	1069	2003					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17734	548	293	290	260	159	360	407	933	414	187	203	207	405	473	146	418	257	261	151	540	122	265	586	218	59	168	138	382	87	601	1203	1105	562	118	492	944	314	1191	513	546	1208					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1484	47	21	18	17	15	38	64	123	54	40	23	23	62	78	7	27	40	39	13	46	13	58	41	7	1	35	17	30	24	30	53	45	31	3	28	44	6	39	42	122	20					
6	Число погашенных избирательных бюллетеней	12771	431	226	89	115	74	203	330	774	424	166	130	172	276	440	64	264	176	257	128	490	81	203	250	90	42	62	176	151	35	547	890	902	448	176	288	606	193	812	414	401	775					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1484	47	21	18	17	15	38	64	123	54	40	23	23	62	78	7	27	40	39	13	46	13	58	41	7	1	35	17	30	24	30	53	45	31	3	28	44	6	39	42	122	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17734	548	293	290	260	159	360	407	933	414	187	203	207	405	473	146	418	257	261	151	540	122	265	586	218	59	168	138	382	87	601	1203	1105	562	118	492	944	314	1191	513	546	1208					
9	Число недействительных избирательных бюллетеней	240	2	3	1	0	2	5	7	18	5	2	2	2	2	7	0	9	2	2	3	8	0	3	7	3	5	1	2	0	1	11	21	15	7	0	5	12	2	24	9	6	24					
10	Число действительных избирательных бюллетеней	18978	593	311	307	277	172	393	464	1038	463	225	224	228	465	544	153	436	295	298	161	578	135	320	620	222	55	202	153	412	110	620	1235	1135	586	121	515	976	318	1206	546	662	1204					
