Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N2"																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848					
1	"Число избирателей, внесенных в список избирателей"	90793	1677	2612	2221	2487	2730	2324	2006	2322	2831	2587	2710	2860	2342	2678	2734	2833	3003	2335	2810	2778	2473	2502	2132	2144	2338	2770	2634	2357	2811	2464	2060	2168	2647	2586	2939	2888					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85000	1500	2500	2100	2300	2400	2100	1800	2100	2700	2400	2600	2700	2200	2500	2600	2700	2700	2200	2700	2600	2300	2400	2000	2000	2200	2600	2500	2200	2700	2300	1900	2000	2500	2500	2800	2700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47673	883	1409	1077	1380	1531	1229	1119	1337	1357	1367	1447	1536	1229	1362	1505	1381	1537	1161	1454	1397	1333	1232	1119	1179	1147	1433	1301	1238	1556	1359	1058	1190	1516	1393	1543	1378					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	655	12	23	12	12	6	9	9	6	13	16	20	21	13	19	20	25	119	16	11	25	15	17	10	12	14	10	14	15	15	18	22	15	9	18	23	21					
6	Число погашенных избирательных бюллетеней	36672	605	1068	1011	908	863	862	672	757	1330	1017	1133	1143	958	1119	1075	1294	1044	1023	1235	1178	952	1151	871	809	1039	1157	1185	947	1129	923	820	795	975	1089	1234	1301					
7	Число избирательных бюллетеней в переносных ящиках для голосования	655	12	23	12	12	6	9	9	6	13	16	20	21	13	19	20	25	119	16	11	25	15	17	10	12	14	10	14	15	15	18	22	15	9	18	23	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47638	882	1408	1077	1378	1531	1228	1119	1335	1354	1365	1447	1536	1229	1360	1502	1381	1534	1161	1454	1396	1333	1231	1119	1179	1145	1431	1301	1237	1555	1356	1058	1189	1516	1393	1541	1377					
9	Число недействительных избирательных бюллетеней	617	11	21	19	11	18	16	11	13	15	20	24	23	18	18	15	33	19	13	28	25	17	17	15	10	16	16	11	9	25	14	11	18	20	20	19	8					
10	Число действительных избирательных бюллетеней	47676	883	1410	1070	1379	1519	1221	1117	1328	1352	1361	1443	1534	1224	1361	1507	1373	1634	1164	1437	1396	1331	1231	1114	1181	1143	1425	1304	1243	1545	1360	1069	1186	1505	1391	1545	1390					
