Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Ульчская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755					
1	"Число избирателей, внесенных в списки"	16752	590	91	518	61	195	586	256	110	756	1607	647	366	73	379	326	950	498	670	689	428	90	1460	1662	519	319	131	239	267	1362	751	156					
2	"Число бюллетеней, полученных участковыми комиссиями"	15291	520	80	500	55	180	550	250	110	680	1400	600	325	65	350	285	900	520	620	625	400	95	1300	1400	490	290	126	225	245	1260	700	145					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8321	296	76	271	37	116	302	167	110	375	816	276	222	52	234	161	419	263	364	387	294	59	595	527	298	186	121	146	193	575	318	65					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	754	30	2	46	1	13	31	21	0	21	86	40	15	1	14	11	62	21	33	29	45	0	20	8	49	29	3	19	0	59	36	9					
6	Число погашенных бюллетеней	6120	194	2	183	17	51	217	62	0	284	498	284	88	12	102	50	419	236	223	209	61	36	685	832	143	75	2	60	52	626	346	71					
7	Число бюллетеней в переносных ящиках для голосования	850	30	2	46	1	13	31	21	0	21	86	40	15	1	14	74	62	21	33	29	45	0	20	41	49	29	3	19	0	59	36	9					
8	Число бюллетеней в стационарных ящиках для голосования	8320	296	76	271	37	116	302	167	110	375	816	276	222	52	234	161	418	263	364	387	294	59	595	527	298	186	121	146	193	575	318	65					
9	Число недействительных бюллетеней	157	5	0	5	0	0	0	2	0	3	9	5	2	1	3	65	6	3	2	5	3	1	9	2	7	3	4	1	1	6	2	2					
10	Число действительных бюллетеней	9013	321	78	312	38	129	333	186	110	393	893	311	235	52	245	170	474	281	395	411	336	58	606	566	340	212	120	164	192	628	352	72					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	5	3	3	3	3	5	7	3	10	18	10	5	3	3	3	10	5	7	7	5	3	10	10	5	5	3	3	3	10	7	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	55	0	0	0	0	1	2	6	0	6	17	0	0	0	0	1	1	1	2	0	4	0	3	4	2	0	0	2	0	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	0	0	0	1	12	2	2	2	1	3	0	1	0	1	3	1	1	2	0	2	0	1	11	1	0	1	1	1	1	0	0					
14	Число погашенных открепительных удостоверений	125	5	3	3	3	2	3	1	3	4	1	10	5	3	3	2	9	4	5	7	1	3	7	6	3	5	3	1	3	8	6	3					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	143	3	1	8	0	4	4	1	0	6	9	7	10	1	6	1	6	5	7	12	7	0	10	4	2	3	9	1	2	7	6	1					
		1.55%	0.92%	1.28%	2.52%	0.0%	3.10%	1.20%	0.53%	0.0%	1.51%	0.99%	2.21%	4.21%	1.88%	2.41%	0.42%	1.25%	1.76%	1.76%	2.88%	2.06%	0.0%	1.62%	0.70%	0.57%	1.39%	7.25%	0.60%	1.03%	1.10%	1.69%	1.35%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	139	2	6	5	0	1	4	2	0	3	12	5	1	2	0	1	18	19	7	3	3	0	7	7	5	6	2	0	1	10	5	2					
		1.51%	0.61%	7.69%	1.57%	0.0%	0.77%	1.20%	1.06%	0.0%	0.75%	1.33%	1.58%	0.42%	3.77%	0.0%	0.42%	3.75%	6.69%	1.76%	0.72%	0.88%	0.0%	1.13%	1.23%	1.44%	2.79%	1.61%	0.0%	0.51%	1.57%	1.41%	2.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	375	14	6	13	2	4	7	9	0	16	38	15	11	7	16	3	16	11	17	20	12	1	29	27	18	11	6	7	6	15	16	2					
		4.08%	4.29%	7.69%	4.10%	5.26%	3.10%	2.10%	4.78%	0.0%	4.04%	4.21%	4.74%	4.64%	13.20%	6.45%	1.27%	3.33%	3.87%	4.28%	4.80%	3.53%	1.69%	4.71%	4.75%	5.18%	5.11%	4.83%	4.24%	3.10%	2.36%	4.51%	2.70%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	184	8	2	2	0	6	3	1	0	7	24	3	3	0	2	2	11	7	1	11	9	0	16	15	6	3	2	0	3	32	4	1					
		2.00%	2.45%	2.56%	0.63%	0.0%	4.65%	0.90%	0.53%	0.0%	1.76%	2.66%	0.94%	1.26%	0.0%	0.80%	0.85%	2.29%	2.46%	0.25%	2.64%	2.65%	0.0%	2.60%	2.64%	1.72%	1.39%	1.61%	0.0%	1.55%	5.04%	1.12%	1.35%					
22	"5. ""За Русь Святую"""	41	0	1	3	0	3	2	2	0	1	7	0	1	0	1	0	1	3	2	1	1	0	0	4	1	1	2	0	1	1	1	1					
		0.44%	0.0%	1.28%	0.94%	0.0%	2.32%	0.60%	1.06%	0.0%	0.25%	0.77%	0.0%	0.42%	0.0%	0.40%	0.0%	0.20%	1.05%	0.50%	0.24%	0.29%	0.0%	0.0%	0.70%	0.28%	0.46%	1.61%	0.0%	0.51%	0.15%	0.28%	1.35%					
23	"6. ""Объединенная Российская партия ""Русь"""	38	3	1	0	0	0	0	3	0	3	8	0	1	0	2	1	4	1	0	1	1	0	0	2	3	0	1	2	0	0	1	0					
		0.41%	0.92%	1.28%	0.0%	0.0%	0.0%	0.0%	1.59%	0.0%	0.75%	0.88%	0.0%	0.42%	0.0%	0.80%	0.42%	0.83%	0.35%	0.0%	0.24%	0.29%	0.0%	0.0%	0.35%	0.86%	0.0%	0.80%	1.21%	0.0%	0.0%	0.28%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	43	1	1	2	0	0	2	0	0	2	5	3	0	0	3	0	2	0	0	1	0	0	4	6	1	0	1	1	3	3	2	0					
		0.46%	0.30%	1.28%	0.63%	0.0%	0.0%	0.60%	0.0%	0.0%	0.50%	0.55%	0.94%	0.0%	0.0%	1.20%	0.0%	0.41%	0.0%	0.0%	0.24%	0.0%	0.0%	0.65%	1.05%	0.28%	0.0%	0.80%	0.60%	1.55%	0.47%	0.56%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	2	1	1	0	0	0	0	0	1	0					
		0.13%	0.30%	1.28%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.24%	0.0%	1.69%	0.32%	0.17%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	43	1	0	3	0	0	0	1	0	3	4	1	1	0	3	1	1	2	2	2	0	1	3	5	3	1	1	0	1	1	1	1					
