Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Березовская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20					
1	"Число избирателей, внесенных в список избирателей"	16765	1266	1032	998	341	736	1022	1100	1121	830	645	900	863	217	892	378	1023	887	764	1030	720					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18305	1410	1120	1050	364	780	1020	1320	1320	830	890	1080	960	245	930	396	1010	930	820	1030	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	593	0	19	0	56	84	0	0	0	0	72	0	0	5	0	37	0	0	55	91	174					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11603	792	632	673	187	401	703	748	798	557	563	583	541	192	817	252	900	812	476	608	368					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	517	84	31	68	5	11	22	25	15	50	10	3	12	14	3	19	19	7	50	46	23					
6	Число погашенных избирательных бюллетеней	5592	534	438	309	116	284	295	547	507	223	245	494	407	34	110	88	91	111	239	285	235					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1110	84	50	68	61	95	22	25	15	50	82	3	12	19	3	56	19	7	105	137	197					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11597	789	632	673	187	401	703	748	798	557	563	582	541	192	817	252	900	812	474	608	368					
9	Число недействительных избирательных бюллетеней	203	10	10	18	4	12	11	12	15	12	8	6	12	10	7	5	0	12	10	20	9					
10	Число действительных избирательных бюллетеней	12504	863	672	723	244	484	714	761	798	595	637	579	541	201	813	303	919	807	569	725	556					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	540	20	20	10	10	40	30	35	35	35	35	35	35	10	40	10	40	40	25	25	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	517	12	20	10	0	40	30	35	35	35	35	35	35	10	40	10	40	40	25	25	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	94	7	2	5	1	6	2	0	1	0	28	2	3	1	8	1	15	11	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	23	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	3	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1807	149	103	114	11	68	121	118	126	83	97	88	89	29	76	40	112	108	86	130	59					
		14.22%	17.07%	15.10%	15.38%	4.44%	13.71%	16.69%	15.27%	15.50%	13.67%	15.04%	15.04%	16.09%	13.74%	9.27%	12.99%	12.19%	13.19%	14.85%	17.45%	10.44%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2973	246	156	181	64	123	147	156	172	158	161	138	122	49	150	70	214	167	169	188	142					
		23.40%	28.18%	22.87%	24.43%	25.81%	24.80%	20.28%	20.18%	21.16%	26.03%	24.96%	23.59%	22.06%	23.22%	18.29%	22.73%	23.29%	20.39%	29.19%	25.23%	25.13%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	168	8	10	8	2	8	13	16	9	5	10	2	6	1	8	7	11	18	7	13	6					
		1.32%	0.92%	1.47%	1.08%	0.81%	1.61%	1.79%	2.07%	1.11%	0.82%	1.55%	0.34%	1.08%	0.47%	0.98%	2.27%	1.20%	2.20%	1.21%	1.74%	1.06%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1813	117	108	112	11	59	120	156	171	121	118	118	100	9	68	12	111	91	70	80	61					
		14.27%	13.40%	15.84%	15.11%	4.44%	11.90%	16.55%	20.18%	21.03%	19.93%	18.29%	20.17%	18.08%	4.27%	8.29%	3.90%	12.08%	11.11%	12.09%	10.74%	10.80%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	282	33	17	18	3	12	28	21	17	8	9	10	10	5	18	4	23	19	13	11	3					
		2.22%	3.78%	2.49%	2.43%	1.21%	2.42%	3.86%	2.72%	2.09%	1.32%	1.40%	1.71%	1.81%	2.37%	2.20%	1.30%	2.50%	2.32%	2.25%	1.48%	0.53%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5385	305	272	289	153	211	281	291	299	216	241	216	210	107	488	168	434	399	220	300	285					
		42.38%	34.94%	39.88%	39.00%	61.69%	42.54%	38.76%	37.65%	36.78%	35.58%	37.36%	36.92%	37.97%	50.71%	59.51%	54.55%	47.23%	48.72%	37.99%	40.27%	50.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	76	5	6	1	0	3	4	3	4	4	1	7	4	1	5	2	14	5	4	3	0					
		0.60%	0.57%	0.88%	0.13%	0.00%	0.60%	0.55%	0.39%	0.49%	0.66%	0.16%	1.20%	0.72%	0.47%	0.61%	0.65%	1.52%	0.61%	0.69%	0.40%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
