Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Покачевская городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446					
1	"Число избирателей, внесенных в списки избирателей"	12400	2068	1587	1614	1230	1956	1343	1108	1494					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11250	2020	1420	1500	1180	1790	1220	920	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9391	1558	1216	1224	954	1514	1026	797	1102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	141	8	12	11	6	11	4	17	72					
6	Число погашенных избирательных бюллетеней	1718	454	192	265	220	265	190	106	26					
7	Число избирательных бюллетеней в переносных ящиках для голосования	141	8	12	11	6	11	4	17	72					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9391	1558	1216	1224	954	1514	1026	797	1102					
9	Число недействительных избирательных бюллетеней	190	26	21	24	17	29	20	19	34					
10	Число действительных избирательных бюллетеней	9342	1540	1207	1211	943	1496	1010	795	1140					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	266	56	35	30	55	35	25	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	196	41	35	28	36	20	17	17	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	497	17	14	17	16	15	7	22	389					
14	Число погашенных неиспользованных открепительных удостоверений	70	15	0	2	19	15	8	3	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	131	23	18	17	28	23	17	2	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	184	46	17	24	17	25	19	11	25					
		1.93%	2.94%	1.38%	1.94%	1.77%	1.64%	1.84%	1.35%	2.13%					
19	2.Всероссийская политическая партия «Гражданская Сила»	51	10	9	3	7	10	2	3	7					
		0.54%	0.64%	0.73%	0.24%	0.73%	0.66%	0.19%	0.37%	0.60%					
20	3.Политическая партия «Демократическая партия России»	10	3	0	2	2	1	1	0	1					
		0.10%	0.19%	0.00%	0.16%	0.21%	0.07%	0.10%	0.00%	0.09%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1165	177	139	148	102	196	94	100	209					
		12.22%	11.30%	11.32%	11.98%	10.63%	12.85%	9.13%	12.29%	17.80%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	20	4	4	7	2	0	0	1	2					
		0.21%	0.26%	0.33%	0.57%	0.21%	0.00%	0.00%	0.12%	0.17%					
23	6.Политическая партия «Партия социальной справедливости»	19	3	1	1	1	2	3	2	6					
		0.20%	0.19%	0.08%	0.08%	0.10%	0.13%	0.29%	0.25%	0.51%					
24	7.Политическая партия «Либерально-демократическая партия России»	1171	196	152	173	105	180	128	120	117					
		12.28%	12.52%	12.38%	14.01%	10.94%	11.80%	12.43%	14.74%	9.97%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	515	90	73	70	68	73	45	29	67					
		5.40%	5.75%	5.94%	5.67%	7.08%	4.79%	4.37%	3.56%	5.71%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	12	7	9	1	11	2	5	12					
		0.62%	0.77%	0.57%	0.73%	0.10%	0.72%	0.19%	0.61%	1.02%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6071	984	798	763	633	987	700	521	685					
		63.69%	62.84%	64.98%	61.78%	65.94%	64.72%	67.96%	64.00%	58.35%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	77	15	7	11	5	11	16	3	9					
		0.81%	0.96%	0.57%	0.89%	0.52%	0.72%	1.55%	0.37%	0.77%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
