Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Октябрьская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280					
1	"Число избирателей, внесенных в списки избирателей"	19443	307	103	352	87	89	64	846	66	57	64	157	89	957	256	180	987	234	339	83	74	331	223	140	221	361	243	182	374	192	443	1132	1230	1180	1130	1374	73	75	295	95	397	1284	211	211	240	111	331	224	84	573	374	215	503					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18800	310	100	330	90	90	60	700	60	60	60	150	90	950	240	180	980	240	380	80	70	320	220	140	220	340	230	180	340	170	410	1070	1200	1100	1060	1500	70	70	240	100	400	1270	200	210	230	110	330	230	90	480	350	200	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12139	217	66	217	66	51	44	465	54	29	55	102	63	490	158	126	592	163	232	66	62	238	150	105	174	245	174	129	242	118	278	653	724	599	679	832	43	48	185	76	278	732	167	126	161	69	187	142	43	409	287	176	352					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	876	17	6	15	9	9	3	62	2	20	0	9	5	30	4	13	41	11	29	0	0	11	7	0	6	20	21	19	45	18	23	79	34	17	22	27	7	4	15	0	20	39	7	13	19	7	18	4	4	36	16	0	33					
6	Число погашенных избирательных бюллетеней	5784	76	28	98	15	30	13	172	4	11	5	39	22	430	78	41	347	66	119	14	8	71	63	35	40	75	35	32	53	34	109	338	442	484	359	641	20	18	40	24	102	499	26	71	50	34	125	84	43	35	47	24	115					
7	Число избирательных бюллетеней в переносных ящиках для голосования	876	17	6	15	9	9	3	62	2	20	0	9	5	30	4	13	41	11	29	0	0	11	7	0	6	20	21	19	45	18	23	79	34	17	22	27	7	4	15	0	20	39	7	13	19	7	18	4	4	36	16	0	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12137	217	66	217	66	51	44	464	54	29	55	102	63	490	158	126	592	163	232	66	62	238	150	105	174	245	174	129	242	118	278	652	724	599	679	832	43	48	185	76	278	732	167	126	161	69	187	142	43	409	287	176	352					
9	Число недействительных избирательных бюллетеней	122	3	0	2	0	1	1	3	1	0	1	2	0	6	2	2	10	0	0	0	1	1	1	2	1	2	1	3	1	5	0	7	6	8	8	8	0	1	2	2	3	3	1	3	1	1	1	5	1	3	0	2	4					
10	Число действительных избирательных бюллетеней	12891	231	72	230	75	59	46	523	55	49	54	109	68	514	160	137	623	174	261	66	61	248	156	103	179	263	194	145	286	131	301	724	752	608	693	851	50	51	198	74	295	768	173	136	179	75	204	141	46	442	303	174	381					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	236	3	2	3	3	3	2	9	2	3	3	1	3	5	3	2	8	4	4	2	2	4	4	4	4	4	4	4	7	4	4	13	8	10	12	20	2	2	1	2	3	7	2	4	7	2	3	3	2	4	3	2	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	158	2	0	3	0	1	0	9	0	0	1	1	0	5	1	2	8	3	3	0	2	2	4	0	1	1	0	1	7	4	4	13	8	10	11	19	0	0	0	0	3	7	0	3	3	0	2	0	0	4	1	0	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	96	0	0	1	2	0	0	3	2	0	0	1	0	4	0	0	10	2	2	2	1	4	2	0	1	0	1	0	5	1	3	8	5	5	7	4	0	0	1	0	0	2	2	1	2	2	0	0	1	2	3	1	3					
