Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Озерская городская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271					
1	"Число избирателей, внесенных в списки избирателей"	79945	2871	2683	2739	2759	2933	2565	2721	2860	2411	2850	2926	2909	2416	2958	2778	2675	2993	1470	2967	2865	2869	2912	2935	1978	2932	2345	2916	2914	2763	301	489	242					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	66570	2400	2200	2300	2300	2400	2100	2300	2400	2000	2300	2400	2400	2000	2400	2300	2300	2500	1500	2400	2400	2400	2400	2400	1700	2400	2000	2400	2300	2300	300	450	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	52926	1948	1684	1846	1930	1845	1819	1934	1887	1650	1895	2042	2027	1676	2063	1930	1639	2095	714	2017	1934	1926	2012	2053	1364	2039	1540	1545	1825	1622	108	107	210					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1701	56	53	43	56	42	43	22	69	47	70	13	37	16	46	50	19	39	34	37	33	50	19	50	56	19	100	66	94	60	30	332	0					
6	Число погашенных избирательных бюллетеней	11504	396	463	411	314	513	238	344	444	303	335	345	336	308	291	320	642	366	313	346	433	424	369	297	280	342	360	789	381	618	162	11	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2140	56	53	43	56	42	43	22	69	47	70	13	37	16	46	50	19	39	473	37	33	50	19	50	56	19	100	66	94	60	30	332	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52853	1943	1684	1841	1930	1841	1818	1912	1887	1650	1895	2042	2020	1676	2052	1929	1638	2092	714	2017	1929	1926	2011	2052	1364	2035	1540	1544	1825	1622	108	106	210					
9	Число недействительных избирательных бюллетеней	675	22	27	23	22	18	30	17	29	18	25	39	12	16	25	24	22	20	5	24	26	38	31	26	10	25	31	23	21	21	1	0	4					
10	Число действительных избирательных бюллетеней	54318	1977	1710	1861	1964	1865	1831	1917	1927	1679	1940	2016	2045	1676	2073	1955	1635	2111	1182	2030	1936	1938	1999	2076	1410	2029	1609	1587	1898	1661	137	438	206					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1372	40	40	25	40	45	45	60	60	40	30	65	55	35	32	50	45	50	130	30	50	50	60	35	30	40	60	40	30	30	20	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1134	23	39	20	35	41	45	50	57	36	30	55	44	33	31	34	35	50	98	29	33	37	49	30	21	37	52	31	27	25	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	502	14	6	8	9	8	15	9	10	19	15	10	23	6	16	2	14	26	105	9	5	10	14	13	11	17	33	17	10	16	3	28	1					
14	Число погашенных неиспользованных открепительных удостоверений	238	17	1	5	5	4	0	10	3	4	0	10	11	2	1	16	10	0	32	1	17	13	11	5	9	3	8	9	3	5	13	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	3	0	3	0	1	2	1	4	6	2	1	4	0	1	3	1	2	0	4	1	0	3	4	1	3	3	3	2	4	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
