Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Каслинская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962					
1	"Число избирателей, внесенных в списки"	29994	1257	1174	1841	1777	1733	721	1156	424	1343	823	513	495	122	1234	834	2181	88	418	134	564	699	709	664	226	100	100	961	1216	214	86	232	123	630	312	107	134	1318	1449	342	259	112	665	238	266					
2	"Число бюллетеней, полученных участковыми комиссиями"	32403	1300	1193	1834	1841	1807	724	1140	880	1390	819	513	1243	122	1284	856	2208	89	445	171	604	787	798	799	271	132	119	946	1270	226	87	250	127	667	321	116	153	1242	1450	367	295	249	714	271	283					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15291	617	587	924	958	995	345	436	407	617	307	227	483	50	612	359	1029	60	203	95	273	320	341	360	129	85	66	362	578	112	52	138	76	390	174	80	73	610	682	181	144	105	360	119	170					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	993	30	39	41	41	29	16	33	17	24	7	10	12	5	39	26	59	4	20	6	76	22	24	30	41	0	0	69	8	9	0	26	7	57	24	0	25	27	7	27	6	7	23	20	0					
6	Число погашенных бюллетеней	16117	653	567	867	842	783	363	671	456	749	505	276	748	67	633	471	1120	25	222	70	255	445	433	409	101	47	53	515	684	105	35	86	44	220	123	36	55	605	761	159	145	137	331	132	113					
7	Число бюллетеней в переносных ящиках для голосования	991	30	39	41	41	29	16	33	17	24	7	10	12	5	39	26	59	4	20	6	76	22	24	30	41	0	0	67	8	9	0	26	7	57	24	0	25	27	7	27	6	7	23	20	0					
8	Число бюллетеней в стационарных ящиках для голосования	15271	617	587	922	943	995	345	436	407	617	307	227	483	50	612	359	1028	60	203	95	273	320	341	360	129	85	66	360	578	112	52	138	76	390	174	80	73	610	682	181	144	105	360	119	170					
9	Число недействительных бюллетеней	286	18	10	10	18	1	11	6	4	13	5	8	17	2	13	9	16	1	8	4	7	4	4	7	3	0	0	13	14	3	2	4	4	5	3	0	2	12	8	1	1	4	1	4	6					
10	Число действительных бюллетеней	15976	629	616	953	966	1023	350	463	420	628	309	229	478	53	638	376	1071	63	215	97	342	338	361	383	167	85	66	414	572	118	50	160	79	442	195	80	96	625	681	207	149	108	382	135	164					
