Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Красноармейская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011	УИК  1012	УИК  1013	УИК  1014	УИК  1015	УИК  1016	УИК  1017	УИК  1018	УИК  1019	УИК  1020	УИК  1021	УИК  1022	УИК  1023	УИК  1024	УИК  1025	УИК  1026	УИК  1027	УИК  1028	УИК  1029	УИК  1030	УИК  1031	УИК  1032	УИК  1033	УИК  1034	УИК  1035	УИК  1036	УИК  1037	УИК  1038	УИК  1039	УИК  1040	УИК  1041	УИК  1042	УИК  1043	УИК  1044	УИК  1045	УИК  1046	УИК  1047	УИК  1048	УИК  1049	УИК  1050	УИК  1051					
1	"Число избирателей, внесенных в списки"	31836	882	473	104	1152	310	202	260	335	1608	934	246	68	191	183	369	387	1052	1193	1035	276	326	142	373	1359	274	149	124	1632	416	423	731	160	2298	1719	2115	1347	325	224	1145	188	203	777	221	145	64	771	188	270	547	876	156	277	173	438					
2	"Число бюллетеней, полученных участковыми комиссиями"	32126	871	473	106	1125	314	187	258	308	1638	954	259	74	198	188	370	395	1037	1200	1030	273	339	146	401	1355	280	145	125	1640	412	426	743	172	2286	1735	2065	1373	329	226	1186	195	208	804	228	151	64	785	307	270	561	890	158	263	173	427					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16212	346	253	67	522	133	83	133	146	795	313	151	49	96	110	224	151	646	443	452	118	155	93	166	731	149	86	86	764	186	215	430	120	1033	873	1110	727	167	127	591	102	123	460	154	101	54	427	179	154	269	511	85	159	125	269					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1130	31	29	0	10	28	0	14	0	36	45	10	7	2	5	18	48	33	5	7	4	0	0	6	19	13	5	0	89	30	15	44	13	135	56	26	10	30	29	79	8	22	0	0	0	0	52	9	15	62	24	0	7	0	0					
6	Число погашенных бюллетеней	14784	494	191	39	593	153	104	111	162	807	596	98	18	100	73	128	196	358	752	571	151	184	53	229	605	118	54	39	787	196	196	269	39	1118	806	929	636	132	70	516	85	63	344	74	50	10	306	119	101	230	355	73	97	48	158					
7	Число бюллетеней в переносных ящиках для голосования	1129	31	29	0	10	28	0	14	0	36	45	10	7	2	5	18	48	33	5	7	4	0	0	6	19	13	5	0	89	30	15	44	13	135	56	26	10	30	29	79	8	21	0	0	0	0	52	9	15	62	24	0	7	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	16211	346	253	67	522	133	83	133	146	795	313	151	49	96	110	224	151	646	443	452	118	155	93	166	731	149	86	86	764	186	215	430	120	1031	873	1110	727	167	127	591	102	124	460	154	101	54	427	179	154	269	511	85	159	125	269					
9	Число недействительных бюллетеней	384	10	7	0	16	5	1	7	1	35	0	3	1	4	1	11	9	10	9	12	4	0	0	6	28	8	3	1	18	3	2	5	1	24	13	18	9	9	9	14	0	4	19	2	0	0	3	4	3	6	12	2	7	3	2					
10	Число действительных бюллетеней	16956	367	275	67	516	156	82	140	145	796	358	158	55	94	114	231	190	669	439	447	118	155	93	166	722	154	88	85	835	213	228	469	132	1142	916	1118	728	188	147	656	110	141	441	152	101	54	476	184	166	325	523	83	159	122	267					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	245	3	2	1	3	2	2	2	2	5	2	2	1	2	1	2	2	3	13	3	2	2	1	2	4	7	1	1	4	2	2	3	1	10	10	69	10	3	2	18	2	2	5	2	2	2	3	2	2	2	5	2	2	2	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	111	0	0	0	2	0	0	1	0	4	0	0	0	1	0	2	0	3	6	2	0	0	0	1	4	4	0	0	1	0	0	1	0	6	9	35	5	0	1	13	1	0	0	0	0	0	2	0	1	1	4	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	4	2	0	2	1	2	0	0	7	1	0	1	0	0	4	0	5	6	4	2	0	2	0	5	2	2	0	5	4	6	7	0	9	2	7	5	0	4	3	0	2	0	0	0	0	3	0	1	7	9	0	2	1	0					
14	Число погашенных открепительных удостоверений	134	3	2	1	1	2	2	1	2	1	2	2	1	1	1	0	2	0	7	1	2	2	1	1	0	3	1	1	3	2	2	2	1	4	1	34	5	3	1	5	1	2	5	2	2	2	1	2	1	1	1	2	2	2	2					
15	Число открепительных удостоверений выданных ТИК	24	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	1	2	2	0	1	1	0	0	0	0	1	1	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	2	1	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	273	5	10	6	9	2	1	4	1	7	10	2	3	1	3	3	4	13	9	5	2	0	2	14	9	3	1	1	14	0	4	5	3	8	10	15	4	4	4	15	1	3	10	4	0	1	8	3	9	1	7	0	4	0	6					
		1.57%	1.32%	3.54%	8.95%	1.69%	1.24%	1.20%	2.72%	0.68%	0.84%	2.79%	1.24%	5.35%	1.02%	2.60%	1.23%	2.01%	1.91%	2.00%	1.08%	1.63%	0.0%	2.15%	8.13%	1.2%	1.85%	1.09%	1.16%	1.64%	0.0%	1.73%	1.05%	2.25%	0.68%	1.07%	1.32%	0.54%	2.03%	2.56%	2.23%	0.90%	2.06%	2.17%	2.59%	0.0%	1.85%	1.67%	1.59%	5.32%	0.30%	1.30%	0.0%	2.40%	0.0%	2.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	318	5	3	0	16	2	1	7	1	7	1	3	0	1	0	1	2	16	10	14	0	1	0	2	28	4	0	3	29	1	5	4	1	22	23	24	30	4	8	6	3	2	5	2	1	0	1	2	3	4	6	0	2	0	2					
		1.83%	1.32%	1.06%	0.0%	3.00%	1.24%	1.20%	4.76%	0.68%	0.84%	0.27%	1.86%	0.0%	1.02%	0.0%	0.41%	1.00%	2.35%	2.23%	3.05%	0.0%	0.64%	0.0%	1.16%	3.73%	2.46%	0.0%	3.48%	3.39%	0.46%	2.17%	0.84%	0.75%	1.88%	2.47%	2.11%	4.07%	2.03%	5.12%	0.89%	2.72%	1.37%	1.08%	1.29%	0.99%	0.0%	0.20%	1.06%	1.77%	1.20%	1.12%	0.0%	1.20%	0.0%	0.74%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1668	40	18	0	69	10	7	13	25	80	22	8	1	19	4	20	22	44	50	29	10	8	9	12	104	11	8	10	89	32	15	41	4	108	144	125	48	62	14	46	10	14	54	10	5	4	30	8	18	19	69	4	15	9	18					
