Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Локомотивная поселковая										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК  1695	УИК  1696	УИК  1697					
1	"Число избирателей, внесенных в списки"	6807	2608	1749	2450					
2	"Число бюллетеней, полученных участковыми комиссиями"	6300	2340	1600	2360					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	181	25	131	25					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3471	1124	1104	1243					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	79	18	51	10					
6	Число погашенных бюллетеней	2569	1173	314	1082					
7	Число бюллетеней в переносных ящиках для голосования	259	43	181	35					
8	Число бюллетеней в стационарных ящиках для голосования	3468	1124	1103	1241					
9	Число недействительных бюллетеней	34	10	21	3					
10	Число действительных бюллетеней	3693	1157	1263	1273					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	97	32	32	33					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	9	5	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	11	4	1	6					
14	Число погашенных открепительных удостоверений	60	23	27	10					
15	Число открепительных удостоверений выданных ТИК	3	0	1	2					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	43	4	26	13					
		1.15%	0.34%	2.02%	1.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	119	33	54	32					
		3.19%	2.82%	4.20%	2.50%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	148	78	32	38					
		3.97%	6.68%	2.49%	2.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	106	24	38	44					
		2.84%	2.05%	2.95%	3.44%					
22	"5. ""За Русь Святую"""	19	8	10	1					
		0.50%	0.68%	0.77%	0.07%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	3	10	4					
		0.45%	0.25%	0.77%	0.31%					
24	"7. ""Новый курс - Автомобильная Россия"""	35	4	30	1					
		0.93%	0.34%	2.33%	0.07%					
25	"8. ""Народно-республиканская партия России"""	4	2	0	2					
		0.10%	0.17%	0.0%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	4	14	16					
		0.91%	0.34%	1.09%	1.25%					
27	"10. ""Аграрная партия России"""	78	33	16	29					
		2.09%	2.82%	1.24%	2.27%					
28	"11. ""Истинные патриоты России"""	4	1	2	1					
		0.10%	0.08%	0.15%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	25	7	14	4					
		0.67%	0.59%	1.09%	0.31%					
30	"13. ""Демократическая партия России"""	8	0	4	4					
		0.21%	0.0%	0.31%	0.31%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	1	5	2					
		0.21%	0.08%	0.38%	0.15%					
32	"15. ""Партия СЛОН"""	9	2	6	1					
		0.24%	0.17%	0.46%	0.07%					
33	"16. ""Родина"" (народно-патриотический союз)"""	206	83	45	78					
		5.52%	7.11%	3.50%	6.11%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	0	7	2					
		0.24%	0.0%	0.54%	0.15%					
35	"18. ""ЛДПР"""	866	248	350	268					
		23.23%	21.25%	27.25%	21.00%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	46	16	14	16					
		1.23%	1.37%	1.09%	1.25%					
37	"20. ""Политическая партия ""Единая Россия"""	1396	460	399	537					
		37.45%	39.41%	31.07%	42.08%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	1	3	2					
		0.16%	0.08%	0.23%	0.15%					
39	"22. ""Развитие предпринимательства"""	14	1	8	5					
		0.37%	0.08%	0.62%	0.39%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	196	70	57	69					
		5.25%	5.99%	4.43%	5.40%					
										
41	Против всех	297	74	119	104					
		7.96%	6.34%	9.26%	8.15%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
