Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Аргунская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №419	УИК №427					
1	"Число избирателей, внесенных в списки"	15494	2133	2226	2387	2121	1204	1052	1752	1048	1571					
2	"Число бюллетеней, полученных участковыми комиссиями"	13460	1950	1950	2000	1800	1000	900	1460	900	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13267	1950	1950	1966	1800	1000	900	1460	862	1379					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	11	0	0	0	0	0	0	0	11	0					
6	Число погашенных бюллетеней	182	0	0	34	0	0	0	0	27	121					
7	Число бюллетеней в переносных ящиках для голосования	11	0	0	0	0	0	0	0	11	0					
8	Число бюллетеней в стационарных ящиках для голосования	13264	1950	1949	1966	1800	1000	898	1460	862	1379					
9	Число недействительных бюллетеней	46	0	11	8	6	6	5	1	6	3					
10	Число действительных бюллетеней	13229	1950	1938	1958	1794	994	893	1459	867	1376					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	6	6	6	6	5	5	6	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1	0	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	49	6	5	6	6	5	5	6	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	123	0	29	16	7	0	16	23	7	25					
		0.92%	0.0%	1.48%	0.81%	0.38%	0.0%	1.78%	1.57%	0.80%	1.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	922	235	133	164	99	23	37	81	134	16					
		6.94%	12.05%	6.82%	8.34%	5.5%	2.3%	4.12%	5.54%	15.34%	1.16%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	96	0	17	30	6	5	6	4	5	23					
		0.72%	0.0%	0.87%	1.52%	0.33%	0.5%	0.66%	0.27%	0.57%	1.66%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	165	0	31	47	27	12	14	18	3	13					
		1.24%	0.0%	1.59%	2.39%	1.5%	1.2%	1.55%	1.23%	0.34%	0.94%					
22	"5. ""За Русь Святую"""	19	0	0	9	1	0	1	3	1	4					
		0.14%	0.0%	0.0%	0.45%	0.05%	0.0%	0.11%	0.20%	0.11%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	0	0	4	0	2	0	0	0	4					
		0.07%	0.0%	0.0%	0.20%	0.0%	0.2%	0.0%	0.0%	0.0%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	0	5	8	5	0	7	5	7	1					
		0.28%	0.0%	0.25%	0.40%	0.27%	0.0%	0.77%	0.34%	0.80%	0.07%					
