Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
"Наименование Избирательной комиссии:    г. Грозный, Старопромысловская"																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №428					
1	"Число избирателей, внесенных в списки"	31259	2755	2261	2850	2656	2329	2313	2375	2730	2622	2499	2162	2156	1551					
2	"Число бюллетеней, полученных участковыми комиссиями"	29800	2617	2150	2720	2530	2213	2159	2256	2600	2500	2400	2053	2048	1554					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	744	0	0	0	0	0	0	0	0	0	0	0	0	744					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26900	2590	2133	2293	1817	2184	1687	2117	2522	2462	2387	1998	1951	759					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	617	0	0	0	0	0	472	50	7	0	0	0	88	0					
6	Число погашенных бюллетеней	1539	27	17	427	713	29	0	89	71	38	13	55	9	51					
7	Число бюллетеней в переносных ящиках для голосования	617	0	0	0	0	0	472	50	7	0	0	0	88	0					
8	Число бюллетеней в стационарных ящиках для голосования	27623	2590	2133	2293	1808	2184	1687	2117	2522	2462	2387	1998	1951	1491					
9	Число недействительных бюллетеней	883	9	19	25	8	18	0	5	22	25	0	8	0	744					
10	Число действительных бюллетеней	27357	2581	2114	2268	1800	2166	2159	2162	2507	2437	2387	1990	2039	747					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	8	8	10	10	8	8	8	8	8	8	8	8	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	3	0	0	0	0	0	0	1	1	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	0	1	0	10	1	0	0	2	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	97	8	8	10	10	8	8	7	7	7	8	8	8	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	131	0	2	12	0	9	0	10	46	23	8	18	0	3					
		0.46%	0.0%	0.09%	0.52%	0.0%	0.41%	0.0%	0.46%	1.81%	0.93%	0.33%	0.90%	0.0%	0.20%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2927	268	168	17	22	404	304	367	446	146	412	67	296	10					
		10.36%	10.34%	7.87%	0.74%	1.21%	18.49%	14.08%	16.93%	17.63%	5.93%	17.26%	3.35%	14.51%	0.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	109	11	6	20	5	9	0	15	11	13	3	13	0	3					
		0.38%	0.42%	0.28%	0.87%	0.27%	0.41%	0.0%	0.69%	0.43%	0.52%	0.12%	0.65%	0.0%	0.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	873	184	17	81	226	12	50	149	15	33	53	44	0	9					
