Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Комсомольская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369					
1	"Число избирателей, внесенных в списки"	20711	1513	1562	685	235	573	118	187	109	546	279	310	194	252	318	224	373	414	590	283	430	542	190	648	262	143	1450	665	1159	545	630	632	421	302	340	174	207	621	136	441	489	848	326	345					
2	"Число бюллетеней, полученных участковыми комиссиями"	20700	1522	1547	685	234	575	120	188	108	545	279	309	197	248	319	220	375	411	578	283	428	542	191	658	259	148	1436	666	1152	542	635	627	417	303	333	176	214	621	136	452	496	865	323	337					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11941	786	815	379	142	360	64	120	79	299	191	219	136	147	192	149	235	239	400	211	251	301	144	360	160	99	690	361	546	352	341	372	227	144	212	116	157	356	103	315	260	483	205	223					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	465	19	15	0	0	7	3	2	0	11	5	22	7	2	12	0	10	29	13	6	9	6	10	46	15	5	13	13	14	3	7	8	30	20	9	5	22	15	4	15	16	13	3	1					
6	Число погашенных бюллетеней	8294	717	717	306	92	208	53	66	29	235	83	68	54	99	115	71	130	143	165	66	168	235	37	252	84	44	733	292	592	187	287	247	160	139	112	55	35	250	29	122	220	369	115	113					
7	Число бюллетеней в переносных ящиках для голосования	465	19	15	0	0	7	3	2	0	11	5	22	7	2	12	0	10	29	13	6	9	6	10	46	15	5	13	13	14	3	7	8	30	20	9	5	22	15	4	15	16	13	3	1					
8	Число бюллетеней в стационарных ящиках для голосования	11939	786	815	379	142	360	64	119	79	299	191	219	136	147	192	149	235	239	400	211	250	301	144	360	160	99	690	361	546	352	341	372	227	144	212	116	157	356	103	315	260	483	205	223					
9	Число недействительных бюллетеней	572	18	13	3	8	13	8	11	10	8	13	9	2	5	4	17	10	9	20	8	18	11	5	22	13	8	16	18	39	5	13	35	11	12	27	6	1	12	8	24	14	40	12	13					
10	Число действительных бюллетеней	11832	787	817	376	134	354	59	110	69	302	183	232	141	144	200	132	235	259	393	209	241	296	149	384	162	96	687	356	521	350	335	345	246	152	194	115	178	359	99	306	262	456	196	211					
