Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Салехардская городская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №164	УИК №165	УИК №166	УИК №167	УИК  168	УИК №169	УИК  170	УИК №171	УИК №172	УИК №173	УИК №174					
1	"Число избирателей, внесенных в списки"	25516	2358	2513	2313	2377	2603	2127	2866	2100	1648	1840	2771					
2	"Число бюллетеней, полученных участковыми комиссиями"	22800	2100	2300	2100	2200	2250	1900	2450	1800	1500	1650	2550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	103	0	0	103	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13497	1133	1516	1236	1287	1567	1182	1423	1096	818	928	1311					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	317	13	16	18	19	35	21	139	13	15	6	22					
6	Число погашенных бюллетеней	8883	954	768	743	894	648	697	888	691	667	716	1217					
7	Число бюллетеней в переносных ящиках для голосования	420	13	16	121	19	35	21	139	13	15	6	22					
8	Число бюллетеней в стационарных ящиках для голосования	13492	1132	1516	1234	1287	1567	1182	1422	1095	818	928	1311					
9	Число недействительных бюллетеней	124	9	13	11	11	12	9	10	18	13	9	9					
10	Число действительных бюллетеней	13788	1136	1519	1344	1295	1590	1194	1551	1090	820	925	1324					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	260	20	30	20	30	40	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	167	11	21	17	22	37	6	14	15	8	5	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	4	25	16	5	13	7	34	3	6	8	8					
14	Число погашенных открепительных удостоверений	93	9	9	3	8	3	14	6	5	12	15	9					
15	Число открепительных удостоверений выданных ТИК	5	0	0	1	0	2	0	1	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	266	30	30	19	19	27	10	31	31	26	17	26					
		1.91%	2.62%	1.95%	1.40%	1.45%	1.68%	0.83%	1.98%	2.79%	3.12%	1.82%	1.95%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	620	48	90	50	64	81	49	73	44	33	33	55					
		4.45%	4.19%	5.87%	3.69%	4.90%	5.05%	4.07%	4.67%	3.97%	3.96%	3.53%	4.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	305	28	18	22	30	26	34	53	26	16	20	32					
		2.19%	2.44%	1.17%	1.62%	2.29%	1.62%	2.82%	3.39%	2.34%	1.92%	2.14%	2.40%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	654	46	91	54	60	78	69	57	31	31	58	79					
		4.70%	4.01%	5.93%	3.98%	4.59%	4.86%	5.73%	3.65%	2.79%	3.72%	6.20%	5.92%					
22	"5. ""За Русь Святую"""	59	2	5	12	2	8	5	3	3	4	1	14					
		0.42%	0.17%	0.32%	0.88%	0.15%	0.49%	0.41%	0.19%	0.27%	0.48%	0.10%	1.05%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	4	3	4	2	2	1	4	3	1	1	1					
		0.18%	0.34%	0.19%	0.29%	0.15%	0.12%	0.08%	0.25%	0.27%	0.12%	0.10%	0.07%					
24	"7. ""Новый курс - Автомобильная Россия"""	76	6	6	12	4	7	7	11	7	5	3	8					
		0.54%	0.52%	0.39%	0.88%	0.30%	0.43%	0.58%	0.70%	0.63%	0.60%	0.32%	0.60%					
25	"8. ""Народно-республиканская партия России"""	14	0	0	0	0	8	0	2	2	1	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.12%	0.18%	0.12%	0.10%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	64	10	6	3	11	8	4	9	5	4	2	2					
		0.46%	0.87%	0.39%	0.22%	0.84%	0.49%	0.33%	0.57%	0.45%	0.48%	0.21%	0.15%					
27	"10. ""Аграрная партия России"""	189	14	21	17	24	18	18	16	7	16	9	29					
		1.35%	1.22%	1.37%	1.25%	1.83%	1.12%	1.49%	1.02%	0.63%	1.92%	0.96%	2.17%					
28	"11. ""Истинные патриоты России"""	34	4	5	5	1	3	1	4	0	3	5	3					
		0.24%	0.34%	0.32%	0.36%	0.07%	0.18%	0.08%	0.25%	0.0%	0.36%	0.53%	0.22%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	105	10	10	11	10	12	9	13	6	9	13	2					
		0.75%	0.87%	0.65%	0.81%	0.76%	0.74%	0.74%	0.83%	0.54%	1.08%	1.39%	0.15%					
30	"13. ""Демократическая партия России"""	23	2	3	0	0	2	3	5	2	2	1	3					
		0.16%	0.17%	0.19%	0.0%	0.0%	0.12%	0.24%	0.32%	0.18%	0.24%	0.10%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	25	2	4	1	3	3	2	7	0	2	0	1					
		0.17%	0.17%	0.26%	0.07%	0.22%	0.18%	0.16%	0.44%	0.0%	0.24%	0.0%	0.07%					
32	"15. ""Партия СЛОН"""	15	2	1	2	2	2	0	2	3	0	0	1					
		0.10%	0.17%	0.06%	0.14%	0.15%	0.12%	0.0%	0.12%	0.27%	0.0%	0.0%	0.07%					
33	"16. ""Родина"" (народно-патриотический союз)"""	991	87	117	83	111	107	89	95	65	43	68	126					
		7.12%	7.59%	7.63%	6.12%	8.49%	6.67%	7.39%	6.08%	5.86%	5.16%	7.28%	9.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	32	4	1	0	2	4	1	3	9	3	0	5					
		0.23%	0.34%	0.06%	0.0%	0.15%	0.24%	0.08%	0.19%	0.81%	0.36%	0.0%	0.37%					
35	"18. ""ЛДПР"""	1491	113	115	118	156	156	110	197	153	106	102	165					
		10.71%	9.86%	7.50%	8.70%	11.94%	9.73%	9.14%	12.62%	13.80%	12.72%	10.92%	12.37%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	139	12	11	18	15	15	12	22	10	5	8	11					
		0.99%	1.04%	0.71%	1.32%	1.14%	0.93%	0.99%	1.40%	0.90%	0.60%	0.85%	0.82%					
37	"20. ""Политическая партия ""Единая Россия"""	7222	598	846	754	646	867	648	781	579	412	478	613					
		51.91%	52.22%	55.22%	55.64%	49.46%	54.11%	53.86%	50.03%	52.25%	49.45%	51.17%	45.98%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	2	2	3	3	2	3	4	2	2	0	2					
		0.17%	0.17%	0.13%	0.22%	0.22%	0.12%	0.24%	0.25%	0.18%	0.24%	0.0%	0.15%					
39	"22. ""Развитие предпринимательства"""	31	6	3	2	4	3	5	1	1	1	3	2					
		0.22%	0.52%	0.19%	0.14%	0.30%	0.18%	0.41%	0.06%	0.09%	0.12%	0.32%	0.15%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	632	46	58	73	59	64	54	67	44	43	60	64					
		4.54%	4.01%	3.78%	5.38%	4.51%	3.99%	4.48%	4.29%	3.97%	5.16%	6.42%	4.80%					
																		
41	Против всех	750	60	73	81	67	87	60	91	57	52	42	80					
		5.39%	5.24%	4.76%	5.97%	5.13%	5.43%	4.98%	5.82%	5.14%	6.24%	4.49%	6.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
