Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Борисоглебская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439					
1	"Число избирателей, внесенных в список избирателей"	10557	543	361	2668	2209	596	241	162	493	581	362	133	349	221	119	169	200	228	174	141	310	162	135					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10900	550	360	2600	2200	760	250	220	500	580	380	130	350	230	130	180	210	240	210	160	330	180	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5433	197	134	1499	1206	281	130	91	243	392	179	54	157	107	50	48	70	119	55	89	149	105	78					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1520	149	100	76	131	107	51	48	95	85	56	46	110	50	31	82	52	38	58	45	47	36	27					
6	Число погашенных избирательных бюллетеней	3947	204	126	1025	863	372	69	81	162	103	145	30	83	73	49	50	88	83	97	26	134	39	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1520	149	100	76	131	107	51	48	95	85	56	46	110	50	31	82	52	38	58	45	47	36	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5433	197	134	1499	1206	281	130	91	243	392	179	54	157	107	50	48	70	119	55	89	149	105	78					
9	Число недействительных избирательных бюллетеней	98	5	0	17	26	6	1	0	12	7	1	1	3	0	1	4	2	2	1	2	3	3	1					
10	Число действительных избирательных бюллетеней	6855	341	234	1558	1311	382	180	139	326	470	234	99	264	157	80	126	120	155	112	132	193	138	104					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	345	10	10	42	40	13	15	10	25	30	10	10	15	10	10	10	10	10	10	25	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	251	1	3	26	35	11	12	1	18	29	10	2	15	6	8	10	10	3	1	25	10	8	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	217	10	1	10	29	4	6	2	7	98	4	3	5	7	8	6	3	4	2	4	0	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	94	9	7	16	5	2	3	9	7	1	0	8	0	4	2	0	0	7	9	0	0	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1669	82	46	431	348	85	47	41	56	67	50	18	73	40	23	42	24	44	18	18	54	32	30					
		24.00%	23.70%	19.66%	27.37%	26.03%	21.91%	25.97%	29.50%	16.57%	14.05%	21.28%	18.00%	27.34%	25.48%	28.40%	32.31%	19.67%	28.03%	15.93%	13.43%	27.55%	22.70%	28.57%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1007	71	43	238	157	73	24	27	41	93	25	12	32	25	17	12	18	22	11	9	12	25	20					
		14.48%	20.52%	18.38%	15.11%	11.74%	18.81%	13.26%	19.42%	12.13%	19.50%	10.64%	12.00%	11.99%	15.92%	20.99%	9.23%	14.75%	14.01%	9.73%	6.72%	6.12%	17.73%	19.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	95	2	1	32	23	5	0	0	6	3	4	0	1	0	2	2	2	1	0	0	5	3	3					
		1.37%	0.58%	0.43%	2.03%	1.72%	1.29%	0.00%	0.00%	1.78%	0.63%	1.70%	0.00%	0.37%	0.00%	2.47%	1.54%	1.64%	0.64%	0.00%	0.00%	2.55%	2.13%	2.86%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1232	32	40	355	323	51	31	25	31	66	42	13	42	16	12	12	17	37	18	15	24	21	9					
		17.72%	9.25%	17.09%	22.54%	24.16%	13.14%	17.13%	17.99%	9.17%	13.84%	17.87%	13.00%	15.73%	10.19%	14.81%	9.23%	13.93%	23.57%	15.93%	11.19%	12.24%	14.89%	8.57%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	90	3	2	20	28	6	3	1	1	3	4	1	3	2	2	1	1	3	3	2	1	0	0					
